t_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,wx_dps,wy_dps,wz_dps,H_mag_kgm2ps,E_rot_J
27.4583,0.25846728,0.09510829,0.90598437,0.32146756,136.24446,24.02820,158.24567,0.41168,5.25818,1.43476,3.39024118e-02,1.61607309e-03
27.5384,0.25478788,0.09490866,0.90692423,0.32181348,136.36915,23.64451,158.47282,0.41018,5.25855,1.43375,3.39024118e-02,1.61607309e-03
27.6184,0.25110486,0.09470665,0.90785066,0.32215551,136.49174,23.26042,158.69848,0.40869,5.25893,1.43274,3.39024118e-02,1.61607309e-03
27.6985,0.24741827,0.09450228,0.90876365,0.32249363,136.61225,22.87592,158.92270,0.40719,5.25930,1.43174,3.39024118e-02,1.61607309e-03
27.7785,0.24372816,0.09429556,0.90966318,0.32282786,136.73071,22.49102,159.14549,0.40569,5.25967,1.43074,3.39024118e-02,1.61607309e-03
27.8586,0.24003458,0.09408649,0.91054924,0.32315818,136.84713,22.10573,159.36690,0.40420,5.26004,1.42975,3.39024118e-02,1.61607309e-03
27.9386,0.23633759,0.09387508,0.91142181,0.32348460,136.96156,21.72007,159.58695,0.40270,5.26040,1.42876,3.39024118e-02,1.61607309e-03
28.0187,0.23263725,0.09366134,0.91228089,0.32380712,137.07399,21.33403,159.80568,0.40121,5.26077,1.42777,3.39024118e-02,1.61607309e-03
28.0987,0.22893360,0.09344529,0.91312644,0.32412573,137.18447,20.94764,160.02311,0.39972,5.26113,1.42678,3.39024118e-02,1.61607309e-03
28.1788,0.22522670,0.09322692,0.91395847,0.32444043,137.29301,20.56089,160.23926,0.39823,5.26149,1.42580,3.39024118e-02,1.61607309e-03
28.2588,0.22151661,0.09300626,0.91477695,0.32475122,137.39963,20.17379,160.45418,0.39674,5.26185,1.42483,3.39024118e-02,1.61607309e-03
28.3389,0.21780337,0.09278330,0.91558188,0.32505810,137.50435,19.78635,160.66789,0.39525,5.26221,1.42385,3.39024118e-02,1.61607309e-03
28.4189,0.21408705,0.09255806,0.91637324,0.32536107,137.60720,19.39858,160.88042,0.39376,5.26257,1.42288,3.39024118e-02,1.61607309e-03
28.4990,0.21036769,0.09233055,0.91715101,0.32566013,137.70819,19.01048,161.09179,0.39227,5.26293,1.42192,3.39024118e-02,1.61607309e-03
28.5791,0.20664536,0.09210077,0.91791519,0.32595528,137.80734,18.62207,161.30203,0.39078,5.26328,1.42095,3.39024118e-02,1.61607309e-03
28.6591,0.20292010,0.09186874,0.91866576,0.32624651,137.90468,18.23335,161.51117,0.38930,5.26363,1.41999,3.39024118e-02,1.61607309e-03
28.7392,0.19919197,0.09163446,0.91940271,0.32653382,138.00021,17.84432,161.71923,0.38781,5.26398,1.41904,3.39024118e-02,1.61607309e-03
28.8192,0.19546102,0.09139795,0.92012603,0.32681722,138.09397,17.45500,161.92624,0.38633,5.26433,1.41808,3.39024118e-02,1.61607309e-03
28.8993,0.19172731,0.09115922,0.92083570,0.32709669,138.18595,17.06539,162.13223,0.38484,5.26468,1.41714,3.39024118e-02,1.61607309e-03
28.9793,0.18799090,0.09091826,0.92153171,0.32737225,138.27619,16.67550,162.33722,0.38336,5.26503,1.41619,3.39024118e-02,1.61607309e-03
29.0594,0.18425183,0.09067510,0.92221406,0.32764389,138.36470,16.28533,162.54124,0.38188,5.26537,1.41525,3.39024118e-02,1.61607309e-03
29.1394,0.18051016,0.09042975,0.92288272,0.32791160,138.45149,15.89489,162.74430,0.38040,5.26572,1.41431,3.39024118e-02,1.61607309e-03
29.2195,0.17676595,0.09018220,0.92353770,0.32817540,138.53658,15.50419,162.94644,0.37892,5.26606,1.41337,3.39024118e-02,1.61607309e-03
29.2995,0.17301924,0.08993248,0.92417897,0.32843527,138.61999,15.11323,163.14768,0.37744,5.26640,1.41244,3.39024118e-02,1.61607309e-03
29.3796,0.16927010,0.08968059,0.92480653,0.32869121,138.70172,14.72203,163.34805,0.37596,5.26674,1.41152,3.39024118e-02,1.61607309e-03
29.4596,0.16551859,0.08942654,0.92542036,0.32894323,138.78180,14.33057,163.54756,0.37448,5.26707,1.41059,3.39024118e-02,1.61607309e-03
29.5397,0.16176474,0.08917034,0.92602046,0.32919132,138.86024,13.93888,163.74623,0.37301,5.26741,1.40967,3.39024118e-02,1.61607309e-03
29.6197,0.15800862,0.08891201,0.92660681,0.32943549,138.93705,13.54696,163.94410,0.37153,5.26774,1.40875,3.39024118e-02,1.61607309e-03
29.6998,0.15425029,0.08865154,0.92717941,0.32967573,139.01224,13.15481,164.14119,0.37006,5.26808,1.40784,3.39024118e-02,1.61607309e-03
29.7799,0.15048979,0.08838896,0.92773825,0.32991204,139.08583,12.76244,164.33751,0.36858,5.26841,1.40693,3.39024118e-02,1.61607309e-03
29.8599,0.14672719,0.08812427,0.92828331,0.33014442,139.15783,12.36985,164.53309,0.36711,5.26874,1.40602,3.39024118e-02,1.61607309e-03
29.9400,0.14296253,0.08785748,0.92881459,0.33037286,139.22825,11.97705,164.72795,0.36564,5.26907,1.40512,3.39024118e-02,1.61607309e-03
30.0200,0.13919588,0.08758860,0.92933208,0.33059738,139.29711,11.58405,164.92211,0.36417,5.26939,1.40422,3.39024118e-02,1.61607309e-03
30.1001,0.13542728,0.08731765,0.92983577,0.33081797,139.36440,11.19085,165.11559,0.36269,5.26972,1.40332,3.39024118e-02,1.61607309e-03
30.1801,0.13165679,0.08704462,0.93032564,0.33103462,139.43015,10.79746,165.30842,0.36122,5.27004,1.40243,3.39024118e-02,1.61607309e-03
30.2602,0.12788447,0.08676954,0.93080170,0.33124734,139.49437,10.40388,165.50062,0.35976,5.27036,1.40154,3.39024118e-02,1.61607309e-03
30.3402,0.12411037,0.08649241,0.93126393,0.33145613,139.55706,10.01012,165.69220,0.35829,5.27068,1.40065,3.39024118e-02,1.61607309e-03
30.4203,0.12033455,0.08621324,0.93171233,0.33166098,139.61823,9.61618,165.88319,0.35682,5.27100,1.39977,3.39024118e-02,1.61607309e-03
30.5003,0.11655706,0.08593205,0.93214689,0.33186190,139.67790,9.22207,166.07361,0.35535,5.27132,1.39889,3.39024118e-02,1.61607309e-03
30.5804,0.11277795,0.08564883,0.93256759,0.33205888,139.73608,8.82779,166.26348,0.35389,5.27164,1.39802,3.39024118e-02,1.61607309e-03
30.6604,0.10899729,0.08536362,0.93297444,0.33225193,139.79276,8.43336,166.45281,0.35242,5.27195,1.39714,3.39024118e-02,1.61607309e-03
30.7405,0.10521512,0.08507640,0.93336742,0.33244104,139.84796,8.03876,166.64163,0.35096,5.27226,1.39628,3.39024118e-02,1.61607309e-03
30.8205,0.10143150,0.08478720,0.93374653,0.33262621,139.90169,7.64401,166.82996,0.34949,5.27258,1.39541,3.39024118e-02,1.61607309e-03
30.9006,0.09764649,0.08449603,0.93411176,0.33280745,139.95396,7.24912,167.01782,0.34803,5.27289,1.39455,3.39024118e-02,1.61607309e-03
30.9807,0.09386014,0.08420289,0.93446311,0.33298474,140.00477,6.85408,167.20522,0.34657,5.27319,1.39369,3.39024118e-02,1.61607309e-03
31.0607,0.09007250,0.08390780,0.93480057,0.33315810,140.05413,6.45890,167.39219,0.34511,5.27350,1.39284,3.39024118e-02,1.61607309e-03
31.1408,0.08628364,0.08361076,0.93512413,0.33332753,140.10204,6.06360,167.57874,0.34365,5.27381,1.39198,3.39024118e-02,1.61607309e-03
31.2208,0.08249360,0.08331179,0.93543378,0.33349301,140.14852,5.66816,167.76490,0.34219,5.27411,1.39114,3.39024118e-02,1.61607309e-03
31.3009,0.07870244,0.08301090,0.93572953,0.33365455,140.19356,5.27260,167.95068,0.34073,5.27441,1.39029,3.39024118e-02,1.61607309e-03
31.3809,0.07491022,0.08270810,0.93601136,0.33381216,140.23718,4.87693,168.13610,0.33927,5.27472,1.38945,3.39024118e-02,1.61607309e-03
31.4610,0.07111699,0.08240340,0.93627928,0.33396582,140.27938,4.48114,168.32118,0.33782,5.27502,1.38862,3.39024118e-02,1.61607309e-03
31.5410,0.06732280,0.08209680,0.93653326,0.33411555,140.32017,4.08524,168.50594,0.33636,5.27531,1.38778,3.39024118e-02,1.61607309e-03
31.6211,0.06352772,0.08178833,0.93677332,0.33426134,140.35954,3.68923,168.69040,0.33490,5.27561,1.38695,3.39024118e-02,1.61607309e-03
31.7011,0.05973179,0.08147799,0.93699945,0.33440318,140.39751,3.29313,168.87458,0.33345,5.27591,1.38612,3.39024118e-02,1.61607309e-03
31.7812,0.05593508,0.08116579,0.93721163,0.33454109,140.43408,2.89693,169.05849,0.33200,5.27620,1.38530,3.39024118e-02,1.61607309e-03
31.8612,0.05213763,0.08085175,0.93740987,0.33467505,140.46924,2.50064,169.24216,0.33054,5.27649,1.38448,3.39024118e-02,1.61607309e-03
31.9413,0.04833951,0.08053587,0.93759417,0.33480508,140.50302,2.10426,169.42559,0.32909,5.27679,1.38366,3.39024118e-02,1.61607309e-03
32.0213,0.04454076,0.08021817,0.93776451,0.33493116,140.53540,1.70780,169.60882,0.32764,5.27708,1.38285,3.39024118e-02,1.61607309e-03
32.1014,0.04074145,0.07989865,0.93792090,0.33505331,140.56639,1.31126,169.79185,0.32619,5.27736,1.38204,3.39024118e-02,1.61607309e-03
32.1815,0.03694162,0.07957733,0.93806334,0.33517151,140.59599,0.91465,169.97471,0.32474,5.27765,1.38124,3.39024118e-02,1.61607309e-03
32.2615,0.03314133,0.07925422,0.93819181,0.33528578,140.62422,0.51797,170.15741,0.32329,5.27794,1.38043,3.39024118e-02,1.61607309e-03
32.3416,0.02934065,0.07892933,0.93830632,0.33539610,140.65106,0.12123,170.33997,0.32184,5.27822,1.37963,3.39024118e-02,1.61607309e-03
32.4216,0.02553961,0.07860266,0.93840686,0.33550249,140.67652,-0.27558,170.52242,0.32039,5.27850,1.37884,3.39024118e-02,1.61607309e-03
32.5017,0.02173829,0.07827425,0.93849343,0.33560493,140.70060,-0.67244,170.70476,0.31894,5.27879,1.37805,3.39024118e-02,1.61607309e-03
32.5817,0.01793672,0.07794408,0.93856603,0.33570344,140.72330,-1.06935,170.88702,0.31750,5.27907,1.37726,3.39024118e-02,1.61607309e-03
32.6618,0.01413498,0.07761218,0.93862466,0.33579800,140.74463,-1.46631,171.06921,0.31605,5.27934,1.37647,3.39024118e-02,1.61607309e-03
32.7418,0.01033311,0.07727855,0.93866931,0.33588863,140.76458,-1.86331,171.25136,0.31461,5.27962,1.37569,3.39024118e-02,1.61607309e-03
32.8219,0.00653117,0.07694321,0.93869999,0.33597532,140.78316,-2.26036,171.43347,0.31316,5.27990,1.37491,3.39024118e-02,1.61607309e-03
32.9019,0.00272922,0.07660617,0.93871669,0.33605806,140.80036,-2.65743,171.61557,0.31172,5.28017,1.37414,3.39024118e-02,1.61607309e-03
32.9820,-0.00107270,0.07626744,0.93871941,0.33613687,140.81618,-3.05454,171.79768,0.31027,5.28044,1.37337,3.39024118e-02,1.61607309e-03
33.0620,-0.00487452,0.07592703,0.93870815,0.33621174,140.83063,-3.45167,171.97981,0.30883,5.28072,1.37260,3.39024118e-02,1.61607309e-03
33.1421,-0.00867619,0.07558495,0.93868291,0.33628268,140.84369,-3.84883,172.16199,0.30739,5.28099,1.37183,3.39024118e-02,1.61607309e-03
33.2221,-0.01247766,0.07524121,0.93864368,0.33634967,140.85538,-4.24600,172.34422,0.30595,5.28125,1.37107,3.39024118e-02,1.61607309e-03
33.3022,-0.01627886,0.07489583,0.93859048,0.33641273,140.86569,-4.64319,172.52653,0.30451,5.28152,1.37031,3.39024118e-02,1.61607309e-03
33.3823,-0.02007976,0.07454882,0.93852329,0.33647185,140.87461,-5.04038,172.70894,0.30307,5.28179,1.36956,3.39024118e-02,1.61607309e-03
33.4623,-0.02388028,0.07420018,0.93844212,0.33652704,140.88215,-5.43758,172.89146,0.30163,5.28205,1.36881,3.39024118e-02,1.61607309e-03
33.5424,-0.02768037,0.07384993,0.93834697,0.33657829,140.88830,-5.83478,173.07412,0.30019,5.28232,1.36806,3.39024118e-02,1.61607309e-03
33.6224,-0.03147998,0.07349808,0.93823784,0.33662560,140.89306,-6.23197,173.25693,0.29876,5.28258,1.36732,3.39024118e-02,1.61607309e-03
33.7025,-0.03527906,0.07314465,0.93811473,0.33666898,140.89642,-6.62916,173.43991,0.29732,5.28284,1.36658,3.39024118e-02,1.61607309e-03
33.7825,-0.03907755,0.07278964,0.93797764,0.33670843,140.89839,-7.02633,173.62307,0.29588,5.28310,1.36584,3.39024118e-02,1.61607309e-03
33.8626,-0.04287539,0.07243307,0.93782657,0.33674394,140.89896,-7.42349,173.80644,0.29445,5.28336,1.36511,3.39024118e-02,1.61607309e-03
33.9426,-0.04667253,0.07207494,0.93766152,0.33677552,140.89812,-7.82063,173.99004,0.29301,5.28361,1.36438,3.39024118e-02,1.61607309e-03
34.0227,-0.05046891,0.07171527,0.93748250,0.33680317,140.89587,-8.21774,174.17389,0.29158,5.28387,1.36365,3.39024118e-02,1.61607309e-03
34.1027,-0.05426448,0.07135407,0.93728950,0.33682688,140.89221,-8.61481,174.35799,0.29015,5.28412,1.36293,3.39024118e-02,1.61607309e-03
34.1828,-0.05805919,0.07099136,0.93708254,0.33684667,140.88713,-9.01186,174.54238,0.28871,5.28437,1.36221,3.39024118e-02,1.61607309e-03
34.2628,-0.06185297,0.07062714,0.93686160,0.33686252,140.88062,-9.40887,174.72707,0.28728,5.28462,1.36149,3.39024118e-02,1.61607309e-03
34.3429,-0.06564578,0.07026142,0.93662670,0.33687445,140.87269,-9.80583,174.91208,0.28585,5.28487,1.36078,3.39024118e-02,1.61607309e-03
34.4229,-0.06943755,0.06989423,0.93637783,0.33688244,140.86331,-10.20274,175.09743,0.28442,5.28512,1.36007,3.39024118e-02,1.61607309e-03
34.5030,-0.07322824,0.06952556,0.93611500,0.33688651,140.85250,-10.59960,175.28314,0.28299,5.28537,1.35936,3.39024118e-02,1.61607309e-03
34.5831,-0.07701779,0.06915543,0.93583822,0.33688665,140.84023,-10.99641,175.46923,0.28156,5.28561,1.35866,3.39024118e-02,1.61607309e-03
34.6631,-0.08080614,0.06878386,0.93554748,0.33688287,140.82651,-11.39315,175.65572,0.28013,5.28586,1.35796,3.39024118e-02,1.61607309e-03
34.7432,-0.08459324,0.06841085,0.93524279,0.33687516,140.81132,-11.78983,175.84263,0.27870,5.28610,1.35726,3.39024118e-02,1.61607309e-03
34.8232,-0.08837904,0.06803642,0.93492415,0.33686352,140.79466,-12.18643,176.02998,0.27728,5.28634,1.35657,3.39024118e-02,1.61607309e-03
34.9033,-0.09216347,0.06766057,0.93459156,0.33684796,140.77652,-12.58296,176.21778,0.27585,5.28658,1.35588,3.39024118e-02,1.61607309e-03
34.9833,-0.09594649,0.06728333,0.93424504,0.33682848,140.75689,-12.97941,176.40607,0.27442,5.28682,1.35520,3.39024118e-02,1.61607309e-03
35.0634,-0.09972803,0.06690470,0.93388458,0.33680508,140.73576,-13.37578,176.59486,0.27300,5.28706,1.35451,3.39024118e-02,1.61607309e-03
35.1434,-0.10350805,0.06652469,0.93351020,0.33677776,140.71313,-13.77205,176.78417,0.27157,5.28730,1.35384,3.39024118e-02,1.61607309e-03
35.2235,-0.10728649,0.06614332,0.93312188,0.33674652,140.68898,-14.16823,176.97403,0.27015,5.28753,1.35316,3.39024118e-02,1.61607309e-03
35.3035,-0.11106330,0.06576060,0.93271965,0.33671136,140.66330,-14.56431,177.16445,0.26873,5.28776,1.35249,3.39024118e-02,1.61607309e-03
35.3836,-0.11483841,0.06537654,0.93230350,0.33667228,140.63609,-14.96029,177.35545,0.26730,5.28800,1.35182,3.39024118e-02,1.61607309e-03
35.4636,-0.11861178,0.06499115,0.93187344,0.33662929,140.60732,-15.35615,177.54707,0.26588,5.28823,1.35115,3.39024118e-02,1.61607309e-03
35.5437,-0.12238335,0.06460445,0.93142948,0.33658239,140.57700,-15.75190,177.73931,0.26446,5.28846,1.35049,3.39024118e-02,1.61607309e-03
35.6237,-0.12615307,0.06421645,0.93097162,0.33653156,140.54511,-16.14753,177.93221,0.26304,5.28869,1.34983,3.39024118e-02,1.61607309e-03
35.7038,-0.12992088,0.06382715,0.93049987,0.33647683,140.51163,-16.54303,178.12579,0.26162,5.28891,1.34918,3.39024118e-02,1.61607309e-03
35.7839,-0.13368672,0.06343657,0.93001423,0.33641819,140.47656,-16.93841,178.32006,0.26020,5.28914,1.34853,3.39024118e-02,1.61607309e-03
35.8639,-0.13745055,0.06304473,0.92951471,0.33635563,140.43988,-17.33365,178.51505,0.25878,5.28936,1.34788,3.39024118e-02,1.61607309e-03
35.9440,-0.14121231,0.06265163,0.92900132,0.33628917,140.40157,-17.72875,178.71079,0.25736,5.28959,1.34724,3.39024118e-02,1.61607309e-03
36.0240,-0.14497194,0.06225729,0.92847406,0.33621880,140.36164,-18.12370,178.90730,0.25594,5.28981,1.34659,3.39024118e-02,1.61607309e-03
36.1041,-0.14872938,0.06186172,0.92793295,0.33614453,140.32005,-18.51849,179.10460,0.25453,5.29003,1.34596,3.39024118e-02,1.61607309e-03
36.1841,-0.15248460,0.06146493,0.92737798,0.33606635,140.27680,-18.91314,179.30272,0.25311,5.29025,1.34532,3.39024118e-02,1.61607309e-03
36.2642,-0.15623752,0.06106693,0.92680917,0.33598426,140.23186,-19.30761,179.50168,0.25169,5.29046,1.34469,3.39024118e-02,1.61607309e-03
36.3442,-0.15998810,0.06066774,0.92622653,0.33589828,140.18524,-19.70192,179.70151,0.25028,5.29068,1.34406,3.39024118e-02,1.61607309e-03
36.4243,-0.16373627,0.06026737,0.92563005,0.33580840,140.13690,-20.09605,179.90223,0.24886,5.29090,1.34344,3.39024118e-02,1.61607309e-03
36.5043,-0.16748200,0.05986583,0.92501976,0.33571461,140.08683,-20.49001,-179.89613,0.24745,5.29111,1.34282,3.39024118e-02,1.61607309e-03
36.5844,-0.17122522,0.05946313,0.92439566,0.33561693,140.03501,-20.88377,-179.69355,0.24603,5.29132,1.34220,3.39024118e-02,1.61607309e-03
36.6644,-0.17496588,0.05905929,0.92375775,0.33551536,139.98144,-21.27734,-179.48999,0.24462,5.29153,1.34159,3.39024118e-02,1.61607309e-03
36.7445,-0.17870392,0.05865431,0.92310606,0.33540989,139.92608,-21.67071,-179.28543,0.24321,5.29174,1.34098,3.39024118e-02,1.61607309e-03
36.8245,-0.18243929,0.05824822,0.92244057,0.33530053,139.86892,-22.06388,-179.07985,0.24179,5.29195,1.34037,3.39024118e-02,1.61607309e-03
36.9046,-0.18617194,0.05784101,0.92176131,0.33518727,139.80994,-22.45684,-178.87321,0.24038,5.29216,1.33976,3.39024118e-02,1.61607309e-03
36.9847,-0.18990181,0.05743271,0.92106829,0.33507013,139.74912,-22.84957,-178.66549,0.23897,5.29237,1.33916,3.39024118e-02,1.61607309e-03
37.0647,-0.19362885,0.05702333,0.92036151,0.33494910,139.68645,-23.24208,-178.45665,0.23756,5.29257,1.33857,3.39024118e-02,1.61607309e-03
37.1448,-0.19735300,0.05661288,0.91964098,0.33482419,139.62189,-23.63436,-178.24668,0.23615,5.29278,1.33797,3.39024118e-02,1.61607309e-03
37.2248,-0.20107421,0.05620137,0.91890672,0.33469539,139.55543,-24.02640,-178.03554,0.23474,5.29298,1.33738,3.39024118e-02,1.61607309e-03
37.3049,-0.20479243,0.05578881,0.91815873,0.33456271,139.48704,-24.41820,-177.82319,0.23333,5.29318,1.33680,3.39024118e-02,1.61607309e-03
37.3849,-0.20850760,0.05537522,0.91739703,0.33442615,139.41671,-24.80974,-177.60961,0.23192,5.29338,1.33621,3.39024118e-02,1.61607309e-03
37.4650,-0.21221968,0.05496061,0.91662163,0.33428571,139.34440,-25.20102,-177.39477,0.23052,5.29358,1.33563,3.39024118e-02,1.61607309e-03
37.5450,-0.21592859,0.05454499,0.91583253,0.33414139,139.27010,-25.59203,-177.17863,0.22911,5.29378,1.33506,3.39024118e-02,1.61607309e-03
37.6251,-0.21963430,0.05412837,0.91502975,0.33399320,139.19378,-25.98277,-176.96116,0.22770,5.29397,1.33448,3.39024118e-02,1.61607309e-03
37.7051,-0.22333675,0.05371077,0.91421329,0.33384114,139.11541,-26.37323,-176.74234,0.22630,5.29417,1.33391,3.39024118e-02,1.61607309e-03
37.7852,-0.22703587,0.05329219,0.91338318,0.33368520,139.03497,-26.76339,-176.52212,0.22489,5.29436,1.33335,3.39024118e-02,1.61607309e-03
37.8652,-0.23073164,0.05287266,0.91253942,0.33352540,138.95244,-27.15326,-176.30046,0.22348,5.29455,1.33278,3.39024118e-02,1.61607309e-03
37.9453,-0.23442397,0.05245218,0.91168203,0.33336173,138.86777,-27.54282,-176.07735,0.22208,5.29474,1.33222,3.39024118e-02,1.61607309e-03
38.0254,-0.23811283,0.05203077,0.91081101,0.33319420,138.78095,-27.93206,-175.85273,0.22068,5.29493,1.33167,3.39024118e-02,1.61607309e-03
38.1054,-0.24179817,0.05160843,0.90992639,0.33302280,138.69195,-28.32098,-175.62658,0.21927,5.29512,1.33111,3.39024118e-02,1.61607309e-03
38.1855,-0.24547992,0.05118519,0.90902816,0.33284754,138.60073,-28.70957,-175.39886,0.21787,5.29531,1.33056,3.39024118e-02,1.61607309e-03
38.2655,-0.24915803,0.05076105,0.90811635,0.33266842,138.50727,-29.09782,-175.16952,0.21647,5.29549,1.33002,3.39024118e-02,1.61607309e-03
38.3456,-0.25283245,0.05033603,0.90719097,0.33248545,138.41153,-29.48572,-174.93853,0.21506,5.29568,1.32947,3.39024118e-02,1.61607309e-03
38.4256,-0.25650313,0.04991013,0.90625203,0.33229862,138.31348,-29.87326,-174.70586,0.21366,5.29586,1.32894,3.39024118e-02,1.61607309e-03
38.5057,-0.26017002,0.04948337,0.90529955,0.33210794,138.21309,-30.26043,-174.47145,0.21226,5.29605,1.32840,3.39024118e-02,1.61607309e-03
38.5857,-0.26383306,0.04905577,0.90433353,0.33191341,138.11032,-30.64723,-174.23528,0.21086,5.29623,1.32787,3.39024118e-02,1.61607309e-03
38.6658,-0.26749219,0.04862733,0.90335400,0.33171503,138.00514,-31.03363,-173.99730,0.20946,5.29641,1.32734,3.39024118e-02,1.61607309e-03
38.7458,-0.27114737,0.04819808,0.90236096,0.33151281,137.89752,-31.41964,-173.75746,0.20806,5.29659,1.32681,3.39024118e-02,1.61607309e-03
38.8259,-0.27479854,0.04776801,0.90135444,0.33130674,137.78740,-31.80524,-173.51572,0.20666,5.29676,1.32629,3.39024118e-02,1.61607309e-03
38.9059,-0.27844566,0.04733715,0.90033444,0.33109683,137.67477,-32.19042,-173.27205,0.20526,5.29694,1.32577,3.39024118e-02,1.61607309e-03
38.9860,-0.28208866,0.04690550,0.89930098,0.33088309,137.55957,-32.57517,-173.02638,0.20386,5.29711,1.32525,3.39024118e-02,1.61607309e-03
39.0660,-0.28572749,0.04647308,0.89825407,0.33066550,137.44178,-32.95948,-172.77869,0.20247,5.29729,1.32474,3.39024118e-02,1.61607309e-03
39.1461,-0.28936211,0.04603990,0.89719374,0.33044409,137.32134,-33.34335,-172.52891,0.20107,5.29746,1.32423,3.39024118e-02,1.61607309e-03
39.2262,-0.29299245,0.04560598,0.89611999,0.33021884,137.19821,-33.72674,-172.27701,0.19967,5.29763,1.32372,3.39024118e-02,1.61607309e-03
39.3062,-0.29661848,0.04517132,0.89503284,0.32998977,137.07236,-34.10967,-172.02292,0.19828,5.29780,1.32322,3.39024118e-02,1.61607309e-03
39.3863,-0.30024012,0.04473594,0.89393231,0.32975686,136.94374,-34.49210,-171.76662,0.19688,5.29797,1.32272,3.39024118e-02,1.61607309e-03
39.4663,-0.30385734,0.04429985,0.89281841,0.32952014,136.81230,-34.87404,-171.50803,0.19549,5.29814,1.32223,3.39024118e-02,1.61607309e-03
39.5464,-0.30747008,0.04386307,0.89169116,0.32927959,136.67799,-35.25547,-171.24711,0.19409,5.29830,1.32174,3.39024118e-02,1.61607309e-03
39.6264,-0.31107829,0.04342560,0.89055058,0.32903522,136.54077,-35.63637,-170.98381,0.19270,5.29847,1.32125,3.39024118e-02,1.61607309e-03
39.7065,-0.31468191,0.04298747,0.88939668,0.32878704,136.40059,-36.01674,-170.71806,0.19130,5.29863,1.32076,3.39024118e-02,1.61607309e-03
39.7865,-0.31828089,0.04254867,0.88822948,0.32853505,136.25740,-36.39655,-170.44982,0.18991,5.29880,1.32028,3.39024118e-02,1.61607309e-03
39.8666,-0.32187519,0.04210923,0.88704899,0.32827924,136.11115,-36.77580,-170.17903,0.18851,5.29896,1.31980,3.39024118e-02,1.61607309e-03
39.9466,-0.32546474,0.04166916,0.88585524,0.32801963,135.96178,-37.15447,-169.90563,0.18712,5.29912,1.31932,3.39024118e-02,1.61607309e-03
40.0267,-0.32904950,0.04122846,0.88464824,0.32775621,135.80924,-37.53254,-169.62956,0.18573,5.29928,1.31885,3.39024118e-02,1.61607309e-03
40.1067,-0.33262942,0.04078716,0.88342801,0.32748898,135.65347,-37.91001,-169.35075,0.18434,5.29943,1.31838,3.39024118e-02,1.61607309e-03
40.1868,-0.33620444,0.04034526,0.88219456,0.32721796,135.49442,-38.28685,-169.06915,0.18295,5.29959,1.31792,3.39024118e-02,1.61607309e-03
40.2668,-0.33977452,0.03990278,0.88094792,0.32694314,135.33202,-38.66305,-168.78469,0.18156,5.29975,1.31746,3.39024118e-02,1.61607309e-03
40.3469,-0.34333959,0.03945973,0.87968809,0.32666453,135.16623,-39.03859,-168.49731,0.18016,5.29990,1.31700,3.39024118e-02,1.61607309e-03
40.4270,-0.34689961,0.03901612,0.87841511,0.32638212,134.99696,-39.41346,-168.20693,0.17877,5.30005,1.31654,3.39024118e-02,1.61607309e-03
40.5070,-0.35045453,0.03857197,0.87712899,0.32609593,134.82418,-39.78764,-167.91350,0.17738,5.30021,1.31609,3.39024118e-02,1.61607309e-03
40.5871,-0.35400430,0.03812729,0.87582975,0.32580595,134.64779,-40.16112,-167.61694,0.17600,5.30036,1.31564,3.39024118e-02,1.61607309e-03
40.6671,-0.35754886,0.03768208,0.87451740,0.32551219,134.46775,-40.53386,-167.31717,0.17461,5.30051,1.31519,3.39024118e-02,1.61607309e-03
40.7472,-0.36108817,0.03723637,0.87319197,0.32521464,134.28398,-40.90587,-167.01413,0.17322,5.30065,1.31475,3.39024118e-02,1.61607309e-03
40.8272,-0.36462217,0.03679017,0.87185348,0.32491332,134.09641,-41.27711,-166.70774,0.17183,5.30080,1.31431,3.39024118e-02,1.61607309e-03
40.9073,-0.36815081,0.03634348,0.87050194,0.32460823,133.90497,-41.64756,-166.39793,0.17044,5.30095,1.31388,3.39024118e-02,1.61607309e-03
40.9873,-0.37167404,0.03589632,0.86913738,0.32429937,133.70959,-42.01722,-166.08461,0.16906,5.30109,1.31345,3.39024118e-02,1.61607309e-03
41.0674,-0.37519181,0.03544871,0.86775981,0.32398674,133.51019,-42.38605,-165.76770,0.16767,5.30124,1.31302,3.39024118e-02,1.61607309e-03
41.1474,-0.37870407,0.03500065,0.86636926,0.32367034,133.30669,-42.75404,-165.44713,0.16628,5.30138,1.31259,3.39024118e-02,1.61607309e-03
41.2275,-0.38221077,0.03455216,0.86496574,0.32335019,133.09902,-43.12116,-165.12281,0.16490,5.30152,1.31217,3.39024118e-02,1.61607309e-03
41.3075,-0.38571185,0.03410325,0.86354928,0.32302627,132.88708,-43.48739,-164.79465,0.16351,5.30166,1.31175,3.39024118e-02,1.61607309e-03
41.3876,-0.38920727,0.03365394,0.86211990,0.32269860,132.67081,-43.85271,-164.46256,0.16212,5.30180,1.31134,3.39024118e-02,1.61607309e-03
41.4676,-0.39269698,0.03320423,0.86067762,0.32236718,132.45011,-44.21709,-164.12646,0.16074,5.30194,1.31093,3.39024118e-02,1.61607309e-03
41.5477,-0.39618093,0.03275414,0.85922245,0.32203201,132.22489,-44.58051,-163.78625,0.15935,5.30207,1.31052,3.39024118e-02,1.61607309e-03
