t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_L6,eta_L7,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,eta_R6,eta_R7,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.5500,19.489753,1.259879,19.431824,1.073513,1.596233,0.433333,1.836104,0.746902,-0.401262,2.07869662e-04,-9.72152412e-06,4.05373533e-06,6.46118116e-07,-3.96429631e-07,1.29224656e-07,-4.42987701e-08,-1.10186968e-04,6.60658527e-06,-2.30354283e-06,-3.62894508e-07,2.18815574e-07,-6.94428826e-08,2.39242794e-08,6.32025262e-01,9.32130510e-02,2.09305299e-02,2.99871861e+00,1.12480843e-06,3.695e-16,8.882e-16
0.5600,19.495762,1.282352,19.435748,1.093081,1.596320,0.433010,1.836110,0.834933,-0.470963,2.42944742e-04,2.37790669e-06,4.30863492e-06,-1.26593492e-06,3.34688466e-07,4.84825562e-08,-1.86825892e-08,-1.36450501e-04,-8.01244802e-07,-2.48308725e-06,7.12622187e-07,-1.83374796e-07,-2.53879065e-08,1.03353895e-08,6.32033596e-01,9.32127471e-02,2.09046644e-02,2.99873520e+00,1.14713795e-06,3.331e-16,4.885e-15
0.5700,19.501797,1.304828,19.439661,1.112650,1.596408,0.432687,1.836115,0.887680,-0.520192,2.77084012e-04,1.40920698e-05,-1.29235024e-07,7.68793527e-07,-2.12447127e-07,-6.71464464e-08,2.71984124e-08,-1.62104427e-04,-8.02874194e-06,6.54357116e-08,-4.21461964e-07,1.19012412e-07,3.71795050e-08,-1.42956201e-08,6.32042361e-01,9.32125648e-02,2.08761620e-02,2.99875377e+00,1.17102685e-06,3.036e-16,1.332e-15
0.5800,19.507858,1.327307,19.443563,1.132222,1.596509,0.432369,1.836112,0.955450,-0.577520,3.10152890e-04,2.36321755e-05,-4.36365579e-06,3.99622285e-07,5.88242927e-08,-1.22155077e-07,3.79146573e-08,-1.87048055e-04,-1.39722718e-05,2.52978666e-06,-2.25382079e-07,-3.27727017e-08,6.65790656e-08,-2.02045956e-08,6.32054474e-01,9.32131729e-02,2.08304096e-02,2.99878467e+00,1.19093603e-06,5.464e-16,1.776e-15
0.5900,19.513945,1.349789,19.447455,1.151795,1.596593,0.432040,1.836119,1.050625,-0.650569,3.42022075e-04,2.95491842e-05,-3.77394967e-06,-1.18506460e-06,1.02499655e-07,-7.51127281e-08,3.38633887e-09,-2.11182966e-04,-1.77283809e-05,2.22066268e-06,6.68637507e-07,-5.35528175e-08,4.07083415e-08,-1.78502566e-09,6.32061543e-01,9.32126272e-02,2.08099067e-02,2.99879771e+00,1.20514153e-06,6.106e-16,1.332e-15
0.6000,19.520057,1.372274,19.451337,1.171371,1.596699,0.431722,1.836114,1.156582,-0.730218,3.72566772e-04,3.09532564e-05,9.43250752e-07,9.21012009e-07,-2.37227672e-07,3.05414567e-08,-3.25240537e-08,-2.34414183e-04,-1.87315544e-05,-4.93983087e-07,-5.07559658e-07,1.30002612e-07,-1.66031230e-08,1.75460575e-08,6.32074640e-01,9.32134989e-02,2.07584616e-02,2.99883286e+00,1.21985753e-06,9.142e-16,2.220e-15
0.6100,19.526196,1.394761,19.455208,1.190948,1.596822,0.431411,1.836097,1.283024,-0.821533,4.01664879e-04,2.76463784e-05,4.59224545e-06,1.52677461e-07,3.27039898e-07,1.06151263e-07,-2.74709552e-08,-2.56651973e-04,-1.68401795e-05,-2.62462981e-06,-8.76842852e-08,-1.77703153e-07,-5.72628242e-08,1.49872505e-08,6.32092613e-01,9.32155237e-02,2.06818928e-02,2.99888601e+00,1.23233565e-06,9.714e-16,2.220e-15
0.6200,19.532361,1.417252,19.459068,1.210528,1.596936,0.431095,1.836086,1.398998,-0.906969,4.29201795e-04,2.01520808e-05,3.20094486e-06,-1.06248635e-06,-3.52503987e-07,9.20256893e-08,9.66314346e-09,-2.77809547e-04,-1.23548889e-05,-1.85174933e-06,6.01031627e-07,1.94518791e-07,-4.91645275e-08,-4.87628059e-09,6.32107973e-01,9.32169476e-02,2.06185290e-02,2.99892981e+00,1.24495965e-06,9.368e-16,6.661e-16
0.6300,19.538552,1.439746,19.462919,1.230109,1.597042,0.430776,1.836081,1.501401,-0.984345,4.55071631e-04,9.63297321e-06,-1.65601208e-06,1.02755487e-06,3.16208140e-07,4.23292630e-09,3.28790005e-08,-2.97802949e-04,-5.97060843e-06,9.49415621e-07,-5.67992815e-07,-1.73058938e-07,-1.43947142e-09,-1.74469759e-08,6.32120944e-01,9.32178082e-02,2.05675317e-02,2.99896476e+00,1.26290267e-06,1.665e-16,1.332e-15
0.6400,19.544768,1.462242,19.466758,1.249692,1.597132,0.430449,1.836084,1.615549,-1.067888,4.79173716e-04,-2.29139076e-06,-4.63811562e-06,-8.43503235e-08,-2.21836364e-07,-8.22041182e-08,1.58822616e-08,-3.16553839e-04,1.32970149e-06,2.69863673e-06,4.51994110e-08,1.24052294e-07,4.52116289e-08,-8.44928068e-09,6.32129799e-01,9.32177013e-02,2.05376917e-02,2.99898457e+00,1.27924981e-06,5.169e-16,1.332e-15
0.6500,19.551011,1.484742,19.470588,1.269278,1.597206,0.430115,1.836097,1.740881,-1.157228,5.01416391e-04,-1.37920895e-05,-2.50973127e-06,-9.05199019e-07,9.35069499e-08,-9.73444361e-08,-1.84520778e-08,-3.33987581e-04,8.42771564e-06,1.49826870e-06,5.14310156e-07,-5.16484355e-08,5.30050019e-08,9.97808870e-09,6.32134069e-01,9.32165182e-02,2.05313545e-02,2.99898755e+00,1.29360475e-06,4.111e-16,1.332e-15
0.6600,19.557279,1.507244,19.474406,1.288865,1.597287,0.429784,1.836106,1.850553,-1.236798,5.21713364e-04,-2.31131522e-05,2.34960079e-06,1.08675454e-06,4.97260570e-08,-3.26158556e-08,-2.84863432e-08,-3.50036035e-04,1.42396545e-05,-1.30882753e-06,-6.02240994e-07,-2.46499864e-08,1.76494627e-08,1.54850225e-08,6.32140369e-01,9.32158091e-02,2.05147180e-02,2.99899789e+00,1.30776079e-06,5.551e-16,3.553e-15
0.6700,19.563572,1.529748,19.478215,1.308454,1.597384,0.429462,1.836106,1.943234,-1.305210,5.39983891e-04,-2.88396859e-05,4.60446682e-06,-3.03358203e-07,-1.76439852e-07,5.53998857e-08,-4.15502041e-09,-3.64637891e-04,1.78817155e-05,-2.64087253e-06,1.67842049e-07,9.66479717e-08,-2.99383542e-08,2.52747156e-09,6.32151124e-01,9.32161397e-02,2.04754649e-02,2.99902437e+00,1.31541714e-06,1.249e-15,1.776e-15
0.6800,19.569892,1.552256,19.482012,1.328046,1.597462,0.429129,1.836116,1.995807,-1.348999,5.56157736e-04,-3.01104174e-05,1.82192656e-06,-7.22112794e-07,2.69574458e-07,9.41446861e-08,2.34431724e-08,-3.77736036e-04,1.88061024e-05,-1.05971263e-06,4.12703011e-07,-1.45942307e-07,-5.05704170e-08,-1.23337071e-08,6.32156600e-01,9.32152454e-02,2.04629367e-02,2.99903180e+00,1.32067397e-06,2.151e-16,1.332e-15
0.6900,19.576237,1.574766,19.485799,1.347639,1.597542,0.428798,1.836126,2.007885,-1.367855,5.70173129e-04,-2.67482966e-05,-2.90484269e-06,1.09945946e-06,-3.08382553e-07,5.47962751e-08,2.16114604e-08,-3.89279274e-04,1.68825155e-05,1.67669121e-06,-6.10421371e-07,1.70144909e-07,-2.89123723e-08,-1.14786260e-08,6.32162560e-01,9.32144616e-02,2.04480385e-02,2.99904090e+00,1.32816035e-06,7.858e-16,1.332e-15
0.7000,19.582607,1.597279,19.489576,1.367235,1.597617,0.428464,1.836138,2.025174,-1.387617,5.81976425e-04,-1.92851583e-05,-4.39418037e-06,-4.96298363e-07,2.93044569e-07,-2.67102004e-08,-5.38238848e-09,-3.99222828e-04,1.24162198e-05,2.56837037e-06,2.76457289e-07,-1.60073870e-07,1.52760068e-08,2.95754640e-09,6.32167235e-01,9.32133836e-02,2.04395793e-02,2.99904543e+00,1.33459441e-06,2.220e-16,5.551e-16
0.7100,19.589004,1.619795,19.493342,1.386832,1.597691,0.428128,1.836151,2.032032,-1.400002,5.91522882e-04,-8.87736528e-06,-1.05554357e-06,-5.21901740e-07,-2.22952093e-07,-8.21261135e-08,-2.39747581e-08,-4.07528135e-04,6.09991585e-06,6.62203805e-07,3.01290677e-07,1.24470411e-07,4.50148416e-08,1.30205542e-08,6.32171343e-01,9.32121893e-02,2.04336784e-02,2.99904822e+00,1.34410373e-06,2.047e-16,3.109e-15
0.7200,19.595425,1.642313,19.497097,1.406432,1.597799,0.427809,1.836143,2.027690,-1.404496,5.98774959e-04,2.87240462e-06,3.41295053e-06,1.06773356e-06,1.17813457e-07,-6.79236569e-08,-1.29047537e-08,-4.14164146e-04,-1.09434940e-06,-1.93039611e-06,-5.94118887e-07,-6.49505398e-08,3.69319984e-08,7.18232443e-09,6.32185055e-01,9.32132512e-02,2.03786474e-02,2.99908617e+00,1.35643452e-06,2.706e-16,7.772e-16
0.7300,19.601873,1.664834,19.500842,1.426033,1.597919,0.427493,1.836128,2.013855,-1.402085,6.03702530e-04,1.41618692e-05,4.11985221e-06,-6.57800146e-07,7.26671862e-09,8.00511637e-10,1.26818935e-08,-4.19107435e-04,-8.06480377e-06,-2.37210503e-06,3.67164310e-07,-1.41248022e-09,-4.31444371e-10,-6.54211725e-09,6.32201762e-01,9.32150357e-02,2.03079460e-02,2.99913547e+00,1.36540137e-06,8.587e-16,1.776e-15
0.7400,19.608346,1.687359,19.504576,1.445636,1.598036,0.427176,1.836114,1.977134,-1.385484,6.06287769e-04,2.32677331e-05,3.34727738e-07,-3.13590260e-07,-1.24200017e-07,6.54975303e-08,2.16341601e-08,-4.22339352e-04,-1.37470341e-05,-2.04242175e-07,1.85056968e-07,6.79236866e-08,-3.52890049e-08,-1.14503823e-08,6.32217883e-01,9.32166954e-02,2.02400407e-02,2.99918286e+00,1.37311635e-06,7.425e-16,1.776e-15
0.7500,19.614845,1.709886,19.508300,1.465241,1.598153,0.426858,1.836101,1.941914,-1.368635,6.06522290e-04,2.88072486e-05,-3.76080604e-06,9.96121857e-07,2.17183491e-07,7.39430704e-08,4.61383895e-09,-4.23847961e-04,-1.72776266e-05,2.17797633e-06,-5.55129534e-07,-1.17152662e-07,-3.95221544e-08,-2.40373965e-09,6.32233683e-01,9.32182867e-02,2.01737065e-02,2.99922917e+00,1.37851411e-06,2.984e-16,1.776e-15
0.7600,19.621369,1.732416,19.512014,1.484847,1.598266,0.426537,1.836091,1.935609,-1.367569,6.04406527e-04,2.99478570e-05,-3.69223168e-06,-7.82743716e-07,-2.65387890e-07,2.22428156e-08,-1.64829660e-08,-4.23628463e-04,-1.81255545e-05,2.17149216e-06,4.38051902e-07,1.46373311e-07,-1.12695711e-08,8.96149385e-09,6.32248247e-01,9.32195927e-02,2.01136556e-02,2.99927103e+00,1.38028211e-06,1.337e-15,3.997e-15
0.7700,19.627919,1.754949,19.515717,1.504456,1.598376,0.426215,1.836081,1.945754,-1.375459,5.99951475e-04,2.65331360e-05,4.20213391e-07,-1.05768188e-07,2.66710397e-07,-4.46214456e-08,-1.65569871e-08,-4.21682064e-04,-1.61713360e-05,-1.90187343e-07,6.89959574e-08,-1.45507349e-07,2.48491502e-08,9.10159177e-09,6.32262200e-01,9.32207599e-02,2.00566913e-02,2.99931070e+00,1.38442703e-06,3.782e-16,3.109e-15
0.7800,19.634495,1.777485,19.519410,1.524066,1.598505,0.425903,1.836061,1.955388,-1.382533,5.93174680e-04,1.91020499e-05,4.04219224e-06,8.89522283e-07,-2.17608993e-07,-7.16445285e-08,2.97797371e-09,-4.18018475e-04,-1.17251949e-05,-2.30326858e-06,-4.96758517e-07,1.21267400e-07,3.91765285e-08,-1.33470743e-09,6.32281397e-01,9.32231508e-02,1.99732567e-02,2.99936936e+00,1.39071937e-06,1.665e-16,1.332e-15
0.7900,19.641096,1.800024,19.523092,1.543678,1.598629,0.425589,1.836043,1.963857,-1.387998,5.84103623e-04,8.80559879e-06,3.22473817e-06,-8.68924614e-07,1.33548309e-07,-3.90065185e-08,1.77315223e-08,-4.12653695e-04,-5.47664212e-06,-1.86376060e-06,4.87229363e-07,-7.33887973e-08,2.12251127e-08,-9.31374796e-09,6.32299282e-01,9.32252307e-02,1.98966888e-02,2.99942310e+00,1.39874005e-06,2.810e-16,1.776e-15
0.8000,19.647722,1.822566,19.526764,1.563291,1.598727,0.425263,1.836041,1.946044,-1.377504,5.72777239e-04,-2.77066037e-06,-1.09059377e-06,9.33808970e-08,-2.59521934e-08,2.37425233e-08,1.06907607e-08,-4.05608989e-04,1.61297920e-06,6.20860569e-07,-4.23265385e-08,1.67660750e-08,-1.27786152e-08,-5.62741482e-09,6.32310077e-01,9.32256440e-02,1.98563267e-02,2.99945081e+00,1.41069554e-06,4.406e-16,6.661e-16
0.8100,19.654374,1.845111,19.530425,1.582907,1.598819,0.424935,1.836042,1.924727,-1.363660,5.59243079e-04,-1.38519647e-05,-4.15397773e-06,7.54914010e-07,-7.99682143e-08,6.41925318e-08,-8.29327076e-09,-3.96912453e-04,8.45745533e-06,2.41594965e-06,-4.22081627e-07,4.36962563e-08,-3.44362980e-08,4.55291385e-09,6.32319278e-01,9.32256637e-02,1.98245603e-02,2.99947222e+00,1.42130308e-06,4.111e-16,2.665e-15
0.8200,19.661051,1.867658,19.534076,1.602524,1.598889,0.424598,1.836057,1.913389,-1.354045,5.43557132e-04,-2.27462880e-05,-2.63450863e-06,-9.15018528e-07,1.70425860e-07,5.07280462e-08,-1.60273409e-08,-3.86598830e-04,1.40122133e-05,1.56957218e-06,5.14390198e-07,-9.13283365e-08,-2.68315883e-08,8.78876614e-09,6.32322662e-01,9.32243147e-02,1.98224868e-02,2.99947225e+00,1.42958269e-06,4.146e-16,8.882e-16
0.8300,19.667754,1.890208,19.537716,1.622143,1.598963,0.424263,1.836069,1.881049,-1.331098,5.25783592e-04,-2.81025830e-05,1.75897266e-06,2.76341478e-07,-2.24433903e-07,-2.94163474e-09,-4.22271506e-09,-3.74709345e-04,1.74337918e-05,-9.65132348e-07,-1.44961506e-07,1.23763115e-07,2.34834899e-09,2.52355097e-09,6.32327183e-01,9.32232220e-02,1.98149049e-02,2.99947618e+00,1.43778502e-06,1.259e-15,4.441e-16
0.8400,19.674482,1.912761,19.541345,1.641765,1.599054,0.423937,1.836072,1.826386,-1.293460,5.05992662e-04,-2.91168747e-05,4.19820117e-06,5.98681992e-07,2.38814835e-07,-5.12380242e-08,1.18303214e-08,-3.61292734e-04,1.82072126e-05,-2.40275599e-06,-3.35598043e-07,-1.29994059e-07,2.83286951e-08,-6.11958802e-09,6.32336309e-01,9.32232016e-02,1.97841299e-02,2.99949673e+00,1.44320924e-06,3.365e-16,3.331e-16
0.8500,19.681235,1.935316,19.544964,1.661388,1.599136,0.423608,1.836079,1.737367,-1.234243,4.84262795e-04,-2.56516999e-05,2.04144115e-06,-9.22220016e-07,-2.07206424e-07,-5.52779045e-08,1.29489402e-08,-3.46403508e-04,1.62243337e-05,-1.18605159e-06,5.19466872e-07,1.15470008e-07,3.02377972e-08,-6.79819988e-09,6.32343273e-01,9.32226775e-02,1.97643088e-02,2.99950942e+00,1.45012041e-06,2.706e-16,3.109e-15
0.8600,19.688013,1.957874,19.548572,1.681013,1.599211,0.423275,1.836090,1.614059,-1.153486,4.60682466e-04,-1.82534461e-05,-2.30596578e-06,4.37046476e-07,1.42076569e-07,-1.41236535e-08,-1.12051578e-09,-3.30100446e-04,1.17995604e-05,1.32787506e-06,-2.35284589e-07,-7.78766331e-08,7.74973792e-09,7.05487397e-10,6.32348281e-01,9.32216920e-02,1.97545150e-02,2.99951488e+00,1.46190125e-06,3.001e-16,1.776e-15
0.8700,19.694816,1.980434,19.552170,1.700640,1.599287,0.422942,1.836101,1.486868,-1.068665,4.35345723e-04,-8.06822929e-06,-4.07392793e-06,4.28852321e-07,-5.10810028e-08,3.65527390e-08,-1.27282243e-08,-3.12448936e-04,5.61857621e-06,2.38028086e-06,-2.41076056e-07,3.04655584e-08,-1.96191708e-08,6.98425958e-09,6.32353440e-01,9.32207429e-02,1.97439649e-02,2.99952089e+00,1.47475685e-06,5.447e-16,8.882e-16
0.8800,19.701645,2.002997,19.555757,1.720269,1.599365,0.422611,1.836111,1.370413,-0.988601,4.08353679e-04,3.33655097e-06,-1.36063182e-06,-8.92338424e-07,-4.32822588e-08,5.51793561e-08,-8.39940558e-09,-2.93519478e-04,-1.36716313e-06,8.38274632e-07,5.03913984e-07,2.36035585e-08,-2.94406933e-08,4.73806661e-09,6.32359296e-01,9.32199627e-02,1.97297889e-02,2.99952952e+00,1.49071061e-06,5.551e-16,4.885e-15
0.8900,19.708498,2.025563,19.559333,1.739900,1.599459,0.422286,1.836111,1.246793,-0.903461,3.79813271e-04,1.42129647e-05,2.82247355e-06,5.70244313e-07,1.29131885e-07,2.83127884e-08,5.62283364e-09,-2.73387934e-04,-8.08719405e-06,-1.58639164e-06,-3.10739621e-07,-6.87188053e-08,-1.46776357e-08,-2.78372660e-09,6.32369314e-01,9.32201668e-02,1.96943331e-02,2.99955350e+00,1.50828621e-06,2.220e-16,1.332e-15
0.9000,19.715377,2.048131,19.562900,1.759532,1.599576,0.421974,1.836097,1.119599,-0.815348,3.49835544e-04,2.28997241e-05,3.89186202e-06,2.52526794e-07,-1.86279274e-07,-1.98884005e-08,1.21524093e-08,-2.52136060e-04,-1.35165951e-05,-2.23751694e-06,-1.43106771e-07,1.02654533e-07,1.14450965e-08,-6.35035274e-09,6.32386081e-01,9.32219554e-02,1.96246464e-02,2.99960212e+00,1.52188041e-06,2.290e-16,5.551e-16
0.9100,19.722281,2.070702,19.566455,1.779167,1.599683,0.421655,1.836089,0.990323,-0.725303,3.18539401e-04,2.80778140e-05,7.14130663e-07,-8.29035921e-07,2.10401670e-07,-4.92733175e-08,4.04078506e-09,-2.29848591e-04,-1.68308507e-05,-4.23774133e-07,4.69519169e-07,-1.14237786e-07,2.71491323e-08,-2.05514235e-09,6.32399777e-01,9.32230319e-02,1.95704495e-02,2.99963966e+00,1.53497790e-06,2.932e-16,2.665e-15
0.9200,19.729211,2.093276,19.570000,1.798803,1.599781,0.421333,1.836086,0.857428,-0.632863,2.86050225e-04,2.89702565e-05,-3.19470822e-06,6.72855257e-07,-1.93379070e-07,-3.70022357e-08,-8.11683977e-09,-2.06613530e-04,-1.75314267e-05,1.84793077e-06,-3.68934719e-07,1.07646155e-07,2.02515484e-08,4.48622649e-09,6.32411314e-01,9.32235966e-02,1.95273797e-02,2.99966916e+00,1.54826411e-06,7.841e-16,1.332e-15
0.9300,19.736165,2.115853,19.573535,1.818440,1.599877,0.421010,1.836085,0.757420,-0.558866,2.52497473e-04,2.54577519e-05,-3.55919850e-06,7.77403275e-08,1.44721943e-07,4.81270345e-09,-9.72717105e-09,-1.82522948e-04,-1.55213866e-05,2.09261432e-06,-4.52682359e-08,-7.91798513e-08,-2.48552758e-09,5.41881592e-09,6.32422139e-01,9.32239843e-02,1.94881961e-02,2.99969580e+00,1.56050375e-06,7.095e-16,6.661e-16
0.9400,19.743144,2.138432,19.577059,1.838080,1.599960,0.420682,1.836091,0.679467,-0.497571,2.18014801e-04,1.80946535e-05,-2.01444342e-08,-7.36723360e-07,-6.92191114e-08,4.07601796e-08,3.48943248e-10,-1.57672188e-04,-1.11183657e-05,6.54870884e-08,4.18958989e-07,4.02824921e-08,-2.18026504e-08,5.03105679e-11,6.32429582e-01,9.32235751e-02,1.94662694e-02,2.99970998e+00,1.57727593e-06,8.726e-16,2.665e-15
0.9500,19.750149,2.161014,19.580572,1.857721,1.600053,0.420361,1.836091,0.601256,-0.436146,1.82739044e-04,8.02135533e-06,3.51605505e-06,7.42419831e-07,-1.35267455e-08,4.20001085e-08,9.41423598e-09,-1.32159785e-04,-5.00458953e-06,-1.99548854e-06,-4.08911569e-07,7.27455177e-09,-2.22322496e-08,-4.85600367e-09,6.32440120e-01,9.32238755e-02,1.94290709e-02,2.99973506e+00,1.59739909e-06,2.082e-16,8.882e-16
0.9600,19.757178,2.183599,19.584075,1.877365,1.600143,0.420039,1.836093,0.519749,-0.372395,1.46808888e-04,-3.21267494e-06,3.18865373e-06,-8.92226623e-08,9.34620829e-08,9.35218021e-09,6.88379262e-09,-1.06087581e-04,1.87850947e-06,-1.84018173e-06,4.81816507e-08,-4.90869858e-08,-4.39112113e-09,-3.55718143e-09,6.32449766e-01,9.32239552e-02,1.93966899e-02,2.99975660e+00,1.61743341e-06,3.331e-16,4.441e-15
0.9700,19.764233,2.206186,19.587568,1.897009,1.600210,0.419707,1.836109,0.420658,-0.298122,1.10367862e-04,-1.38855013e-05,-6.02210423e-07,-6.20917771e-07,-1.51225859e-07,-2.89670032e-08,-3.43219812e-09,-7.95581332e-05,8.47651691e-06,3.37794517e-07,3.55209172e-07,8.34189117e-08,1.63095259e-08,1.97373357e-09,6.32453286e-01,9.32225826e-02,1.93956809e-02,2.99975541e+00,1.63901213e-06,1.225e-15,3.331e-16
0.9800,19.771312,2.228776,19.591050,1.916656,1.600261,0.419369,1.836135,0.310672,-0.216878,7.35622867e-05,-2.23672881e-05,-3.67947250e-06,7.78625533e-07,1.82435676e-07,-4.16256144e-08,-8.84165034e-09,-5.26752380e-05,1.37830394e-05,2.13894629e-06,-4.29955119e-07,-9.87029167e-08,2.29299893e-08,4.92491503e-09,6.32452515e-01,9.32201835e-02,1.94168479e-02,2.99973809e+00,1.65827175e-06,3.157e-16,2.220e-15
0.9900,19.778416,2.251367,19.594521,1.936305,1.600305,0.419029,1.836165,0.207703,-0.138859,3.65381134e-05,-2.73702889e-05,-2.69135961e-06,-2.41891846e-07,-1.77076508e-07,-1.96692756e-08,-3.32332387e-09,-2.55450887e-05,1.69923479e-05,1.60113940e-06,1.34114777e-07,9.86112664e-08,1.08596114e-08,2.01838124e-09,6.32449859e-01,9.32173265e-02,1.94479330e-02,2.99971353e+00,1.67389352e-06,8.864e-16,2.220e-15
1.0000,19.785545,2.273961,19.597981,1.955957,1.600344,0.418688,1.836197,0.099768,-0.057308,-5.57536408e-07,-2.81432253e-05,1.23902253e-06,-4.87811360e-07,1.42794640e-07,1.72854423e-08,5.83899658e-09,1.72552539e-06,1.76225423e-05,-6.62695794e-07,2.81506227e-07,-7.79089281e-08,-9.16759678e-09,-2.91247769e-09,6.32446222e-01,9.32142311e-02,1.94841946e-02,2.99968519e+00,1.69000148e-06,6.228e-16,4.441e-16
