pair_index,object_a,category_a,object_b,category_b,pair_class,policy,status,reason
1680,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J4-FIXED-APPROACH-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1681,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J4-TROMBONE-U,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1682,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J4-TROMBONE-U-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1683,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J5-HIGH-BYPASS,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1684,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J5-HIGH-BYPASS-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1685,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J5-HIGH-RETURN,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1686,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J5-HIGH-RETURN-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1687,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J5-WRAP,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1688,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J5-WRAP-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1689,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J6-RING-0,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1690,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J6-RING-1,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1691,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J6-RING-2,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1692,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GDE-J6-RING-3,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1693,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GSP-J5-HIGH-A6,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1694,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GSP-J5-HIGH-W2,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1695,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GSP-J5-HIGH-W3,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1696,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GSP-L4-HIGH-E1,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1697,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-GSP-L4-HIGH-E2,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1698,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-PLT-BASE-CONN,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1699,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-PLT-BUS-CONN,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1700,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-PLT-WRIST-SPLIT,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1701,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-SR-WRIST,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1702,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-SR-WRIST-BOOT,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1703,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-A-STAGE-1,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1704,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-A-STAGE-2,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1705,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-A-STAGE-3,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1706,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-A-STAGE-4,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1707,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-B-STAGE-1,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1708,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-B-STAGE-2,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1709,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-B-STAGE-3,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1710,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TEL-J4-B-STAGE-4,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1711,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TRK-J3-RAIL,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1712,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TRK-J3-STOP-A,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1713,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TRK-J3-STOP-B,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1714,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TRK-J4-STOP-NEG,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1715,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TRK-J4-STOP-POS,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1716,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,R::RC-TRK-J4-TROMBONE-RAIL,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1717,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,S::LEFT_LEAF_1,S,S-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1718,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,S::LEFT_LEAF_2,S,S-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1719,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,S::LEFT_LEAF_3,S,S-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1720,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,S::RIGHT_LEAF_1,S,S-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1721,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,S::RIGHT_LEAF_2,S,S-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1722,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,S::RIGHT_LEAF_3,S,S-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1723,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,C::SEG-03_J3_CARRIER_HYBRID_WRAP,C,C-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1724,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,C::SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER,C,C-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1725,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,C::SEG-05_J5_WRIST_WRAP,C,C-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1726,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,C::SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN,C,C-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1727,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,C::SEG-07A_WRIST_TAIL_DATA,C,C-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1728,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,C::SEG-07B_WRIST_TAIL_POWER,C,C-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1729,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,F::BUS,F,F-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1730,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,F::LOAD_BRIDGE,F,F-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1731,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,F::M3R_STAGE_A,F,F-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1732,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,F::M3R_STAGE_B,F,F-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1733,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-BASE-COLLAR,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1734,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-BUS-FLANGE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1735,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J1-RISER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1736,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-MAIN-SPINE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1737,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-ROOT-NECK,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1738,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SPINE-HUB,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1739,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-LOWER-ARM,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1740,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-LOWER-POST,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1741,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-LOWER-SADDLE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1742,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-MID-ARM,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1743,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-MID-POST,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1744,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-MID-SADDLE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1745,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-UPPER-ARM,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1746,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-UPPER-POST,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1747,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-ANN-SUPPORT-UPPER-SADDLE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1748,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-RAIL-PAD-1,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1749,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-RAIL-PAD-2,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1750,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-RAIL-PAD-3,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1751,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J4-RAIL-SPINE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1752,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J6-GUIDE-A,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1753,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-J6-GUIDE-B,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1754,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-BRK-L1-01,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1755,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CAR-J3-CARRIAGE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1756,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CAR-J4-FOLLOWER-TROLLEY,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1757,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CAR-J4-TROMBONE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1758,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-BUS-FT-BASE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1759,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-BUS-FT-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1760,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-BUS-FT-WALL-A,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1761,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-BUS-FT-WALL-B,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1762,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-E210-LINK-00,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1763,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-E210-LINK-01,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1764,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-E210-LINK-02,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1765,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-E210-LINK-03,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1766,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-E210-LINK-04,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1767,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-E210-LINK-05,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1768,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L2-BASE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1769,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L2-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1770,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L2-WALL-A,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1771,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L2-WALL-B,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1772,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L3-BASE,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1773,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L3-LINER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1774,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L3-WALL-A,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1775,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CHN-L3-WALL-B,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1776,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-BUS-HN01,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1777,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-BUS-HN02,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1778,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-BUS-HN03,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1779,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-BUS-RISER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1780,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J1-MOV,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1781,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J1-RELIEF-A1,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1782,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J1-RELIEF-A2,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1783,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J1-RELIEF-B1,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1784,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J2-FIX,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1785,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J2-MOV,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1786,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J3-HOST-BOUNDARY,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1787,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J3-MOV,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1788,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J4-ANN-ENTRY,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1789,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J4-B,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1790,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J4-FIX,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1791,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J4-FOLLOWER,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1792,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J5-FIX,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
1793,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,R::RC-CLP-J5-MOV,R,R-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
