grid_index,case_id,scenario_hash,grasp_point_id,t_c_s,v_app_mps,task_constraint_mode,e15_state_raw,binding_items,recount_class,matched_rule,M_PCS_e15,post_capture_rate_dps,limit__post_capture_rate_dps,margin__post_capture_rate_dps,threshold_registry_status,recount_git_commit,recount_source_file,e15_source_commit
30,P2_tc30_v5mm_pose_6d,f6153d367760681b,P2,30,0.0050000000000000001,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
31,P2_tc30_v5mm_approach_5d,82ef53455f1ace91,P2,30,0.0050000000000000001,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
32,P2_tc30_v10mm_pose_6d,7152dda36ff0a73d,P2,30,0.01,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
33,P2_tc30_v10mm_approach_5d,4f84c68f5b829556,P2,30,0.01,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
34,P2_tc30_v20mm_pose_6d,6bf3d6646a6bb0f7,P2,30,0.02,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
35,P2_tc30_v20mm_approach_5d,0a31a8e93a35a4d6,P2,30,0.02,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
36,P2_tc60_v5mm_pose_6d,3034ef01d6723e50,P2,60,0.0050000000000000001,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
37,P2_tc60_v5mm_approach_5d,8331f594258003f5,P2,60,0.0050000000000000001,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
38,P2_tc60_v10mm_pose_6d,9cbf1ffe3e9b9128,P2,60,0.01,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
39,P2_tc60_v10mm_approach_5d,b5710d25fdf29003,P2,60,0.01,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
40,P2_tc60_v20mm_pose_6d,d8b9c085ca974068,P2,60,0.02,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
41,P2_tc60_v20mm_approach_5d,eeeab3dc8c0b37c3,P2,60,0.02,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
42,P2_tc90_v5mm_pose_6d,fd02666644b595d0,P2,90,0.0050000000000000001,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
43,P2_tc90_v5mm_approach_5d,dba9108432d2452b,P2,90,0.0050000000000000001,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
44,P2_tc90_v10mm_pose_6d,28e505904605d8f1,P2,90,0.01,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
45,P2_tc90_v10mm_approach_5d,ebf3d72105f47dc9,P2,90,0.01,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
46,P2_tc90_v20mm_pose_6d,eaa6d5e0dbd4c9b4,P2,90,0.02,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
47,P2_tc90_v20mm_approach_5d,6414bdd9e390b3c7,P2,90,0.02,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
48,P3_tc00_v5mm_pose_6d,bf6a3e270d43caba,P3,0,0.0050000000000000001,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
49,P3_tc00_v5mm_approach_5d,35c31f5f7ae7f1ab,P3,0,0.0050000000000000001,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
50,P3_tc00_v10mm_pose_6d,8eba4f3a74398c4a,P3,0,0.01,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
51,P3_tc00_v10mm_approach_5d,92bdd55dbea34a7e,P3,0,0.01,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
52,P3_tc00_v20mm_pose_6d,42624f9f644611f0,P3,0,0.02,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
53,P3_tc00_v20mm_approach_5d,6aa8712461ce392a,P3,0,0.02,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
54,P3_tc30_v5mm_pose_6d,35856dcff7b63ede,P3,30,0.0050000000000000001,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
55,P3_tc30_v5mm_approach_5d,e0a10e8e6bc47d9c,P3,30,0.0050000000000000001,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
56,P3_tc30_v10mm_pose_6d,a87c44bc73852533,P3,30,0.01,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
57,P3_tc30_v10mm_approach_5d,96d597c46318f495,P3,30,0.01,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
