t_s,q1_deg,q2_deg,base_theta_deg,base_omega_dps,H_reaction_kgm2ps,ee_x_m,ee_z_m,clearance_min_m
3.3857,21.49618,-14.33079,-4.92353,-3.02263,-0.01929,0.72191,0.07945,0.55191
3.3977,21.65729,-14.43820,-4.95988,-3.02745,-0.01932,0.72171,0.08003,0.55171
3.4097,21.81871,-14.54580,-4.99628,-3.03216,-0.01935,0.72151,0.08062,0.55151
3.4217,21.98041,-14.65361,-5.03274,-3.03675,-0.01938,0.72131,0.08121,0.55131
3.4337,22.14241,-14.76160,-5.06925,-3.04122,-0.01941,0.72110,0.08179,0.55110
3.4457,22.30468,-14.86979,-5.10582,-3.04558,-0.01944,0.72089,0.08238,0.55089
3.4577,22.46723,-14.97815,-5.14243,-3.04981,-0.01946,0.72068,0.08297,0.55068
3.4697,22.63005,-15.08670,-5.17910,-3.05393,-0.01949,0.72047,0.08356,0.55047
3.4817,22.79313,-15.19542,-5.21581,-3.05793,-0.01952,0.72026,0.08415,0.55026
3.4937,22.95647,-15.30432,-5.25257,-3.06181,-0.01954,0.72005,0.08474,0.55005
3.5058,23.12007,-15.41338,-5.28938,-3.06557,-0.01956,0.71983,0.08533,0.54983
3.5178,23.28391,-15.52261,-5.32623,-3.06921,-0.01959,0.71961,0.08592,0.54961
3.5298,23.44799,-15.63199,-5.36312,-3.07273,-0.01961,0.71939,0.08651,0.54939
3.5418,23.61231,-15.74154,-5.40005,-3.07613,-0.01963,0.71917,0.08710,0.54917
3.5538,23.77685,-15.85124,-5.43702,-3.07942,-0.01965,0.71894,0.08770,0.54894
3.5658,23.94162,-15.96108,-5.47403,-3.08258,-0.01967,0.71872,0.08829,0.54872
3.5778,24.10661,-16.07107,-5.51108,-3.08562,-0.01969,0.71849,0.08889,0.54849
3.5898,24.27181,-16.18120,-5.54816,-3.08854,-0.01971,0.71826,0.08948,0.54826
3.6018,24.43721,-16.29147,-5.58527,-3.09134,-0.01973,0.71803,0.09008,0.54803
3.6138,24.60281,-16.40188,-5.62242,-3.09402,-0.01974,0.71779,0.09067,0.54779
3.6258,24.76861,-16.51241,-5.65960,-3.09658,-0.01976,0.71756,0.09127,0.54756
3.6378,24.93460,-16.62306,-5.69680,-3.09902,-0.01977,0.71732,0.09186,0.54732
3.6498,25.10076,-16.73384,-5.73404,-3.10134,-0.01979,0.71708,0.09246,0.54708
3.6618,25.26711,-16.84474,-5.77130,-3.10354,-0.01980,0.71684,0.09306,0.54684
3.6738,25.43362,-16.95575,-5.80859,-3.10562,-0.01981,0.71660,0.09365,0.54660
3.6858,25.60030,-17.06687,-5.84589,-3.10757,-0.01983,0.71636,0.09425,0.54636
3.6978,25.76714,-17.17809,-5.88323,-3.10940,-0.01984,0.71611,0.09485,0.54611
3.7099,25.93412,-17.28942,-5.92058,-3.11112,-0.01985,0.71586,0.09545,0.54586
3.7219,26.10126,-17.40084,-5.95795,-3.11271,-0.01986,0.71561,0.09604,0.54561
3.7339,26.26853,-17.51236,-5.99534,-3.11418,-0.01987,0.71536,0.09664,0.54536
3.7459,26.43594,-17.62396,-6.03274,-3.11553,-0.01988,0.71511,0.09724,0.54511
3.7579,26.60348,-17.73565,-6.07016,-3.11676,-0.01988,0.71485,0.09784,0.54485
3.7699,26.77114,-17.84743,-6.10760,-3.11786,-0.01989,0.71460,0.09844,0.54460
3.7819,26.93892,-17.95928,-6.14504,-3.11885,-0.01990,0.71434,0.09904,0.54434
3.7939,27.10680,-18.07120,-6.18250,-3.11971,-0.01990,0.71408,0.09963,0.54408
3.8059,27.27479,-18.18319,-6.21996,-3.12046,-0.01990,0.71382,0.10023,0.54382
3.8179,27.44288,-18.29525,-6.25743,-3.12108,-0.01991,0.71355,0.10083,0.54355
3.8299,27.61106,-18.40737,-6.29491,-3.12158,-0.01991,0.71329,0.10143,0.54329
3.8419,27.77933,-18.51955,-6.33239,-3.12196,-0.01991,0.71302,0.10203,0.54302
3.8539,27.94767,-18.63178,-6.36988,-3.12222,-0.01991,0.71275,0.10263,0.54275
3.8659,28.11609,-18.74406,-6.40736,-3.12235,-0.01991,0.71248,0.10322,0.54248
3.8779,28.28458,-18.85639,-6.44485,-3.12237,-0.01991,0.71221,0.10382,0.54221
3.8899,28.45313,-18.96875,-6.48234,-3.12227,-0.01991,0.71193,0.10442,0.54193
3.9020,28.62174,-19.08116,-6.51982,-3.12204,-0.01991,0.71166,0.10502,0.54166
3.9140,28.79039,-19.19360,-6.55730,-3.12170,-0.01991,0.71138,0.10561,0.54138
3.9260,28.95909,-19.30606,-6.59477,-3.12123,-0.01991,0.71110,0.10621,0.54110
3.9380,29.12783,-19.41855,-6.63224,-3.12064,-0.01990,0.71082,0.10681,0.54082
3.9500,29.29660,-19.53106,-6.66970,-3.11994,-0.01990,0.71054,0.10740,0.54054
3.9620,29.46539,-19.64359,-6.70715,-3.11911,-0.01989,0.71026,0.10800,0.54026
3.9740,29.63420,-19.75613,-6.74458,-3.11816,-0.01988,0.70997,0.10860,0.53997
3.9860,29.80303,-19.86869,-6.78201,-3.11710,-0.01988,0.70968,0.10919,0.53968
3.9980,29.97186,-19.98124,-6.81942,-3.11591,-0.01987,0.70940,0.10979,0.53940
4.0100,30.14069,-20.09380,-6.85681,-3.11460,-0.01986,0.70910,0.11038,0.53910
4.0220,30.30952,-20.20635,-6.89419,-3.11318,-0.01985,0.70881,0.11098,0.53881
4.0340,30.47834,-20.31889,-6.93155,-3.11163,-0.01984,0.70852,0.11157,0.53852
4.0460,30.64714,-20.43143,-6.96888,-3.10997,-0.01983,0.70822,0.11216,0.53822
4.0580,30.81592,-20.54395,-7.00620,-3.10819,-0.01982,0.70793,0.11276,0.53793
4.0700,30.98467,-20.65644,-7.04349,-3.10629,-0.01980,0.70763,0.11335,0.53763
4.0820,31.15338,-20.76892,-7.08076,-3.10427,-0.01979,0.70733,0.11394,0.53733
4.0940,31.32205,-20.88137,-7.11801,-3.10214,-0.01978,0.70703,0.11453,0.53703
4.1061,31.49067,-20.99378,-7.15523,-3.09988,-0.01976,0.70673,0.11512,0.53673
4.1181,31.65924,-21.10616,-7.19241,-3.09751,-0.01975,0.70642,0.11571,0.53643
4.1301,31.82775,-21.21850,-7.22957,-3.09502,-0.01973,0.70612,0.11630,0.53613
4.1421,31.99619,-21.33080,-7.26670,-3.09242,-0.01971,0.70581,0.11689,0.53582
4.1541,32.16457,-21.44304,-7.30380,-3.08969,-0.01970,0.70550,0.11748,0.53552
4.1661,32.33286,-21.55524,-7.34086,-3.08686,-0.01968,0.70519,0.11806,0.53522
4.1781,32.50107,-21.66738,-7.37788,-3.08390,-0.01966,0.70488,0.11865,0.53491
4.1901,32.66919,-21.77946,-7.41487,-3.08083,-0.01964,0.70457,0.11924,0.53460
4.2021,32.83721,-21.89148,-7.45182,-3.07764,-0.01962,0.70425,0.11982,0.53430
4.2141,33.00513,-22.00342,-7.48873,-3.07434,-0.01960,0.70394,0.12041,0.53399
4.2261,33.17295,-22.11530,-7.52560,-3.07093,-0.01957,0.70362,0.12099,0.53368
4.2381,33.34065,-22.22710,-7.56243,-3.06740,-0.01955,0.70330,0.12157,0.53337
4.2501,33.50823,-22.33882,-7.59921,-3.06375,-0.01953,0.70298,0.12215,0.53306
4.2621,33.67568,-22.45045,-7.63595,-3.05999,-0.01950,0.70266,0.12273,0.53275
4.2741,33.84300,-22.56200,-7.67264,-3.05612,-0.01948,0.70234,0.12331,0.53244
4.2861,34.01018,-22.67345,-7.70929,-3.05214,-0.01945,0.70202,0.12389,0.53213
4.2981,34.17722,-22.78481,-7.74588,-3.04804,-0.01942,0.70169,0.12447,0.53182
4.3102,34.34411,-22.89607,-7.78242,-3.04383,-0.01940,0.70137,0.12505,0.53150
4.3222,34.51084,-23.00722,-7.81892,-3.03951,-0.01937,0.70104,0.12562,0.53119
4.3342,34.67741,-23.11827,-7.85536,-3.03507,-0.01934,0.70071,0.12620,0.53088
4.3462,34.84381,-23.22920,-7.89174,-3.03053,-0.01931,0.70038,0.12677,0.53056
4.3582,35.01003,-23.34002,-7.92807,-3.02588,-0.01928,0.70005,0.12734,0.53025
4.3702,35.17608,-23.45072,-7.96434,-3.02111,-0.01925,0.69972,0.12792,0.52993
4.3822,35.34194,-23.56129,-8.00055,-3.01623,-0.01922,0.69939,0.12849,0.52962
4.3942,35.50761,-23.67174,-8.03671,-3.01125,-0.01919,0.69905,0.12905,0.52930
4.4062,35.67308,-23.78205,-8.07280,-3.00616,-0.01915,0.69872,0.12962,0.52898
4.4182,35.83835,-23.89223,-8.10883,-3.00095,-0.01912,0.69838,0.13019,0.52866
4.4302,36.00341,-24.00227,-8.14479,-2.99564,-0.01908,0.69805,0.13076,0.52834
4.4422,36.16825,-24.11217,-8.18069,-2.99022,-0.01905,0.69771,0.13132,0.52803
4.4542,36.33287,-24.22191,-8.21653,-2.98470,-0.01901,0.69737,0.13188,0.52771
4.4662,36.49726,-24.33151,-8.25230,-2.97907,-0.01898,0.69703,0.13245,0.52739
4.4782,36.66142,-24.44095,-8.28799,-2.97333,-0.01894,0.69669,0.13301,0.52707
4.4902,36.82534,-24.55023,-8.32362,-2.96748,-0.01890,0.69635,0.13357,0.52675
4.5023,36.98902,-24.65935,-8.35918,-2.96153,-0.01886,0.69600,0.13412,0.52643
4.5143,37.15245,-24.76830,-8.39466,-2.95548,-0.01883,0.69566,0.13468,0.52610
4.5263,37.31562,-24.87708,-8.43007,-2.94932,-0.01879,0.69531,0.13524,0.52578
4.5383,37.47853,-24.98568,-8.46540,-2.94306,-0.01875,0.69497,0.13579,0.52546
4.5503,37.64117,-25.09411,-8.50066,-2.93669,-0.01870,0.69462,0.13634,0.52514
4.5623,37.80353,-25.20236,-8.53584,-2.93023,-0.01866,0.69427,0.13689,0.52482
4.5743,37.96562,-25.31041,-8.57094,-2.92366,-0.01862,0.69392,0.13744,0.52449
4.5863,38.12742,-25.41828,-8.60597,-2.91698,-0.01858,0.69357,0.13799,0.52417
4.5983,38.28893,-25.52596,-8.64091,-2.91021,-0.01853,0.69322,0.13854,0.52385
4.6103,38.45015,-25.63343,-8.67576,-2.90334,-0.01849,0.69287,0.13908,0.52352
4.6223,38.61106,-25.74071,-8.71054,-2.89637,-0.01844,0.69252,0.13963,0.52320
4.6343,38.77167,-25.84778,-8.74523,-2.88929,-0.01840,0.69217,0.14017,0.52288
4.6463,38.93196,-25.95464,-8.77983,-2.88212,-0.01835,0.69182,0.14071,0.52255
4.6583,39.09193,-26.06129,-8.81434,-2.87485,-0.01831,0.69146,0.14125,0.52223
4.6703,39.25158,-26.16772,-8.84877,-2.86749,-0.01826,0.69111,0.14179,0.52190
4.6823,39.41090,-26.27393,-8.88311,-2.86002,-0.01821,0.69075,0.14232,0.52158
4.6943,39.56988,-26.37992,-8.91735,-2.85246,-0.01816,0.69040,0.14286,0.52125
4.7064,39.72852,-26.48568,-8.95151,-2.84481,-0.01811,0.69004,0.14339,0.52093
4.7184,39.88682,-26.59121,-8.98557,-2.83705,-0.01806,0.68969,0.14392,0.52060
4.7304,40.04476,-26.69651,-9.01954,-2.82921,-0.01801,0.68933,0.14445,0.52028
4.7424,40.20235,-26.80156,-9.05341,-2.82127,-0.01796,0.68897,0.14498,0.51995
4.7544,40.35957,-26.90638,-9.08719,-2.81323,-0.01791,0.68861,0.14551,0.51963
4.7664,40.51642,-27.01095,-9.12086,-2.80511,-0.01786,0.68825,0.14603,0.51930
4.7784,40.67290,-27.11527,-9.15444,-2.79689,-0.01780,0.68789,0.14655,0.51898
4.7904,40.82900,-27.21933,-9.18792,-2.78858,-0.01775,0.68753,0.14707,0.51865
4.8024,40.98471,-27.32314,-9.22130,-2.78018,-0.01770,0.68717,0.14759,0.51833
4.8144,41.14004,-27.42669,-9.25458,-2.77169,-0.01764,0.68681,0.14811,0.51801
4.8264,41.29496,-27.52998,-9.28775,-2.76311,-0.01759,0.68645,0.14863,0.51768
4.8384,41.44949,-27.63299,-9.32082,-2.75444,-0.01753,0.68609,0.14914,0.51736
4.8504,41.60361,-27.73574,-9.35379,-2.74568,-0.01748,0.68573,0.14965,0.51703
4.8624,41.75732,-27.83821,-9.38665,-2.73684,-0.01742,0.68537,0.15016,0.51671
4.8744,41.91061,-27.94041,-9.41940,-2.72791,-0.01736,0.68501,0.15067,0.51638
4.8864,42.06349,-28.04232,-9.45204,-2.71889,-0.01730,0.68464,0.15118,0.51606
4.8984,42.21593,-28.14395,-9.48457,-2.70978,-0.01725,0.68428,0.15168,0.51573
4.9105,42.36794,-28.24529,-9.51700,-2.70060,-0.01719,0.68392,0.15218,0.51541
4.9225,42.51952,-28.34634,-9.54931,-2.69132,-0.01713,0.68356,0.15268,0.51509
4.9345,42.67065,-28.44710,-9.58151,-2.68197,-0.01707,0.68319,0.15318,0.51476
4.9465,42.82133,-28.54755,-9.61360,-2.67253,-0.01701,0.68283,0.15368,0.51444
4.9585,42.97156,-28.64771,-9.64557,-2.66301,-0.01695,0.68247,0.15417,0.51412
4.9705,43.12133,-28.74756,-9.67742,-2.65341,-0.01688,0.68210,0.15466,0.51379
4.9825,43.27064,-28.84710,-9.70917,-2.64372,-0.01682,0.68174,0.15515,0.51347
4.9945,43.41949,-28.94632,-9.74079,-2.63396,-0.01676,0.68138,0.15564,0.51315
5.0065,43.56786,-29.04524,-9.77229,-2.62412,-0.01670,0.68101,0.15613,0.51283
5.0185,43.71575,-29.14383,-9.80368,-2.61420,-0.01663,0.68065,0.15661,0.51251
5.0305,43.86316,-29.24211,-9.83495,-2.60420,-0.01657,0.68028,0.15710,0.51219
5.0425,44.01008,-29.34005,-9.86609,-2.59413,-0.01650,0.67992,0.15758,0.51187
5.0545,44.15651,-29.43767,-9.89711,-2.58398,-0.01644,0.67956,0.15806,0.51155
5.0665,44.30244,-29.53496,-9.92801,-2.57375,-0.01637,0.67919,0.15853,0.51123
5.0785,44.44787,-29.63191,-9.95879,-2.56345,-0.01631,0.67883,0.15901,0.51091
5.0905,44.59279,-29.72853,-9.98944,-2.55307,-0.01624,0.67847,0.15948,0.51059
5.1026,44.73721,-29.82480,-10.01997,-2.54263,-0.01617,0.67811,0.15995,0.51027
5.1146,44.88110,-29.92073,-10.05037,-2.53211,-0.01611,0.67774,0.16042,0.50995
5.1266,45.02447,-30.01632,-10.08064,-2.52151,-0.01604,0.67738,0.16088,0.50963
5.1386,45.16732,-30.11155,-10.11079,-2.51085,-0.01597,0.67702,0.16134,0.50932
5.1506,45.30964,-30.20643,-10.14081,-2.50012,-0.01590,0.67666,0.16181,0.50900
5.1626,45.45143,-30.30095,-10.17069,-2.48931,-0.01583,0.67629,0.16226,0.50869
5.1746,45.59267,-30.39511,-10.20045,-2.47844,-0.01576,0.67593,0.16272,0.50837
5.1866,45.73337,-30.48891,-10.23007,-2.46750,-0.01569,0.67557,0.16318,0.50806
5.1986,45.87352,-30.58235,-10.25957,-2.45649,-0.01562,0.67521,0.16363,0.50774
5.2106,46.01312,-30.67541,-10.28893,-2.44542,-0.01555,0.67485,0.16408,0.50743
5.2226,46.15216,-30.76811,-10.31815,-2.43428,-0.01548,0.67449,0.16453,0.50712
5.2346,46.29064,-30.86043,-10.34724,-2.42308,-0.01541,0.67413,0.16497,0.50681
5.2466,46.42856,-30.95237,-10.37620,-2.41181,-0.01534,0.67377,0.16542,0.50649
5.2586,46.56590,-31.04393,-10.40502,-2.40048,-0.01526,0.67342,0.16586,0.50618
5.2706,46.70267,-31.13511,-10.43370,-2.38909,-0.01519,0.67306,0.16630,0.50587
5.2826,46.83886,-31.22591,-10.46225,-2.37763,-0.01512,0.67270,0.16673,0.50556
5.2946,46.97447,-31.31631,-10.49066,-2.36611,-0.01504,0.67234,0.16717,0.50526
5.3067,47.10949,-31.40632,-10.51893,-2.35454,-0.01497,0.67199,0.16760,0.50495
5.3187,47.24392,-31.49594,-10.54705,-2.34290,-0.01490,0.67163,0.16803,0.50464
5.3307,47.37775,-31.58517,-10.57504,-2.33121,-0.01482,0.67128,0.16846,0.50434
5.3427,47.51098,-31.67399,-10.60289,-2.31946,-0.01475,0.67092,0.16888,0.50403
5.3547,47.64361,-31.76241,-10.63060,-2.30765,-0.01467,0.67057,0.16930,0.50373
5.3667,47.77563,-31.85042,-10.65816,-2.29579,-0.01459,0.67022,0.16972,0.50342
5.3787,47.90704,-31.93803,-10.68558,-2.28387,-0.01452,0.66987,0.17014,0.50312
5.3907,48.03784,-32.02522,-10.71286,-2.27189,-0.01444,0.66952,0.17056,0.50282
5.4027,48.16801,-32.11201,-10.73999,-2.25987,-0.01437,0.66916,0.17097,0.50252
5.4147,48.29756,-32.19837,-10.76697,-2.24779,-0.01429,0.66882,0.17138,0.50222
5.4267,48.42648,-32.28432,-10.79382,-2.23566,-0.01421,0.66847,0.17179,0.50192
5.4387,48.55478,-32.36985,-10.82051,-2.22347,-0.01413,0.66812,0.17220,0.50162
5.4507,48.68244,-32.45496,-10.84706,-2.21124,-0.01405,0.66777,0.17260,0.50133
5.4627,48.80945,-32.53964,-10.87346,-2.19896,-0.01398,0.66743,0.17300,0.50103
5.4747,48.93583,-32.62389,-10.89971,-2.18663,-0.01390,0.66708,0.17340,0.50074
5.4867,49.06156,-32.70771,-10.92582,-2.17425,-0.01382,0.66674,0.17380,0.50044
5.4987,49.18665,-32.79110,-10.95177,-2.16182,-0.01374,0.66639,0.17419,0.50015
5.5108,49.31108,-32.87405,-10.97758,-2.14935,-0.01366,0.66605,0.17458,0.49986
5.5228,49.43485,-32.95657,-11.00323,-2.13683,-0.01358,0.66571,0.17497,0.49957
5.5348,49.55796,-33.03864,-11.02874,-2.12427,-0.01350,0.66537,0.17536,0.49928
5.5468,49.68041,-33.12027,-11.05409,-2.11167,-0.01342,0.66503,0.17574,0.49899
5.5588,49.80220,-33.20146,-11.07929,-2.09902,-0.01334,0.66469,0.17612,0.49870
5.5708,49.92331,-33.28221,-11.10434,-2.08633,-0.01326,0.66435,0.17650,0.49842
5.5828,50.04375,-33.36250,-11.12923,-2.07360,-0.01318,0.66402,0.17688,0.49813
5.5948,50.16351,-33.44234,-11.15398,-2.06083,-0.01309,0.66368,0.17725,0.49785
5.6068,50.28260,-33.52173,-11.17856,-2.04802,-0.01301,0.66335,0.17762,0.49756
5.6188,50.40100,-33.60067,-11.20300,-2.03517,-0.01293,0.66302,0.17799,0.49728
5.6308,50.51871,-33.67914,-11.22728,-2.02228,-0.01285,0.66269,0.17836,0.49700
5.6428,50.63574,-33.75716,-11.25140,-2.00936,-0.01277,0.66236,0.17872,0.49672
5.6548,50.75207,-33.83472,-11.27537,-1.99640,-0.01268,0.66203,0.17909,0.49645
5.6668,50.86771,-33.91181,-11.29918,-1.98341,-0.01260,0.66170,0.17945,0.49617
5.6788,50.98265,-33.98844,-11.32284,-1.97038,-0.01252,0.66137,0.17980,0.49589
5.6908,51.09689,-34.06460,-11.34634,-1.95732,-0.01243,0.66105,0.18016,0.49562
5.7029,51.21043,-34.14029,-11.36968,-1.94422,-0.01235,0.66073,0.18051,0.49535
5.7149,51.32326,-34.21551,-11.39287,-1.93110,-0.01227,0.66040,0.18086,0.49508
5.7269,51.43538,-34.29025,-11.41589,-1.91794,-0.01218,0.66008,0.18120,0.49481
5.7389,51.54679,-34.36453,-11.43876,-1.90476,-0.01210,0.65976,0.18155,0.49454
5.7509,51.65748,-34.43832,-11.46147,-1.89154,-0.01202,0.65945,0.18189,0.49427
5.7629,51.76746,-34.51164,-11.48402,-1.87830,-0.01193,0.65913,0.18223,0.49401
5.7749,51.87672,-34.58448,-11.50641,-1.86503,-0.01185,0.65882,0.18257,0.49374
5.7869,51.98525,-34.65683,-11.52865,-1.85173,-0.01176,0.65850,0.18290,0.49348
5.7989,52.09306,-34.72871,-11.55072,-1.83841,-0.01168,0.65819,0.18323,0.49322
5.8109,52.20014,-34.80010,-11.57263,-1.82506,-0.01159,0.65788,0.18356,0.49296
5.8229,52.30650,-34.87100,-11.59438,-1.81169,-0.01151,0.65757,0.18389,0.49270
5.8349,52.41212,-34.94141,-11.61597,-1.79830,-0.01142,0.65726,0.18421,0.49244
5.8469,52.51700,-35.01134,-11.63740,-1.78488,-0.01134,0.65696,0.18453,0.49218
5.8589,52.62115,-35.08077,-11.65867,-1.77144,-0.01125,0.65665,0.18485,0.49193
5.8709,52.72457,-35.14971,-11.67977,-1.75798,-0.01116,0.65635,0.18517,0.49168
5.8829,52.82724,-35.21816,-11.70072,-1.74451,-0.01108,0.65605,0.18548,0.49143
5.8949,52.92916,-35.28611,-11.72150,-1.73101,-0.01099,0.65575,0.18579,0.49118
5.9070,53.03035,-35.35357,-11.74212,-1.71750,-0.01091,0.65545,0.18610,0.49093
5.9190,53.13079,-35.42052,-11.76258,-1.70397,-0.01082,0.65516,0.18641,0.49068
5.9310,53.23047,-35.48698,-11.78288,-1.69042,-0.01073,0.65486,0.18671,0.49043
5.9430,53.32941,-35.55294,-11.80301,-1.67686,-0.01065,0.65457,0.18701,0.49019
5.9550,53.42760,-35.61840,-11.82298,-1.66329,-0.01056,0.65428,0.18731,0.48995
5.9670,53.52503,-35.68335,-11.84278,-1.64970,-0.01047,0.65399,0.18761,0.48971
5.9790,53.62170,-35.74780,-11.86243,-1.63610,-0.01039,0.65370,0.18790,0.48947
5.9910,53.71762,-35.81175,-11.88191,-1.62249,-0.01030,0.65342,0.18819,0.48923
6.0030,53.81278,-35.87519,-11.90122,-1.60887,-0.01021,0.65313,0.18848,0.48900
6.0150,53.90718,-35.93812,-11.92037,-1.59524,-0.01013,0.65285,0.18877,0.48876
6.0270,54.00082,-36.00054,-11.93936,-1.58160,-0.01004,0.65257,0.18905,0.48853
6.0390,54.09369,-36.06246,-11.95819,-1.56795,-0.00995,0.65229,0.18933,0.48830
6.0510,54.18580,-36.12387,-11.97685,-1.55429,-0.00987,0.65202,0.18961,0.48807
6.0630,54.27714,-36.18476,-11.99535,-1.54063,-0.00978,0.65174,0.18989,0.48784
6.0750,54.36772,-36.24514,-12.01368,-1.52697,-0.00969,0.65147,0.19016,0.48762
6.0870,54.45752,-36.30502,-12.03185,-1.51330,-0.00961,0.65120,0.19043,0.48739
6.0990,54.54656,-36.36437,-12.04985,-1.49962,-0.00952,0.65093,0.19070,0.48717
6.1111,54.63483,-36.42322,-12.06769,-1.48595,-0.00943,0.65067,0.19096,0.48695
6.1231,54.72232,-36.48155,-12.08537,-1.47227,-0.00935,0.65040,0.19123,0.48673
6.1351,54.80904,-36.53936,-12.10288,-1.45859,-0.00926,0.65014,0.19149,0.48651
6.1471,54.89499,-36.59666,-12.12023,-1.44492,-0.00917,0.64988,0.19174,0.48630
6.1591,54.98016,-36.65344,-12.13741,-1.43124,-0.00908,0.64962,0.19200,0.48608
6.1711,55.06456,-36.70971,-12.15443,-1.41757,-0.00900,0.64936,0.19225,0.48587
6.1831,55.14818,-36.76545,-12.17129,-1.40390,-0.00891,0.64911,0.19250,0.48566
6.1951,55.23103,-36.82069,-12.18798,-1.39023,-0.00882,0.64885,0.19275,0.48545
6.2071,55.31310,-36.87540,-12.20450,-1.37657,-0.00874,0.64860,0.19300,0.48524
6.2191,55.39438,-36.92959,-12.22087,-1.36292,-0.00865,0.64835,0.19324,0.48504
6.2311,55.47490,-36.98326,-12.23707,-1.34927,-0.00856,0.64811,0.19348,0.48483
6.2431,55.55463,-37.03642,-12.25310,-1.33563,-0.00848,0.64786,0.19372,0.48463
6.2551,55.63358,-37.08905,-12.26897,-1.32200,-0.00839,0.64762,0.19395,0.48443
6.2671,55.71176,-37.14117,-12.28468,-1.30837,-0.00830,0.64738,0.19419,0.48423
6.2791,55.78915,-37.19277,-12.30023,-1.29476,-0.00822,0.64714,0.19442,0.48404
6.2911,55.86576,-37.24384,-12.31561,-1.28116,-0.00813,0.64691,0.19464,0.48384
6.3032,55.94160,-37.29440,-12.33083,-1.26757,-0.00804,0.64667,0.19487,0.48365
6.3152,56.01665,-37.34443,-12.34588,-1.25400,-0.00796,0.64644,0.19509,0.48346
6.3272,56.09092,-37.39395,-12.36078,-1.24044,-0.00787,0.64621,0.19531,0.48327
6.3392,56.16442,-37.44294,-12.37551,-1.22690,-0.00779,0.64598,0.19553,0.48308
6.3512,56.23713,-37.49142,-12.39007,-1.21337,-0.00770,0.64576,0.19575,0.48290
6.3632,56.30906,-37.53938,-12.40448,-1.19986,-0.00761,0.64553,0.19596,0.48272
6.3752,56.38022,-37.58681,-12.41872,-1.18637,-0.00753,0.64531,0.19617,0.48253
6.3872,56.45059,-37.63373,-12.43280,-1.17289,-0.00744,0.64509,0.19638,0.48235
6.3992,56.52019,-37.68013,-12.44672,-1.15944,-0.00736,0.64488,0.19659,0.48218
6.4112,56.58901,-37.72600,-12.46048,-1.14601,-0.00727,0.64466,0.19679,0.48200
6.4232,56.65704,-37.77136,-12.47408,-1.13260,-0.00719,0.64445,0.19699,0.48183
6.4352,56.72431,-37.81620,-12.48752,-1.11921,-0.00710,0.64424,0.19719,0.48165
6.4472,56.79079,-37.86053,-12.50080,-1.10585,-0.00702,0.64403,0.19738,0.48148
6.4592,56.85650,-37.90433,-12.51391,-1.09251,-0.00693,0.64382,0.19758,0.48131
6.4712,56.92144,-37.94762,-12.52687,-1.07920,-0.00685,0.64362,0.19777,0.48115
6.4832,56.98560,-37.99040,-12.53967,-1.06592,-0.00676,0.64342,0.19796,0.48098
6.4952,57.04898,-38.03266,-12.55230,-1.05266,-0.00668,0.64322,0.19814,0.48082
6.5073,57.11160,-38.07440,-12.56478,-1.03943,-0.00659,0.64302,0.19833,0.48066
6.5193,57.17344,-38.11563,-12.57710,-1.02624,-0.00651,0.64283,0.19851,0.48050
6.5313,57.23451,-38.15634,-12.58927,-1.01307,-0.00643,0.64264,0.19869,0.48034
6.5433,57.29482,-38.19654,-12.60127,-0.99993,-0.00634,0.64245,0.19887,0.48019
6.5553,57.35435,-38.23623,-12.61312,-0.98683,-0.00626,0.64226,0.19904,0.48003
6.5673,57.41312,-38.27541,-12.62481,-0.97377,-0.00618,0.64207,0.19921,0.47988
6.5793,57.47113,-38.31408,-12.63635,-0.96073,-0.00609,0.64189,0.19938,0.47973
6.5913,57.52837,-38.35224,-12.64773,-0.94774,-0.00601,0.64171,0.19955,0.47958
6.6033,57.58485,-38.38990,-12.65895,-0.93478,-0.00593,0.64153,0.19972,0.47944
6.6153,57.64056,-38.42704,-12.67002,-0.92186,-0.00585,0.64135,0.19988,0.47929
6.6273,57.69552,-38.46368,-12.68093,-0.90898,-0.00577,0.64118,0.20004,0.47915
6.6393,57.74973,-38.49982,-12.69169,-0.89613,-0.00568,0.64100,0.20020,0.47901
6.6513,57.80317,-38.53545,-12.70229,-0.88333,-0.00560,0.64083,0.20036,0.47887
6.6633,57.85587,-38.57058,-12.71275,-0.87058,-0.00552,0.64067,0.20051,0.47873
6.6753,57.90781,-38.60521,-12.72304,-0.85786,-0.00544,0.64050,0.20066,0.47860
6.6873,57.95900,-38.63934,-12.73319,-0.84519,-0.00536,0.64034,0.20081,0.47847
6.6993,58.00945,-38.67297,-12.74319,-0.83256,-0.00528,0.64018,0.20096,0.47833
6.7114,58.05915,-38.70610,-12.75303,-0.81999,-0.00520,0.64002,0.20110,0.47820
6.7234,58.10811,-38.73874,-12.76273,-0.80745,-0.00512,0.63986,0.20125,0.47808
6.7354,58.15633,-38.77088,-12.77227,-0.79497,-0.00504,0.63971,0.20139,0.47795
6.7474,58.20381,-38.80254,-12.78167,-0.78254,-0.00496,0.63956,0.20152,0.47783
6.7594,58.25055,-38.83370,-12.79091,-0.77016,-0.00488,0.63941,0.20166,0.47771
6.7714,58.29656,-38.86438,-12.80001,-0.75783,-0.00481,0.63926,0.20179,0.47759
6.7834,58.34185,-38.89456,-12.80896,-0.74555,-0.00473,0.63911,0.20193,0.47747
