asset_id,name,path,root,type,language_or_tool,classification,latest_valid_result,input_config,seed_if_any,model_hash_if_recorded,project_dependency,notes
B-SPACE-ROS,space-ros (hardened ROS 2 for space robotics),REFLIB2_04_robotics_software/04_robotics_software/repos/space-ros/,B,other,ROS2,THIRD_PARTY,"clone per REFLIB2 manifest; crosswalk REPO-space-ros: post_competition; root LICENSE missing -> manual verification required; verdict=library-intact",n/a,n/a_upstream,none recorded,FALSE,"Linux/docker stack; outside 27-day window per crosswalk note. Zero runtime references from ROOT A."
B-ASTROBEE,astrobee (NASA Ames free-flying robot software),REFLIB2_04_robotics_software/04_robotics_software/repos/astrobee/,B,other,C++/ROS,THIRD_PARTY,"clone per REFLIB2 manifest; crosswalk REPO-astrobee: architecture_reference for SAFE-00-style layered autonomy (candidate action -> safety check -> execute); caution: cabin air-propulsion platform, dynamics not transferable; verdict=library-intact",n/a,n/a_upstream,none recorded,FALSE,"Architecture analogy only; explicitly not dynamics evidence. Zero runtime references from ROOT A."
B-CHRONO,Project Chrono (rigid-flexible multibody + FE + contact engine),80_third_party/vendor/chrono/,A (reference-only vendor),multibody,C++/Python,REFERENCE_IMPLEMENTATION,"clean full checkout @24c78cf889de1105be3742cec9586f662cc52b05; ROOT B attempted clone is ABSENT/empty; no project adapter or machine gate; verdict=REFERENCE_ONLY_EXTERNAL_TO_B",n/a,n/a_upstream,git commit 24c78cf889de1105be3742cec9586f662cc52b05,FALSE,"BSD-3-Clause; optional ANCF/contact sandbox only; zero runtime imports; two-root move/index decision remains HOLD"
A-SPACEROBOTENV-REF,SpaceRobotEnv legacy MuJoCo free-floating space-robot Gym environments,80_third_party/external/spacecraft_layout_refs/spacerobotenv/SpaceRobotEnv/,A,freefloating,Python/Gym/mujoco-py,REFERENCE_IMPLEMENTATION,"Clean pinned source checkout only; no project execution/adapter/machine Gate/frozen result/B601 validation","upstream MuJoCo XML assets + requirements.txt",upstream_environment_defined,155989c2ae94a3afeedf9b8601b6125d83b9c097,FALSE,"Reference-only source misplaced in ROOT A and duplicated under F:/Robotic arm; migrate/index to ROOT B only after updating 50_literature/references/manifest.yaml local_path; not an external runtime dependency."
RA-ZERO-MUJOCO,zero-robotic-arm MuJoCo TD3 end-effector-tracking teaching case,F:/Robotic arm/zero-robotic-arm/5. Deep_LR/,RA (external donor),control,Python/Gymnasium/MuJoCo/Stable-Baselines3 TD3,TEACHING_CASE,"Tracked upstream teaching artifacts only; README states the handwritten TD3 is unvalidated; no project execution/adapter/Gate/B601 validation",robot_arm_mujoco.xml,not_recorded,"model XML sha256 739B14898F896E7D4BBC099F365ABE94CD3E38965CD53B74460C0C0150E75447; repo HEAD c16b4be639d1619073dfe629cf37750dfc1d7c54",FALSE,"Fixed-base desktop 6R arm, not a free-floating space robot. 14 files / 38,422,631 B; Deep_LR subtree is fully tracked and clean. Parent repo has 26 porcelain entries (1 staged add, 24 modified CAD/BOM files, 1 untracked CAD file); external-root runtime dependency=0."
CAE-ARM-MBD,6-DOF robotic arm multibody dynamics teaching video,6自由度机械臂多体动力学.mp4,CAE,multibody,Video (tool n/a),CAE_EXAMPLE,"media file, no project result; index-only sighting 2026-08-08; verdict=teaching-media",n/a,n/a,none,FALSE,"Generic robotic-arm multibody dynamics course material. SEI-relevant topic (multibody arm) but no B601/spacecraft content. Not ingestible as engineering truth."
CAE-JOINT-TRANSIENT,manipulator joint transient dynamics evaluation geometry,机械手关节瞬态动力学评估.x_t,CAE,multibody,Parasolid x_t (ANSYS-class workflow),CAE_EXAMPLE,"geometry file only, no results; index-only; verdict=teaching-geometry",n/a,n/a,none,FALSE,"Joint-level transient dynamics example geometry. No mass/inertia ledger usable for SEI; do not promote numbers into project SSOT."
CAE-GRIPPER,robotic arm gripper model archive,机械臂夹爪model.zip,CAE,other,"ZIP (CAD; uninspected)",CAE_EXAMPLE,"archive not opened (read-only recon, binary); index-only; verdict=teaching-model",n/a,n/a,none,FALSE,"Generic gripper CAD model. Project gripper truth is 80_third_party/vendor/reBot-DevArm/ (B601) — this CAE item is NOT it."
CAE-DEXHAND,linkage dexterous-hand dynamics simulation video,连杆型灵巧手动力学仿真.mp4,CAE,multibody,Video,CAE_EXAMPLE,"media file; index-only; verdict=teaching-media",n/a,n/a,none,FALSE,"Linkage-hand dynamics course material; topic-adjacent (end effector) only."
CAE-VIB6DOF,6-DOF vibration platform dynamics evaluation (Workbench & Fluent) + zips,Ansys_CAE/vibration_platform_six_DOF/,CAE,multibody,ANSYS Workbench/Fluent,CAE_EXAMPLE,"zips not opened; index-only; verdict=teaching-example",n/a,n/a,none,FALSE,"ANSYS 6-DOF platform dynamics evaluation example; companion root media 振动平台6自由度.mp4. Tool chain (Workbench/Fluent) not part of project dynamics truth chain."
CAE-ROBOT-HUMANOID,humanoid robot CAE training set (ParaCS .yhsproj projects Robot1-4 + STEP + training PDF),Ansys_CAE/Robot_Humanoid/,CAE,multibody,ParaCS (Chinese CAE) / STEP,CAE_EXAMPLE,"ParaCS 5.3.2.13 projects present (Robot1/Robot2 .yhsproj, Robot3 STEP, Robot4 dir); training PDF day-1; index-only; verdict=teaching-coursework",n/a,n/a,none,FALSE,"2026-04 training camp content. Humanoid whole-machine transient analysis (智元机器人 zip/mp4 at root is companion media). No space-structure content."
CAE-TRAIN-DAY1,ParaCS-S robot training project day 1,train/Robot_day1/,CAE,other,ParaCS-S (.yhsproj),CAE_EXAMPLE,"project + module dirs; index-only; verdict=teaching-coursework",n/a,n/a,none,FALSE,"General CAE training; no SEI dynamics content identified at index depth."
CAE-TRAIN-DAY2,ParaCS-S robot training project day 2,train/Robot_day2/,CAE,other,ParaCS-S (.yhsproj),CAE_EXAMPLE,"project + module dirs; index-only; verdict=teaching-coursework",n/a,n/a,none,FALSE,"General CAE training; no SEI dynamics content identified at index depth."
CAE-FIVECLAW,five-claw gripping mechanism SolidWorks modeling course archive,25·五爪夹持机构SolidWorks三维建模实战.zip,CAE,other,SolidWorks (zip),CAE_EXAMPLE,"archive not opened; index-only; verdict=teaching-coursework",n/a,n/a,none,FALSE,"CAD modeling course, not dynamics; listed because gripper/grasp topic-adjacent. No SEI truth value."
