urdf_link,urdf_joint,component_name2,native_path,native_sha256,step_path,visual_mesh_path,collision_mesh_path,control_frame,camera_frame,authority_level,status,notes
,,MID_CONTACT_PAD_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/MID_CONTACT_PAD_V2.SLDPRT,71F360AF7ACE2A8B27DB8CA34026FE46C9C9661AA079D2DCB841BD2A75B9B213,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_CONTACT_PAD.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_CONTACT_PAD.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/supports/V4_MID_CONTACT_PAD.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,ARM_HDRM_RELEASE_SWEEP_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/hdrm/ARM_HDRM_RELEASE_SWEEP_ENVELOPE.SLDPRT,AC90D4FB3FAA6888198255922D0128E4C7B8702467FD3DA266B9A433BCEFAE42,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/hdrm/V4_ARM_HDRM_RELEASE_SWEEP_KEEP_OUT.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/hdrm/V4_ARM_HDRM_RELEASE_SWEEP_KEEP_OUT.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/hdrm/V4_ARM_HDRM_RELEASE_SWEEP_KEEP_OUT.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,ARM_HDRM_60MM_MOUNT_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/hdrm/ARM_HDRM_60MM_MOUNT_ENVELOPE.SLDPRT,ED08F4BD92F41CD42A92C6D3F497C0570A1B842DA8A79F74ED03AF223A3A95D6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/hdrm/V4_ARM_HDRM_60MM_FLANGE_SKELETON.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/hdrm/V4_ARM_HDRM_60MM_FLANGE_SKELETON.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/hdrm/V4_ARM_HDRM_60MM_FLANGE_SKELETON.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,SERVICE_CAMERA_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/camera_harness/SERVICE_CAMERA_ENVELOPE.SLDPRT,2C9BFCC330A4EEEAE8F7FF062F090E580D393494007F9BE68BC5BC09523E613C,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/camera_harness/V4_CAMERA_SELECTION_KEEP_OUT_LINK6.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/camera_harness/V4_CAMERA_SELECTION_KEEP_OUT_LINK6.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/camera_harness/V4_CAMERA_SELECTION_KEEP_OUT_LINK6.stl,spacecraft_assembly_frame,camera_optical_frame,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,B601_OD9_STATIC_HARNESS_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/camera_harness/B601_OD9_STATIC_HARNESS_ENVELOPE.SLDPRT,3E08F338C6BC7380C8D34CD8BEE748312EDC1A8687DDB2C735176A912A2CE301,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/camera_harness/V4_HARNESS_STATIC_ROUTE_OD9_KEEP_OUT.step,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/camera_harness/V4_HARNESS_STATIC_ROUTE_OD9_KEEP_OUT.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809/02_neutral_cad/camera_harness/V4_HARNESS_STATIC_ROUTE_OD9_KEEP_OUT.stl,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1_IMPORT_PASS,native part identity hash-bound by V5_LOOP1_NEUTRAL_IMPORT_RECEIPT.json
,,B601_BASE_ADAPTER_REV_B2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/B601_BASE_ADAPTER_REV_B2.SLDASM,ED30FB19A040D7D4D389DE1A12DB29C6C2C740B2839104C03642868180158A66,,,,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1A_SUBASSEMBLY_PASS,subassembly cold-reopen PASS bound by V5_LOOP1A_SUBASSEMBLY_RECEIPT.json
,,G07_PRIMARY_SUPPORT_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/G07_PRIMARY_SUPPORT_V2.SLDASM,7DC90F293DE9D63AD5939DBEDC019D11CA257A73188D3D704BB7CAA9E20747AB,,,,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1A_SUBASSEMBLY_PASS,subassembly cold-reopen PASS bound by V5_LOOP1A_SUBASSEMBLY_RECEIPT.json
,,G08_PRIMARY_SUPPORT_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/G08_PRIMARY_SUPPORT_V2.SLDASM,346EC541A1E92C15AD6B8B06B16608BD361E494F0B7DB240DE3526273583A2C5,,,,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1A_SUBASSEMBLY_PASS,subassembly cold-reopen PASS bound by V5_LOOP1A_SUBASSEMBLY_RECEIPT.json
,,MID_BACKUP_SUPPORT_V2,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/MID_BACKUP_SUPPORT_V2.SLDASM,11E70D9F5C523FAFAB726A4DEF6D021729261DA25E0A878B46CA8EA7D70EBD81,,,,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1A_SUBASSEMBLY_PASS,subassembly cold-reopen PASS bound by V5_LOOP1A_SUBASSEMBLY_RECEIPT.json
,,B601_DIAMOND_DOWEL_4MM,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_DIAMOND_DOWEL_4MM.SLDPRT,6C18D56ED6B09E0042649AF338793BE60E0AC9D80B57F3BB4B2E94960AAA2F45,,,,spacecraft_assembly_frame,,L1_NATIVE,MAPPED_LOOP1A_SUBASSEMBLY_PASS,subassembly cold-reopen PASS bound by V5_LOOP1A_SUBASSEMBLY_RECEIPT.json
,,LEFT_HARNESS_SERVICE_LOOP_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HARNESS_SERVICE_LOOP_V22_ISOLATED.SLDPRT,E652A34F87F12C920EF2CE90CBD7E58CBD7E8C082A4A9356E9AE9E6177321758,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,LEFT_PANEL_SIDE_U_LUG_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_PANEL_SIDE_U_LUG_NATIVE.SLDPRT,5E8BDB76637B7F394560A95A938C3FF363DDAE88950E93266CFE66837ABCD749,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,LEFT_WING_PANEL_PHYSICAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_WING_PANEL_PHYSICAL.SLDPRT,9EE77018D3F2DB0369545529739902C7129F72441BFEB5369AF0938C9A53CCC4,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,LEFT_HINGE_PIN_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HINGE_PIN_V22_ISOLATED.SLDPRT,97F6BE610F93605B098590A0C0CD157BE3C14A620B58976AA8A74FF00368733F,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,LEFT_HINGE_AXIAL_RETAINER_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HINGE_AXIAL_RETAINER_NATIVE.SLDPRT,501BA210A1200E641922D696E27DC9E09A86320D454A0C214A0B57E941BF153A,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,LEFT_TORSION_SPRING_1_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_TORSION_SPRING_1_V22_ISOLATED.SLDPRT,EA364E7FBDFBA43635FCBF9F47D1E9DAC3DE9F6DED2F269FB0DE2F18790EDFE3,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,LEFT_TORSION_SPRING_2_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_TORSION_SPRING_2_V22_ISOLATED.SLDPRT,3722582CED07A70FAE34798274B6897510033B9867EBD3E99F5FECC70B0B4E33,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,LEFT_HARD_STOP_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HARD_STOP_V22_ISOLATED.SLDPRT,AEA6D3374539658894BABFA0F18E7507FD2F6D552A543DC29417CD31B232786C,,,,hinge_axis_left,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_HARNESS_SERVICE_LOOP_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_HARNESS_SERVICE_LOOP_V22_ISOLATED.SLDPRT,5884494BB30D49A515625D7D1F82980F8245341580DB13024EBC92B52F019D16,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_PANEL_SIDE_U_LUG_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_PANEL_SIDE_U_LUG_NATIVE.SLDPRT,A5A86890E07990706D106170B99DA0E68A31103EA73BF7161497669BCA4C557B,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_WING_PANEL_PHYSICAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_WING_PANEL_PHYSICAL.SLDPRT,6351231408F69C1D10DDACE75B64DAFF08E8B7DE4291CB8F57F27DF0507A6E77,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_HINGE_PIN_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_HINGE_PIN_V22_ISOLATED.SLDPRT,82E009F39F2320F53BC8651F7F4282898B0D2ABB4F62C8144A1EAC27B1014AC6,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_HINGE_AXIAL_RETAINER_NATIVE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_HINGE_AXIAL_RETAINER_NATIVE.SLDPRT,94A9BB7CE3BD14B38E9664B824B2E970D930DA0145072F0A4FA4F7AF097442EC,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_TORSION_SPRING_1_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_TORSION_SPRING_1_V22_ISOLATED.SLDPRT,82F2E9EBD193D7EA39C6D48ED7D2E3818AA37B1C8D6CFFA94BE68BAA8BA2679C,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_TORSION_SPRING_2_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_TORSION_SPRING_2_V22_ISOLATED.SLDPRT,24DEFC92428657C0EC695C4FCA7A6DD49949FD1009C572B5CCFC4BF1214B6066,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
,,RIGHT_HARD_STOP_V22_ISOLATED,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_HARD_STOP_V22_ISOLATED.SLDPRT,30C890D4E4D5C3A0BC850EA30C37CD1D9A0EEE0C7DF7B8A408DA99650A92FB54,,,,hinge_axis_right,,L1_NATIVE,MAPPED_LOOP1B_ARTIFACT_CHECKPOINT_PASS,donor-isolated native part checkpoint; true-hinge assembly still pending
