net,ref,pin,pinfunction,pintype
WP10_INPUT_RETURN,D201,1,A_1,passive
WP10_INPUT_RETURN,D202,1,A_1,passive
WP10_INPUT_RETURN,J200,2,PROTECTED_RETURN_2,passive
WP10_INPUT_RETURN,J201,2,INPUT_RETURN_2,passive
WP10_INPUT_RETURN,J202,2,INPUT_RETURN_2,passive
WP10_INPUT_RETURN,Q204,2,S_2,passive
WP10_INPUT_RETURN,R204,2,B_2,passive
WP10_INPUT_RETURN,R206,2,B_2,passive
WP10_INPUT_RETURN,R207,2,B_2,passive
WP10_INPUT_RETURN,R212,2,B_2,passive
WP10_INPUT_RETURN,R213,2,B_2,passive
WP10_INPUT_RETURN,R216,2,B_2,passive
WP10_INPUT_RETURN,R218,2,B_2,passive
WP10_INPUT_RETURN,R220,2,B_2,passive
WP10_INPUT_RETURN,U201,5,GND_5,power_in
WP10_INPUT_RETURN,U202,2,-VIN_2,power_in
WP10_INPUT_RETURN,U203,4,-VIN_4,power_in
WP10_INPUT_RETURN,U205,13,GND_EP_13,power_in
WP10_INPUT_RETURN,U205,5,GND_5,power_in
WP10_INPUT_RETURN,U205,7,CT_UNUSED_7,passive
WP10_INPUT_RETURN,U206,2,GND_2,power_in
WP10_LEGACY_051,U1,X1.TFM.1,X1.TFM.1_X1.TFM.1,passive
WP10_LEGACY_051,U1,X1.TFM.3,X1.TFM.3_X1.TFM.3,passive
WP10_LEGACY_051,U11,BLOCKED_POS,BLOCKED_POS_BLOCKED_POS,passive
WP10_LEGACY_052,U1,X1.TFM.10,X1.TFM.10_X1.TFM.10,passive
WP10_LEGACY_052,U1,X1.TFM.12,X1.TFM.12_X1.TFM.12,passive
WP10_LEGACY_052,U13,RET,RET_RET,passive
WP10_LEGACY_053,U1,X1.TFM.11,X1.TFM.11_X1.TFM.11,passive
WP10_LEGACY_053,U1,X1.TFM.9,X1.TFM.9_X1.TFM.9,passive
WP10_LEGACY_053,U13,BLOCKED_POS,BLOCKED_POS_BLOCKED_POS,passive
WP10_LEGACY_054,U1,X1.TFM.13,X1.TFM.13_X1.TFM.13,passive
WP10_LEGACY_054,U1,X1.TFM.15,X1.TFM.15_X1.TFM.15,passive
WP10_LEGACY_054,U14,BLOCKED_POS,BLOCKED_POS_BLOCKED_POS,passive
WP10_LEGACY_055,U1,X1.TFM.14,X1.TFM.14_X1.TFM.14,passive
WP10_LEGACY_055,U1,X1.TFM.16,X1.TFM.16_X1.TFM.16,passive
WP10_LEGACY_055,U14,RET,RET_RET,passive
WP10_LEGACY_056,U1,X1.TFM.17,X1.TFM.17_X1.TFM.17,passive
WP10_LEGACY_056,U1,X1.TFM.19,X1.TFM.19_X1.TFM.19,passive
WP10_LEGACY_056,U1,X1.TFM.21,X1.TFM.21_X1.TFM.21,passive
WP10_LEGACY_056,U1,X1.TFM.23,X1.TFM.23_X1.TFM.23,passive
WP10_LEGACY_056,U15,BLOCKED_POS,BLOCKED_POS_BLOCKED_POS,passive
WP10_LEGACY_057,U1,X1.TFM.18,X1.TFM.18_X1.TFM.18,passive
WP10_LEGACY_057,U1,X1.TFM.20,X1.TFM.20_X1.TFM.20,passive
WP10_LEGACY_057,U1,X1.TFM.22,X1.TFM.22_X1.TFM.22,passive
WP10_LEGACY_057,U1,X1.TFM.24,X1.TFM.24_X1.TFM.24,passive
WP10_LEGACY_057,U15,RET,RET_RET,passive
WP10_LEGACY_058,U1,X1.TFM.2,X1.TFM.2_X1.TFM.2,passive
WP10_LEGACY_058,U1,X1.TFM.4,X1.TFM.4_X1.TFM.4,passive
WP10_LEGACY_058,U11,RET,RET_RET,passive
WP10_LEGACY_059,U1,X1.TFM.25,X1.TFM.25_X1.TFM.25,passive
WP10_LEGACY_059,U1,X1.TFM.27,X1.TFM.27_X1.TFM.27,passive
WP10_LEGACY_059,U1,X1.TFM.29,X1.TFM.29_X1.TFM.29,passive
WP10_LEGACY_059,U16,BLOCKED_POS,BLOCKED_POS_BLOCKED_POS,passive
WP10_LEGACY_060,U1,X1.TFM.26,X1.TFM.26_X1.TFM.26,passive
WP10_LEGACY_060,U1,X1.TFM.28,X1.TFM.28_X1.TFM.28,passive
WP10_LEGACY_060,U1,X1.TFM.30,X1.TFM.30_X1.TFM.30,passive
WP10_LEGACY_060,U16,RET,RET_RET,passive
WP10_LEGACY_061,U1,X1.TFM.5,X1.TFM.5_X1.TFM.5,passive
WP10_LEGACY_061,U1,X1.TFM.7,X1.TFM.7_X1.TFM.7,passive
WP10_LEGACY_061,U12,BLOCKED_POS,BLOCKED_POS_BLOCKED_POS,passive
WP10_LEGACY_062,U1,X1.TFM.6,X1.TFM.6_X1.TFM.6,passive
WP10_LEGACY_062,U1,X1.TFM.8,X1.TFM.8_X1.TFM.8,passive
WP10_LEGACY_062,U12,RET,RET_RET,passive
WP10_LEGACY_063,U2,PBAT2.1,PBAT2.1_PBAT2.1,power_out
WP10_LEGACY_063,U5,P4.5,P4.5_P4.5,passive
WP10_LEGACY_064,U2,PBAT2.10,PBAT2.10_PBAT2.10,passive
WP10_LEGACY_064,U5,P5.4,P5.4_P5.4,passive
WP10_LEGACY_065,U2,PBAT2.11,PBAT2.11_PBAT2.11,passive
WP10_LEGACY_065,U5,P5.3,P5.3_P5.3,passive
WP10_LEGACY_066,U2,PBAT2.12,PBAT2.12_PBAT2.12,passive
WP10_LEGACY_066,U5,P5.1,P5.1_P5.1,passive
WP10_LEGACY_067,U2,PBAT2.2,PBAT2.2_PBAT2.2,passive
WP10_LEGACY_067,U5,P4.6,P4.6_P4.6,passive
WP10_LEGACY_068,U2,PBAT2.3,PBAT2.3_PBAT2.3,passive
WP10_LEGACY_068,U5,P4.7,P4.7_P4.7,passive
WP10_LEGACY_069,U2,PBAT2.4,PBAT2.4_PBAT2.4,passive
WP10_LEGACY_069,U5,P4.8,P4.8_P4.8,passive
WP10_LEGACY_070,U2,PBAT2.5,PBAT2.5_PBAT2.5,power_out
WP10_LEGACY_070,U5,P4.1,P4.1_P4.1,passive
WP10_LEGACY_071,U2,PBAT2.6,PBAT2.6_PBAT2.6,passive
WP10_LEGACY_071,U5,P4.2,P4.2_P4.2,passive
WP10_LEGACY_072,U2,PBAT2.7,PBAT2.7_PBAT2.7,passive
WP10_LEGACY_072,U5,P4.3,P4.3_P4.3,passive
WP10_LEGACY_073,U2,PBAT2.8,PBAT2.8_PBAT2.8,passive
WP10_LEGACY_073,U5,P4.4,P4.4_P4.4,passive
WP10_LEGACY_074,U2,PBAT2.9,PBAT2.9_PBAT2.9,passive
WP10_LEGACY_074,U5,P5.2,P5.2_P5.2,passive
WP10_LEGACY_075,U21,H,H_H,passive
WP10_LEGACY_075,U3,H,H_H,passive
WP10_LEGACY_075,U4,CANH_REF,CANH_REF_CANH_REF,passive
WP10_LEGACY_076,U21,L,L_L,passive
WP10_LEGACY_076,U3,L,L_L,passive
WP10_LEGACY_076,U4,CANL_REF,CANL_REF_CANL_REF,passive
WP10_LEGACY_077,U5,P14.6,P14.6_P14.6,passive
WP10_LEGACY_077,U6,RBF_JUMPER,RBF_JUMPER_RBF_JUMPER,passive
WP10_LEGACY_078,U5,P14.7,P14.7_P14.7,passive
WP10_LEGACY_078,U6,DEARM_JUMPER,DEARM_JUMPER_DEARM_JUMPER,passive
WP10_LEGACY_079,J105,2,T1_RETURN_2,passive
WP10_LEGACY_079,R115,1,10k_1%_1,passive
WP10_LEGACY_079,U22,J105.2,J105.2_J105.2,passive
WP10_LEGACY_079,U7,T1,T1_T1,passive
WP10_LEGACY_080,J104,2,X2_NEG_2,passive
WP10_LEGACY_080,Q101,2,D_TAB_2,passive
WP10_LEGACY_080,U22,J104.2,J104.2_J104.2,passive
WP10_LEGACY_080,U7,X2(-),X2(-)_X2(-),passive
WP10_LEGACY_081,U8,P1.1,P1.1_P1.1,power_in
WP10_LEGACY_081,U9,TFM.10,TFM.10_TFM.10,power_out
WP10_LEGACY_082,U8,P1.2,P1.2_P1.2,power_in
WP10_LEGACY_082,U9,TFM.9,TFM.9_TFM.9,power_out
WP10_LEGACY_083,U19,black,black_black,passive
WP10_LEGACY_083,U20,black,black_black,passive
WP10_LEGACY_084,U19,orange,orange_orange,output
WP10_LEGACY_084,U20,yellow,yellow_yellow,input
WP10_LEGACY_085,U19,red,red_red,output
WP10_LEGACY_085,U20,white,white_white,input
WP10_LEGACY_086,U19,white,white_white,input
WP10_LEGACY_086,U20,red,red_red,output
WP10_LEGACY_087,U19,yellow,yellow_yellow,input
WP10_LEGACY_087,U20,orange,orange_orange,output
WP10_MAIN_FUSED,C202,1,A_1,passive
WP10_MAIN_FUSED,D201,2,K_2,passive
WP10_MAIN_FUSED,F201,2,B_2,passive
WP10_MAIN_FUSED,R201,1,A_1,passive
WP10_MAIN_FUSED,R203,1,A_1,passive
WP10_MAIN_FUSED,R205,1,A_1,passive
WP10_MAIN_FUSED,R215,1,A_1,passive
WP10_MAIN_FUSED,U201,2,VIN_2,power_in
WP10_MAIN_GATE,Q201,1,G_1,passive
WP10_MAIN_GATE,U201,10,GATE_10,output
WP10_MAIN_SENSE,Q201,2,D_2,passive
WP10_MAIN_SENSE,R202,2,B_2,passive
WP10_MAIN_SENSE,U201,1,SENSE_1,input
WP10_PRECHARGED_PLUS,C203,1,PLUS_1,passive
WP10_PRECHARGED_PLUS,C211,1,A_1,passive
WP10_PRECHARGED_PLUS,D202,2,K_2,passive
WP10_PRECHARGED_PLUS,Q201,3,S_3,passive
WP10_PRECHARGED_PLUS,R219,1,A_1,passive
WP10_PRECHARGED_PLUS,U201,9,OUT_9,input
WP10_PRECHARGED_PLUS,U203,1,+VIN_1,power_in
WP10_PRECHARGED_PLUS,U205,10,IN_10,power_in
WP10_PRECHARGED_PLUS,U205,11,IN_11,power_in
WP10_PRECHARGED_PLUS,U205,8,SHDN_8,input
WP10_RB_CAP,C207,1,A_1,passive
WP10_RB_CAP,U204,11,CAP_11,output
WP10_RB_COMMON_DRAIN,C206,1,A_1,passive
WP10_RB_COMMON_DRAIN,C207,2,B_2,passive
WP10_RB_COMMON_DRAIN,Q202,2,D_2,passive
WP10_RB_COMMON_DRAIN,Q203,2,D_2,passive
WP10_RB_COMMON_DRAIN,U204,10,VS_10,power_in
WP10_RB_COMMON_DRAIN,U204,12,C_12,input
WP10_RB_COMMON_DRAIN,U204,3,VSNS_3,input
WP10_RB_COMMON_DRAIN,U204,4,SW_4,input
WP10_RB_COMMON_DRAIN,U204,6,EN_UVLO_6,input
WP10_RB_DGATE,Q202,1,G_1,passive
WP10_RB_DGATE,U204,1,DGATE_1,output
WP10_RB_HGATE,Q203,1,G_1,passive
WP10_RB_HGATE,U204,8,HGATE_8,output
WP10_RB_OUTPUT_PLUS,Q203,3,S_3,passive
WP10_RB_OUTPUT_PLUS,U204,9,OUT_9,input
WP10_RB_OUTPUT_PLUS,U7,A2(+),A2(+)_A2(+),passive
WP10_SENSE_MID,R201,2,B_2,passive
WP10_SENSE_MID,R202,1,A_1,passive
WP10_STARTUP_ADJ,R211,2,B_2,passive
WP10_STARTUP_ADJ,R212,1,A_1,passive
WP10_STARTUP_ADJ,U205,4,ADJ_4,input
WP10_STARTUP_BIAS,C212,1,A_1,passive
WP10_STARTUP_BIAS,C213,1,A_1,passive
WP10_STARTUP_BIAS,R211,1,A_1,passive
WP10_STARTUP_BIAS,R213,1,A_1,passive
WP10_STARTUP_BIAS,R214,1,A_1,passive
WP10_STARTUP_BIAS,R217,1,A_1,passive
WP10_STARTUP_BIAS,U205,2,OUT_2,power_out
WP10_STARTUP_BIAS,U205,3,OUT_3,passive
WP10_STARTUP_BIAS,U206,6,VDD_6,power_in
WP10_STARTUP_INPUT_SENSE,R215,2,B_2,passive
WP10_STARTUP_INPUT_SENSE,R216,1,A_1,passive
WP10_STARTUP_INPUT_SENSE,U206,5,SENSE_5,input
WP10_STARTUP_PG_RECEIVER,R220,1,A_1,passive
WP10_STARTUP_PG_RECEIVER,R221,2,B_2,passive
WP10_STARTUP_PG_RECEIVER,U206,3,MR_N_3,input
WP10_STOP_24V,C209,1,A_1,passive
WP10_STOP_24V,C210,1,A_1,passive
WP10_STOP_24V,J101,3,24V_23.04..24.96_3,passive
WP10_STOP_24V,J104,1,X1_POS_1,passive
WP10_STOP_24V,J105,1,T2_FEED_24V_1,passive
WP10_STOP_24V,R105,1,510k_0.1%_25ppm_1,passive
WP10_STOP_24V,U120,1,VIN_1,power_in
WP10_STOP_24V,U121,1,VIN_1,power_in
WP10_STOP_24V,U202,4,+VOUT_4,power_out
WP10_STOP_24V,U22,J101.3,J101.3_J101.3,passive
WP10_STOP_24V,U22,J104.1,J104.1_J104.1,passive
WP10_STOP_24V,U22,J105.1,J105.1_J105.1,passive
WP10_STOP_24V,U7,T2,T2_T2,passive
WP10_STOP_24V,U7,X1(+),X1(+)_X1(+),passive
unconnected-(U10-PadTB2.1),U10,TB2.1,TB2.1_TB2.1,power_out+no_connect
unconnected-(U10-PadTB2.4),U10,TB2.4,TB2.4_TB2.4,power_out+no_connect
unconnected-(U17-Pad1),U17,1,1_1,passive+no_connect
unconnected-(U17-Pad2),U17,2,2_2,passive+no_connect
unconnected-(U17-Pad11),U17,11,11_11,passive+no_connect
unconnected-(U18-PadA),U18,A,A_A,passive+no_connect
unconnected-(U18-PadB),U18,B,B_B,passive+no_connect
unconnected-(U23-PadIN+),U23,IN+,IN+_IN+,power_in+no_connect
unconnected-(U23-PadIN-),U23,IN-,IN-_IN-,power_in+no_connect
unconnected-(U23-PadOUT+),U23,OUT+,OUT+_OUT+,passive+no_connect
unconnected-(U23-PadOUT-),U23,OUT-,OUT-_OUT-,passive+no_connect
unconnected-(U23-PadR+),U23,R+,R+_R+,passive+no_connect
unconnected-(U23-PadR-),U23,R-,R-_R-,passive+no_connect
unconnected-(U102-CT_OPEN-Pad4),U102,4,CT_OPEN_4,input+no_connect
unconnected-(U103-CT_OPEN-Pad4),U103,4,CT_OPEN_4,input+no_connect
unconnected-(U104-CT_OPEN-Pad4),U104,4,CT_OPEN_4,input+no_connect
unconnected-(U106-NC-Pad1),U106,1,NC_1,no_connect
unconnected-(U107-1Q_N-Pad6),U107,6,1Q_N_6,output+no_connect
unconnected-(U107-2Q_N-Pad8),U107,8,2Q_N_8,output+no_connect
unconnected-(U108-1Q_N-Pad6),U108,6,1Q_N_6,output+no_connect
unconnected-(U108-2Q-Pad9),U108,9,2Q_9,output+no_connect
unconnected-(U108-2Q_N-Pad8),U108,8,2Q_N_8,output+no_connect
unconnected-(U109-NC-Pad1),U109,1,NC_1,no_connect
unconnected-(U110-NC-Pad1),U110,1,NC_1,no_connect
unconnected-(U113-NC-Pad1),U113,1,NC_1,no_connect
unconnected-(U115-NC-Pad1),U115,1,NC_1,no_connect
unconnected-(U116-NC-Pad1),U116,1,NC_1,no_connect
unconnected-(U117-NC-Pad1),U117,1,NC_1,no_connect
unconnected-(U118-NC-Pad1),U118,1,NC_1,no_connect
unconnected-(U202-REMOTE_OPEN_ON-Pad3),U202,3,REMOTE_OPEN_ON_3,passive+no_connect
unconnected-(U202-TRIM_NC-Pad5),U202,5,TRIM_NC_5,passive+no_connect
unconnected-(U203-TRIM_NC-Pad7),U203,7,TRIM_NC_7,passive+no_connect
unconnected-(U204-FLOATING_PAD-PadEP),U204,EP,FLOATING_PAD_EP,no_connect
unconnected-(U205-NC-Pad1),U205,1,NC_1,no_connect
unconnected-(U205-NC-Pad9),U205,9,NC_9,no_connect
unconnected-(U205-NC-Pad12),U205,12,NC_12,no_connect
unconnected-(U205-PWRGD_NC-Pad6),U205,6,PWRGD_NC_6,no_connect
unconnected-(U206-CT_OPEN_20ms-Pad4),U206,4,CT_OPEN_20ms_4,input+no_connect
unconnected-(U301-NC-Pad1),U301,1,NC_1,no_connect
unconnected-(U301-NC-Pad9),U301,9,NC_9,no_connect
unconnected-(U301-NC-Pad12),U301,12,NC_12,no_connect
unconnected-(U302-OUTA-Pad1),U302,1,OUTA_1,open_collector+no_connect
