endpoint,ref,pin,net,pinfunction,pintype
C126.1,C126,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C127.1,C127,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C128.1,C128,1,WP10_BRAKE_STOP_3V3,100nF_X7R_16V_10%_1,passive
C311.1,C311,1,WP10_BRAKE_STOP_3V3,A_1,passive
C312.1,C312,1,WP10_BRAKE_STOP_3V3,A_1,passive
C313.1,C313,1,WP10_BRAKE_STOP_3V3,A_1,passive
J101.1,J101,1,WP10_BRAKE_STOP_3V3,3V3_TEST_OUTPUT_NO_EXT_SUPPLY_1,passive
J103.1,J103,1,WP10_BRAKE_STOP_3V3,RESET_FEED_1,passive
J103.3,J103,3,WP10_BRAKE_STOP_3V3,START_FEED_3,passive
R101.1,R101,1,WP10_BRAKE_STOP_3V3,10k_1%_1,passive
R124.1,R124,1,WP10_BRAKE_STOP_3V3,24R_5%_250ppm/C_2W_1,passive
R341.1,R341,1,WP10_BRAKE_STOP_3V3,A_1,passive
R344.1,R344,1,WP10_BRAKE_STOP_3V3,A_1,passive
R347.1,R347,1,WP10_BRAKE_STOP_3V3,A_1,passive
U101.1,U101,1,WP10_BRAKE_STOP_3V3,VDD_1,power_in
U101.5,U101,5,WP10_BRAKE_STOP_3V3,SET1_5,input
U102.5,U102,5,WP10_BRAKE_STOP_3V3,SENSE_5,input
U103.3,U103,3,WP10_BRAKE_STOP_3V3,MR_N_3,input
U103.6,U103,6,WP10_BRAKE_STOP_3V3,VDD_6,power_in
U104.3,U104,3,WP10_BRAKE_STOP_3V3,MR_N_3,input
U104.6,U104,6,WP10_BRAKE_STOP_3V3,VDD_6,power_in
U105.5,U105,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U106.5,U106,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U107.10,U107,10,WP10_BRAKE_STOP_3V3,2PRE_N_10,input
U107.14,U107,14,WP10_BRAKE_STOP_3V3,VCC_14,power_in
U107.4,U107,4,WP10_BRAKE_STOP_3V3,1PRE_N_4,input
U108.10,U108,10,WP10_BRAKE_STOP_3V3,2PRE_N_10,input
U108.14,U108,14,WP10_BRAKE_STOP_3V3,VCC_14,power_in
U108.2,U108,2,WP10_BRAKE_STOP_3V3,1D_2,input
U108.4,U108,4,WP10_BRAKE_STOP_3V3,1PRE_N_4,input
U109.5,U109,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U110.5,U110,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U111.5,U111,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U113.5,U113,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U114.5,U114,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U115.5,U115,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U116.5,U116,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U117.5,U117,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U118.5,U118,5,WP10_BRAKE_STOP_3V3,VCC_5,power_in
U120.3,U120,3,WP10_BRAKE_STOP_3V3,VOUT_3,power_out
U311.5,U311,5,WP10_BRAKE_STOP_3V3,VDD_5,power_in
U312.5,U312,5,WP10_BRAKE_STOP_3V3,VDD_5,power_in
U313.5,U313,5,WP10_BRAKE_STOP_3V3,VDD_5,power_in
J106.1,J106,1,WP10_BRAKE_TEMP_1,TEMP_1_1,passive
R341.2,R341,2,WP10_BRAKE_TEMP_1,B_2,passive
R342.1,R342,1,WP10_BRAKE_TEMP_1,A_1,passive
R350.1,R350,1,WP10_BRAKE_TEMP_1,,passive
RT311.1,RT311,1,WP10_BRAKE_TEMP_1,SENSOR_1,passive
J106.3,J106,3,WP10_BRAKE_TEMP_2,TEMP_2_3,passive
R344.2,R344,2,WP10_BRAKE_TEMP_2,B_2,passive
R345.1,R345,1,WP10_BRAKE_TEMP_2,A_1,passive
R351.1,R351,1,WP10_BRAKE_TEMP_2,,passive
RT312.1,RT312,1,WP10_BRAKE_TEMP_2,SENSOR_1,passive
J106.5,J106,5,WP10_BRAKE_TEMP_3,TEMP_3_5,passive
R347.2,R347,2,WP10_BRAKE_TEMP_3,B_2,passive
R348.1,R348,1,WP10_BRAKE_TEMP_3,A_1,passive
R352.1,R352,1,WP10_BRAKE_TEMP_3,,passive
RT313.1,RT313,1,WP10_BRAKE_TEMP_3,SENSOR_1,passive
C314.1,C314,1,WP10_BRAKE_TEMP_IN_1,,passive
R350.2,R350,2,WP10_BRAKE_TEMP_IN_1,,passive
U311.3,U311,3,WP10_BRAKE_TEMP_IN_1,INA+_3,input
C316.1,C316,1,WP10_BRAKE_TEMP_IN_2,,passive
R351.2,R351,2,WP10_BRAKE_TEMP_IN_2,,passive
U312.3,U312,3,WP10_BRAKE_TEMP_IN_2,INA+_3,input
C318.1,C318,1,WP10_BRAKE_TEMP_IN_3,,passive
R352.2,R352,2,WP10_BRAKE_TEMP_IN_3,,passive
U313.3,U313,3,WP10_BRAKE_TEMP_IN_3,INA+_3,input
C315.1,C315,1,WP10_BRAKE_TEMP_OPEN_1,,passive
R342.2,R342,2,WP10_BRAKE_TEMP_OPEN_1,B_2,passive
R343.1,R343,1,WP10_BRAKE_TEMP_OPEN_1,A_1,passive
U311.4,U311,4,WP10_BRAKE_TEMP_OPEN_1,INB-_4,input
C317.1,C317,1,WP10_BRAKE_TEMP_OPEN_2,,passive
R345.2,R345,2,WP10_BRAKE_TEMP_OPEN_2,B_2,passive
R346.1,R346,1,WP10_BRAKE_TEMP_OPEN_2,A_1,passive
U312.4,U312,4,WP10_BRAKE_TEMP_OPEN_2,INB-_4,input
C319.1,C319,1,WP10_BRAKE_TEMP_OPEN_3,,passive
R348.2,R348,2,WP10_BRAKE_TEMP_OPEN_3,B_2,passive
R349.1,R349,1,WP10_BRAKE_TEMP_OPEN_3,A_1,passive
U313.4,U313,4,WP10_BRAKE_TEMP_OPEN_3,INB-_4,input
R101.2,R101,2,WP10_BRAKE_THERMAL_FAULT_N,,passive
R181.1,R181,1,WP10_BRAKE_THERMAL_FAULT_N,10k_1%_1,passive
U101.7,U101,7,WP10_BRAKE_THERMAL_FAULT_N,WDO_N_7,open_collector
U101.8,U101,8,WP10_BRAKE_THERMAL_FAULT_N,ENOUT_8,open_collector
U102.1,U102,1,WP10_BRAKE_THERMAL_FAULT_N,RESET_N_1,open_collector
U103.1,U103,1,WP10_BRAKE_THERMAL_FAULT_N,RESET_N_1,open_collector
U104.1,U104,1,WP10_BRAKE_THERMAL_FAULT_N,RESET_N_1,open_collector
U106.2,U106,2,WP10_BRAKE_THERMAL_FAULT_N,A_2,input
U112.3,U112,3,WP10_BRAKE_THERMAL_FAULT_N,IN+_3,input
U311.1,U311,1,WP10_BRAKE_THERMAL_FAULT_N,OUTA_1,open_collector
U311.6,U311,6,WP10_BRAKE_THERMAL_FAULT_N,OUTB_6,open_collector
U312.1,U312,1,WP10_BRAKE_THERMAL_FAULT_N,OUTA_1,open_collector
U312.6,U312,6,WP10_BRAKE_THERMAL_FAULT_N,OUTB_6,open_collector
U313.1,U313,1,WP10_BRAKE_THERMAL_FAULT_N,OUTA_1,open_collector
U313.6,U313,6,WP10_BRAKE_THERMAL_FAULT_N,OUTB_6,open_collector
J201.1,J201,1,WP10_CHB_ENABLE,CHB_ENABLE_1,passive
Q204.3,Q204,3,WP10_CHB_ENABLE,D_3,passive
R219.2,R219,2,WP10_CHB_ENABLE,B_2,passive
U203.2,U203,2,WP10_CHB_ENABLE,NEGATIVE_ENABLE_2,passive
Q204.1,Q204,1,WP10_CHB_ENABLE_GATE,G_1,passive
R217.2,R217,2,WP10_CHB_ENABLE_GATE,B_2,passive
R218.1,R218,1,WP10_CHB_ENABLE_GATE,A_1,passive
U206.1,U206,1,WP10_CHB_ENABLE_GATE,RESET_N_1,open_collector
C204.1,C204,1,WP10_CHB_LOCAL_PLUS,A_1,passive
C205.1,C205,1,WP10_CHB_LOCAL_PLUS,A_1,passive
C208.1,C208,1,WP10_CHB_LOCAL_PLUS,A_1,passive
Q202.3,Q202,3,WP10_CHB_LOCAL_PLUS,S_3,passive
U203.8,U203,8,WP10_CHB_LOCAL_PLUS,+SENSE_8,passive
U203.9,U203,9,WP10_CHB_LOCAL_PLUS,+VOUT_9,power_out
U204.2,U204,2,WP10_CHB_LOCAL_PLUS,A_2,input
R205.2,R205,2,WP10_HS_OVLO,B_2,passive
R206.1,R206,1,WP10_HS_OVLO,A_1,passive
U201.4,U201,4,WP10_HS_OVLO,OVLO_4,input
R214.2,R214,2,WP10_HS_PGD,B_2,passive
R221.1,R221,1,WP10_HS_PGD,A_1,passive
TP201.1,TP201,1,WP10_HS_PGD,PGD_1,passive
U201.8,U201,8,WP10_HS_PGD,PGD_8,open_collector
R207.1,R207,1,WP10_HS_POWER_LIMIT,A_1,passive
U201.7,U201,7,WP10_HS_POWER_LIMIT,PWR_7,passive
C201.1,C201,1,WP10_HS_TIMER,A_1,passive
U201.6,U201,6,WP10_HS_TIMER,TIMER_6,passive
J202.1,J202,1,WP10_HS_UVLO,UVLO_1,passive
R203.2,R203,2,WP10_HS_UVLO,B_2,passive
R204.1,R204,1,WP10_HS_UVLO,A_1,passive
U201.3,U201,3,WP10_HS_UVLO,UVLO_3,input
C201.2,C201,2,WP10_INPUT_RETURN,B_2,passive
C202.2,C202,2,WP10_INPUT_RETURN,B_2,passive
C203.2,C203,2,WP10_INPUT_RETURN,MINUS_2,passive
C211.2,C211,2,WP10_INPUT_RETURN,B_2,passive
C212.2,C212,2,WP10_INPUT_RETURN,B_2,passive
C213.2,C213,2,WP10_INPUT_RETURN,B_2,passive
C214.2,C214,2,WP10_INPUT_RETURN,,passive
C215.2,C215,2,WP10_INPUT_RETURN,,passive
C217.2,C217,2,WP10_INPUT_RETURN,,passive
C218.2,C218,2,WP10_INPUT_RETURN,,passive
C219.2,C219,2,WP10_INPUT_RETURN,,passive
C220.2,C220,2,WP10_INPUT_RETURN,,passive
D201.1,D201,1,WP10_INPUT_RETURN,A_1,passive
D202.1,D202,1,WP10_INPUT_RETURN,A_1,passive
D207.1,D207,1,WP10_INPUT_RETURN,A1_1,passive
D208.2,D208,2,WP10_INPUT_RETURN,A_2,passive
J200.2,J200,2,WP10_INPUT_RETURN,PROTECTED_RETURN_2,passive
J201.2,J201,2,WP10_INPUT_RETURN,INPUT_RETURN_2,passive
J202.2,J202,2,WP10_INPUT_RETURN,INPUT_RETURN_2,passive
J205.1,J205,1,WP10_INPUT_RETURN,Pin_1_1,passive
J207.1,J207,1,WP10_INPUT_RETURN,Pin_1_1,passive
J208.2,J208,2,WP10_INPUT_RETURN,RETURN_2,passive
J209.2,J209,2,WP10_INPUT_RETURN,RETURN_2,passive
J211.2,J211,2,WP10_INPUT_RETURN,RET_2,passive
Q204.2,Q204,2,WP10_INPUT_RETURN,S_2,passive
R204.2,R204,2,WP10_INPUT_RETURN,B_2,passive
R206.2,R206,2,WP10_INPUT_RETURN,B_2,passive
R207.2,R207,2,WP10_INPUT_RETURN,B_2,passive
R212.2,R212,2,WP10_INPUT_RETURN,B_2,passive
R213.2,R213,2,WP10_INPUT_RETURN,B_2,passive
R216.2,R216,2,WP10_INPUT_RETURN,B_2,passive
R218.2,R218,2,WP10_INPUT_RETURN,B_2,passive
R220.2,R220,2,WP10_INPUT_RETURN,B_2,passive
R226.2,R226,2,WP10_INPUT_RETURN,,passive
R230.2,R230,2,WP10_INPUT_RETURN,,passive
R231.2,R231,2,WP10_INPUT_RETURN,,passive
U201.5,U201,5,WP10_INPUT_RETURN,GND_5,power_in
U202.2,U202,2,WP10_INPUT_RETURN,-VIN_2,power_in
U203.4,U203,4,WP10_INPUT_RETURN,-VIN_4,power_in
U205.13,U205,13,WP10_INPUT_RETURN,GND_EP_13,power_in
U205.5,U205,5,WP10_INPUT_RETURN,GND_5,power_in
U205.7,U205,7,WP10_INPUT_RETURN,CT_UNUSED_7,passive
U206.2,U206,2,WP10_INPUT_RETURN,GND_2,power_in
U207.9,U207,9,WP10_INPUT_RETURN,GND_9,power_in
U208.13,U208,13,WP10_INPUT_RETURN,GND_13,power_in
U208.8,U208,8,WP10_INPUT_RETURN,GND_8,power_in
U209.13,U209,13,WP10_INPUT_RETURN,GND_13,power_in
U209.5,U209,5,WP10_INPUT_RETURN,GND_5,power_in
U209.7,U209,7,WP10_INPUT_RETURN,CT_7,passive
U1.X1.TFM.1,U1,X1.TFM.1,WP10_LEGACY_051,X1.TFM.1_X1.TFM.1,passive
U1.X1.TFM.3,U1,X1.TFM.3,WP10_LEGACY_051,X1.TFM.3_X1.TFM.3,passive
U11.BLOCKED_POS,U11,BLOCKED_POS,WP10_LEGACY_051,BLOCKED_POS_BLOCKED_POS,passive
U1.X1.TFM.10,U1,X1.TFM.10,WP10_LEGACY_052,X1.TFM.10_X1.TFM.10,passive
U1.X1.TFM.12,U1,X1.TFM.12,WP10_LEGACY_052,X1.TFM.12_X1.TFM.12,passive
U13.RET,U13,RET,WP10_LEGACY_052,RET_RET,passive
U1.X1.TFM.11,U1,X1.TFM.11,WP10_LEGACY_053,X1.TFM.11_X1.TFM.11,passive
U1.X1.TFM.9,U1,X1.TFM.9,WP10_LEGACY_053,X1.TFM.9_X1.TFM.9,passive
U13.BLOCKED_POS,U13,BLOCKED_POS,WP10_LEGACY_053,BLOCKED_POS_BLOCKED_POS,passive
U1.X1.TFM.13,U1,X1.TFM.13,WP10_LEGACY_054,X1.TFM.13_X1.TFM.13,passive
U1.X1.TFM.15,U1,X1.TFM.15,WP10_LEGACY_054,X1.TFM.15_X1.TFM.15,passive
U14.BLOCKED_POS,U14,BLOCKED_POS,WP10_LEGACY_054,BLOCKED_POS_BLOCKED_POS,passive
U1.X1.TFM.14,U1,X1.TFM.14,WP10_LEGACY_055,X1.TFM.14_X1.TFM.14,passive
U1.X1.TFM.16,U1,X1.TFM.16,WP10_LEGACY_055,X1.TFM.16_X1.TFM.16,passive
U14.RET,U14,RET,WP10_LEGACY_055,RET_RET,passive
U1.X1.TFM.17,U1,X1.TFM.17,WP10_LEGACY_056,X1.TFM.17_X1.TFM.17,passive
U1.X1.TFM.19,U1,X1.TFM.19,WP10_LEGACY_056,X1.TFM.19_X1.TFM.19,passive
U1.X1.TFM.21,U1,X1.TFM.21,WP10_LEGACY_056,X1.TFM.21_X1.TFM.21,passive
U1.X1.TFM.23,U1,X1.TFM.23,WP10_LEGACY_056,X1.TFM.23_X1.TFM.23,passive
U15.BLOCKED_POS,U15,BLOCKED_POS,WP10_LEGACY_056,BLOCKED_POS_BLOCKED_POS,passive
U1.X1.TFM.18,U1,X1.TFM.18,WP10_LEGACY_057,X1.TFM.18_X1.TFM.18,passive
U1.X1.TFM.20,U1,X1.TFM.20,WP10_LEGACY_057,X1.TFM.20_X1.TFM.20,passive
U1.X1.TFM.22,U1,X1.TFM.22,WP10_LEGACY_057,X1.TFM.22_X1.TFM.22,passive
U1.X1.TFM.24,U1,X1.TFM.24,WP10_LEGACY_057,X1.TFM.24_X1.TFM.24,passive
U15.RET,U15,RET,WP10_LEGACY_057,RET_RET,passive
U1.X1.TFM.2,U1,X1.TFM.2,WP10_LEGACY_058,X1.TFM.2_X1.TFM.2,passive
U1.X1.TFM.4,U1,X1.TFM.4,WP10_LEGACY_058,X1.TFM.4_X1.TFM.4,passive
U11.RET,U11,RET,WP10_LEGACY_058,RET_RET,passive
U1.X1.TFM.25,U1,X1.TFM.25,WP10_LEGACY_059,X1.TFM.25_X1.TFM.25,passive
U1.X1.TFM.27,U1,X1.TFM.27,WP10_LEGACY_059,X1.TFM.27_X1.TFM.27,passive
U1.X1.TFM.29,U1,X1.TFM.29,WP10_LEGACY_059,X1.TFM.29_X1.TFM.29,passive
U16.BLOCKED_POS,U16,BLOCKED_POS,WP10_LEGACY_059,BLOCKED_POS_BLOCKED_POS,passive
U1.X1.TFM.26,U1,X1.TFM.26,WP10_LEGACY_060,X1.TFM.26_X1.TFM.26,passive
U1.X1.TFM.28,U1,X1.TFM.28,WP10_LEGACY_060,X1.TFM.28_X1.TFM.28,passive
U1.X1.TFM.30,U1,X1.TFM.30,WP10_LEGACY_060,X1.TFM.30_X1.TFM.30,passive
U16.RET,U16,RET,WP10_LEGACY_060,RET_RET,passive
U1.X1.TFM.5,U1,X1.TFM.5,WP10_LEGACY_061,X1.TFM.5_X1.TFM.5,passive
U1.X1.TFM.7,U1,X1.TFM.7,WP10_LEGACY_061,X1.TFM.7_X1.TFM.7,passive
U12.BLOCKED_POS,U12,BLOCKED_POS,WP10_LEGACY_061,BLOCKED_POS_BLOCKED_POS,passive
U1.X1.TFM.6,U1,X1.TFM.6,WP10_LEGACY_062,X1.TFM.6_X1.TFM.6,passive
U1.X1.TFM.8,U1,X1.TFM.8,WP10_LEGACY_062,X1.TFM.8_X1.TFM.8,passive
U12.RET,U12,RET,WP10_LEGACY_062,RET_RET,passive
U2.PBAT2.1,U2,PBAT2.1,WP10_LEGACY_063,PBAT2.1_PBAT2.1,power_out
U5.P4.5,U5,P4.5,WP10_LEGACY_063,P4.5_P4.5,passive
U2.PBAT2.10,U2,PBAT2.10,WP10_LEGACY_064,PBAT2.10_PBAT2.10,passive
U5.P5.4,U5,P5.4,WP10_LEGACY_064,P5.4_P5.4,passive
U2.PBAT2.11,U2,PBAT2.11,WP10_LEGACY_065,PBAT2.11_PBAT2.11,passive
U5.P5.3,U5,P5.3,WP10_LEGACY_065,P5.3_P5.3,passive
U2.PBAT2.12,U2,PBAT2.12,WP10_LEGACY_066,PBAT2.12_PBAT2.12,passive
U5.P5.1,U5,P5.1,WP10_LEGACY_066,P5.1_P5.1,passive
U2.PBAT2.2,U2,PBAT2.2,WP10_LEGACY_067,PBAT2.2_PBAT2.2,passive
U5.P4.6,U5,P4.6,WP10_LEGACY_067,P4.6_P4.6,passive
U2.PBAT2.3,U2,PBAT2.3,WP10_LEGACY_068,PBAT2.3_PBAT2.3,passive
U5.P4.7,U5,P4.7,WP10_LEGACY_068,P4.7_P4.7,passive
U2.PBAT2.4,U2,PBAT2.4,WP10_LEGACY_069,PBAT2.4_PBAT2.4,passive
U5.P4.8,U5,P4.8,WP10_LEGACY_069,P4.8_P4.8,passive
U2.PBAT2.5,U2,PBAT2.5,WP10_LEGACY_070,PBAT2.5_PBAT2.5,power_out
U5.P4.1,U5,P4.1,WP10_LEGACY_070,P4.1_P4.1,passive
U2.PBAT2.6,U2,PBAT2.6,WP10_LEGACY_071,PBAT2.6_PBAT2.6,passive
U5.P4.2,U5,P4.2,WP10_LEGACY_071,P4.2_P4.2,passive
U2.PBAT2.7,U2,PBAT2.7,WP10_LEGACY_072,PBAT2.7_PBAT2.7,passive
U5.P4.3,U5,P4.3,WP10_LEGACY_072,P4.3_P4.3,passive
U2.PBAT2.8,U2,PBAT2.8,WP10_LEGACY_073,PBAT2.8_PBAT2.8,passive
U5.P4.4,U5,P4.4,WP10_LEGACY_073,P4.4_P4.4,passive
U2.PBAT2.9,U2,PBAT2.9,WP10_LEGACY_074,PBAT2.9_PBAT2.9,passive
U5.P5.2,U5,P5.2,WP10_LEGACY_074,P5.2_P5.2,passive
U21.H,U21,H,WP10_LEGACY_075,H_H,passive
U3.H,U3,H,WP10_LEGACY_075,H_H,passive
U4.CANH_REF,U4,CANH_REF,WP10_LEGACY_075,CANH_REF_CANH_REF,passive
U21.L,U21,L,WP10_LEGACY_076,L_L,passive
U3.L,U3,L,WP10_LEGACY_076,L_L,passive
U4.CANL_REF,U4,CANL_REF,WP10_LEGACY_076,CANL_REF_CANL_REF,passive
U5.P14.6,U5,P14.6,WP10_LEGACY_077,P14.6_P14.6,passive
U6.RBF_JUMPER,U6,RBF_JUMPER,WP10_LEGACY_077,RBF_JUMPER_RBF_JUMPER,passive
U5.P14.7,U5,P14.7,WP10_LEGACY_078,P14.7_P14.7,passive
U6.DEARM_JUMPER,U6,DEARM_JUMPER,WP10_LEGACY_078,DEARM_JUMPER_DEARM_JUMPER,passive
J105.2,J105,2,WP10_LEGACY_079,T1_RETURN_2,passive
R115.1,R115,1,WP10_LEGACY_079,10k_1%_1,passive
U22.J105.2,U22,J105.2,WP10_LEGACY_079,J105.2_J105.2,passive
U7.T1,U7,T1,WP10_LEGACY_079,T1_T1,passive
J104.2,J104,2,WP10_LEGACY_080,X2_NEG_2,passive
Q101.2,Q101,2,WP10_LEGACY_080,D_TAB_2,passive
U22.J104.2,U22,J104.2,WP10_LEGACY_080,J104.2_J104.2,passive
U7.X2(-),U7,X2(-),WP10_LEGACY_080,X2(-)_X2(-),passive
U8.P1.1,U8,P1.1,WP10_LEGACY_081,P1.1_P1.1,power_in
U9.TFM.10,U9,TFM.10,WP10_LEGACY_081,TFM.10_TFM.10,power_out
U8.P1.2,U8,P1.2,WP10_LEGACY_082,P1.2_P1.2,power_in
U9.TFM.9,U9,TFM.9,WP10_LEGACY_082,TFM.9_TFM.9,power_out
U19.black,U19,black,WP10_LEGACY_083,black_black,passive
U20.black,U20,black,WP10_LEGACY_083,black_black,passive
U19.orange,U19,orange,WP10_LEGACY_084,orange_orange,output
U20.yellow,U20,yellow,WP10_LEGACY_084,yellow_yellow,input
U19.red,U19,red,WP10_LEGACY_085,red_red,output
U20.white,U20,white,WP10_LEGACY_085,white_white,input
U19.white,U19,white,WP10_LEGACY_086,white_white,input
U20.red,U20,red,WP10_LEGACY_086,red_red,output
U19.yellow,U19,yellow,WP10_LEGACY_087,yellow_yellow,input
U20.orange,U20,orange,WP10_LEGACY_087,orange_orange,output
C202.1,C202,1,WP10_MAIN_FUSED,A_1,passive
D201.2,D201,2,WP10_MAIN_FUSED,K_2,passive
F201.2,F201,2,WP10_MAIN_FUSED,B_2,passive
R201.1,R201,1,WP10_MAIN_FUSED,A_1,passive
R203.1,R203,1,WP10_MAIN_FUSED,A_1,passive
R205.1,R205,1,WP10_MAIN_FUSED,A_1,passive
R215.1,R215,1,WP10_MAIN_FUSED,A_1,passive
U201.2,U201,2,WP10_MAIN_FUSED,VIN_2,power_in
Q201.1,Q201,1,WP10_MAIN_GATE,G_1,passive
U201.10,U201,10,WP10_MAIN_GATE,GATE_10,output
Q201.2,Q201,2,WP10_MAIN_SENSE,D_2,passive
R202.2,R202,2,WP10_MAIN_SENSE,B_2,passive
U201.1,U201,1,WP10_MAIN_SENSE,SENSE_1,input
C203.1,C203,1,WP10_PRECHARGED_PLUS,PLUS_1,passive
C211.1,C211,1,WP10_PRECHARGED_PLUS,A_1,passive
D202.2,D202,2,WP10_PRECHARGED_PLUS,K_2,passive
J206.1,J206,1,WP10_PRECHARGED_PLUS,Pin_1_1,passive
Q201.3,Q201,3,WP10_PRECHARGED_PLUS,S_3,passive
R219.1,R219,1,WP10_PRECHARGED_PLUS,A_1,passive
U201.9,U201,9,WP10_PRECHARGED_PLUS,OUT_9,input
U203.1,U203,1,WP10_PRECHARGED_PLUS,+VIN_1,power_in
U205.10,U205,10,WP10_PRECHARGED_PLUS,IN_10,power_in
U205.11,U205,11,WP10_PRECHARGED_PLUS,IN_11,power_in
U205.8,U205,8,WP10_PRECHARGED_PLUS,SHDN_8,input
C207.1,C207,1,WP10_RB_CAP,A_1,passive
U204.11,U204,11,WP10_RB_CAP,CAP_11,output
C206.1,C206,1,WP10_RB_COMMON_DRAIN,A_1,passive
C207.2,C207,2,WP10_RB_COMMON_DRAIN,B_2,passive
Q202.2,Q202,2,WP10_RB_COMMON_DRAIN,D_2,passive
Q203.2,Q203,2,WP10_RB_COMMON_DRAIN,D_2,passive
U204.10,U204,10,WP10_RB_COMMON_DRAIN,VS_10,power_in
U204.12,U204,12,WP10_RB_COMMON_DRAIN,C_12,input
U204.3,U204,3,WP10_RB_COMMON_DRAIN,VSNS_3,input
U204.4,U204,4,WP10_RB_COMMON_DRAIN,SW_4,input
U204.6,U204,6,WP10_RB_COMMON_DRAIN,EN_UVLO_6,input
Q202.1,Q202,1,WP10_RB_DGATE,G_1,passive
U204.1,U204,1,WP10_RB_DGATE,DGATE_1,output
Q203.1,Q203,1,WP10_RB_HGATE,G_1,passive
U204.8,U204,8,WP10_RB_HGATE,HGATE_8,output
Q203.3,Q203,3,WP10_RB_OUTPUT_PLUS,S_3,passive
U204.9,U204,9,WP10_RB_OUTPUT_PLUS,OUT_9,input
U7.A2(+),U7,A2(+),WP10_RB_OUTPUT_PLUS,A2(+)_A2(+),passive
R201.2,R201,2,WP10_SENSE_MID,B_2,passive
R202.1,R202,1,WP10_SENSE_MID,A_1,passive
R211.2,R211,2,WP10_STARTUP_ADJ,B_2,passive
R212.1,R212,1,WP10_STARTUP_ADJ,A_1,passive
U205.4,U205,4,WP10_STARTUP_ADJ,ADJ_4,input
C212.1,C212,1,WP10_STARTUP_BIAS,A_1,passive
C213.1,C213,1,WP10_STARTUP_BIAS,A_1,passive
R211.1,R211,1,WP10_STARTUP_BIAS,A_1,passive
R213.1,R213,1,WP10_STARTUP_BIAS,A_1,passive
R214.1,R214,1,WP10_STARTUP_BIAS,A_1,passive
R217.1,R217,1,WP10_STARTUP_BIAS,A_1,passive
U205.2,U205,2,WP10_STARTUP_BIAS,OUT_2,power_out
U205.3,U205,3,WP10_STARTUP_BIAS,OUT_3,passive
U206.6,U206,6,WP10_STARTUP_BIAS,VDD_6,power_in
R215.2,R215,2,WP10_STARTUP_INPUT_SENSE,B_2,passive
R216.1,R216,1,WP10_STARTUP_INPUT_SENSE,A_1,passive
U206.5,U206,5,WP10_STARTUP_INPUT_SENSE,SENSE_5,input
R220.1,R220,1,WP10_STARTUP_PG_RECEIVER,A_1,passive
R221.2,R221,2,WP10_STARTUP_PG_RECEIVER,B_2,passive
U206.3,U206,3,WP10_STARTUP_PG_RECEIVER,MR_N_3,input
C209.1,C209,1,WP10_STOP_24V,A_1,passive
C210.1,C210,1,WP10_STOP_24V,A_1,passive
J101.3,J101,3,WP10_STOP_24V,24V_23.04..24.96_3,passive
J104.1,J104,1,WP10_STOP_24V,X1_POS_1,passive
J105.1,J105,1,WP10_STOP_24V,T2_FEED_24V_1,passive
R105.1,R105,1,WP10_STOP_24V,510k_0.1%_25ppm_1,passive
U120.1,U120,1,WP10_STOP_24V,VIN_1,power_in
U121.1,U121,1,WP10_STOP_24V,VIN_1,power_in
U202.4,U202,4,WP10_STOP_24V,+VOUT_4,power_out
U22.J101.3,U22,J101.3,WP10_STOP_24V,J101.3_J101.3,passive
U22.J104.1,U22,J104.1,WP10_STOP_24V,J104.1_J104.1,passive
U22.J105.1,U22,J105.1,WP10_STOP_24V,J105.1_J105.1,passive
U7.T2,U7,T2,WP10_STOP_24V,T2_T2,passive
U7.X1(+),U7,X1(+),WP10_STOP_24V,X1(+)_X1(+),passive
J211.1,J211,1,WP10_THN_REMOTE,REMOTE_1,passive
R227.2,R227,2,WP10_THN_REMOTE,,passive
U202.3,U202,3,WP10_THN_REMOTE,REMOTE_OPEN_ON_3,passive
U208.6,U208,6,WP10_THN_REMOTE,OUT_N_6,open_collector
U10.TB2.1,U10,TB2.1,unconnected-(U10-PadTB2.1),TB2.1_TB2.1,power_out+no_connect
U10.TB2.4,U10,TB2.4,unconnected-(U10-PadTB2.4),TB2.4_TB2.4,power_out+no_connect
U17.1,U17,1,unconnected-(U17-Pad1),1_1,passive+no_connect
U17.2,U17,2,unconnected-(U17-Pad2),2_2,passive+no_connect
U17.11,U17,11,unconnected-(U17-Pad11),11_11,passive+no_connect
U18.A,U18,A,unconnected-(U18-PadA),A_A,passive+no_connect
U18.B,U18,B,unconnected-(U18-PadB),B_B,passive+no_connect
U23.IN+,U23,IN+,unconnected-(U23-PadIN+),IN+_IN+,power_in+no_connect
U23.IN-,U23,IN-,unconnected-(U23-PadIN-),IN-_IN-,power_in+no_connect
