interface_id,assembly,feature_type,feature_description,frame,unit,x_mm,y_mm,z_reference_mm,axis_direction,z_min_mm,z_max_mm,hole_or_bore_d_mm,outer_d_mm,nominal_rod_d_mm,bbox_min_xyz_mm,bbox_max_xyz_mm,bbox_size_xyz_mm,source_json,source_pointer,source_sha256,derivation,nominal_scope,material,torque_nm,thread_effective_engagement_mm,tolerance,locking_method,open_issue
CLAMP_DUAL_ROD_1,DUAL_CLAMP,SMOOTH_ROD_PROXY,线夹M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,100,79,,S+Z,-17.5,58.5,,,3,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,"M3 nominal smooth proxy, thread form/class/material/locking pending; custom rod, not sourced M3x70 screw"
FEEDTHROUGH_0,GROMMET,DECK_BORE_AXIS,上甲板穿舱孔,S_WORLD_MM,mm,144,69,,S+Z,-11.5,-8.5,9.2,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/feedthrough_xy/0,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取EMISSION_V6 upper_equipment_deck_B,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,边缘处理/孔公差未定义；未证明护线套保持力
GROMMET_0,GROMMET,PROTECTIVE_GROMMET,弹性护线套候选：通径与凸缘外径,S_WORLD_MM,mm,144,69,,S+Z,-12.5,-7.5,8,12,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/grommet,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取对应EMISSION护套bbox；颈径9、凸缘厚1见合同grommet,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,CUSTOM_ELASTIC_CANDIDATE_MATERIAL_AND_RETENTION_UNVERIFIED
FEEDTHROUGH_1,GROMMET,DECK_BORE_AXIS,上甲板穿舱孔,S_WORLD_MM,mm,140,56,,S+Z,-11.5,-8.5,9.2,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/feedthrough_xy/1,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取EMISSION_V6 upper_equipment_deck_B,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,边缘处理/孔公差未定义；未证明护线套保持力
GROMMET_1,GROMMET,PROTECTIVE_GROMMET,弹性护线套候选：通径与凸缘外径,S_WORLD_MM,mm,140,56,,S+Z,-12.5,-7.5,8,12,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/grommet,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,Z区间取对应EMISSION护套bbox；颈径9、凸缘厚1见合同grommet,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,CUSTOM_ELASTIC_CANDIDATE_MATERIAL_AND_RETENTION_UNVERIFIED
MIPS_INTERFACE_SHIM_-1_0_BOUNDS,MIPS,BOUNDING_BOX,侧向接口薄垫片候选,S_WORLD_MM,mm,,,,,,,,,,"[163.325, 44.5008, -91.2746]","[170.325, 44.7508, -84.2746]","[7.0, 0.25, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/MIPS_INTERFACE_SHIM_-1_0/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,0.25mm为名义几何厚度；没有完成实际公差链或侧向紧固件啮合
MIPS_INTERFACE_SHIM_-1_1_BOUNDS,MIPS,BOUNDING_BOX,侧向接口薄垫片候选,S_WORLD_MM,mm,,,,,,,,,,"[163.325, 44.5008, -15.074600000000004]","[170.325, 44.7508, -8.074600000000004]","[7.0, 0.25, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/MIPS_INTERFACE_SHIM_-1_1/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,0.25mm为名义几何厚度；没有完成实际公差链或侧向紧固件啮合
MIPS_INTERFACE_SHIM_1_0_BOUNDS,MIPS,BOUNDING_BOX,侧向接口薄垫片候选,S_WORLD_MM,mm,,,,,,,,,,"[163.325, -44.7508, -91.2746]","[170.325, -44.5008, -84.2746]","[7.0, 0.25, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/MIPS_INTERFACE_SHIM_1_0/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,0.25mm为名义几何厚度；没有完成实际公差链或侧向紧固件啮合
MIPS_INTERFACE_SHIM_1_1_BOUNDS,MIPS,BOUNDING_BOX,侧向接口薄垫片候选,S_WORLD_MM,mm,,,,,,,,,,"[163.325, -44.7508, -15.074600000000004]","[170.325, -44.5008, -8.074600000000004]","[7.0, 0.25, 7.0]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/MIPS_INTERFACE_SHIM_1_1/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,0.25mm为名义几何厚度；没有完成实际公差链或侧向紧固件啮合
UPPER_DECK_SERVICE_NOTCH,HOST_DECK,CUTTING_BOX,上甲板局部维护缺口切除包络,S_WORLD_MM,mm,,,,,,,,,,"[133, -50, -12]","[173, 50, -8]","[40, 100, 4]",F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/upper_deck_notch_box,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,这是几何切除包络；不构成甲板强度或刚度放行
