Endpoint,Net
U206.4,unconnected-(U206-CT_OPEN_20ms-Pad4)
U206.5,WP10_STARTUP_INPUT_SENSE
U206.6,WP10_STARTUP_BIAS
U207.1,WP10_AUX_FUSED
U207.10,unconnected-(U207-IMON-Pad10)
U207.11,WP10_AUX_ILIM
U207.12,WP10_AUX_DVDT
U207.13,unconnected-(U207-NC-Pad13)
U207.14,unconnected-(U207-FLT-Pad14)
U207.15,WP10_AUX_LIMITED
U207.16,WP10_AUX_LIMITED
U207.17,WP10_AUX_PROTECT_RTN
U207.2,WP10_AUX_FUSED
U207.3,WP10_AUX_PROTECT_RTN
U207.4,unconnected-(U207-NC-Pad4)
U207.5,WP10_AUX_PROTECT_RTN
U207.6,WP10_AUX_MODE
U207.7,WP10_AUX_RESET
U207.8,WP10_AUX_PROTECT_RTN
U207.9,WP10_INPUT_RETURN
U208.1,WP10_AUX_SEQ_VDD
U208.10,unconnected-(U208-CTS-Pad10)
U208.11,unconnected-(U208-NC-Pad11)
U208.12,unconnected-(U208-NC-Pad12)
U208.13,WP10_INPUT_RETURN
U208.14,unconnected-(U208-NC-Pad14)
U208.2,unconnected-(U208-NC-Pad2)
U208.3,WP10_AUX_UV_SENSE
U208.4,unconnected-(U208-NC-Pad4)
U208.5,unconnected-(U208-NC-Pad5)
U208.6,WP10_THN_REMOTE
U208.7,unconnected-(U208-NC-Pad7)
U208.8,WP10_INPUT_RETURN
U208.9,WP10_AUX_CTR
U209.1,unconnected-(U209-NC-Pad1)
U209.10,WP10_AUX_LIMITED
U209.11,WP10_AUX_LIMITED
U209.12,unconnected-(U209-NC-Pad12)
U209.13,WP10_INPUT_RETURN
U209.2,WP10_AUX_REMOTE_BIAS
U209.3,WP10_AUX_REMOTE_BIAS
U209.4,WP10_AUX_REMOTE_ADJ
U209.5,WP10_INPUT_RETURN
U209.6,unconnected-(U209-PG-Pad6)
U209.7,WP10_INPUT_RETURN
U209.8,WP10_AUX_LIMITED
U209.9,unconnected-(U209-NC-Pad9)
U21.H,WP10_LEGACY_075
U21.L,WP10_LEGACY_076
U21.PWR,WP10_ARM_BUS_PLUS
U21.RET,WP10_ARM_RETURN
U22.J101.3,WP10_STOP_24V
U22.J101.4,WP10_ARM_RETURN
U22.J104.1,WP10_STOP_24V
U22.J104.2,WP10_LEGACY_080
U22.J105.1,WP10_STOP_24V
U22.J105.2,WP10_LEGACY_079
U23.IN+,unconnected-(U23-PadIN+)
U23.IN-,unconnected-(U23-PadIN-)
U23.OUT+,unconnected-(U23-PadOUT+)
U23.OUT-,unconnected-(U23-PadOUT-)
U23.R+,unconnected-(U23-PadR+)
U23.R-,unconnected-(U23-PadR-)
U3.H,WP10_LEGACY_075
U3.L,WP10_LEGACY_076
U301.1,unconnected-(U301-NC-Pad1)
U301.10,WP10_ARM_BUS_PLUS
U301.11,WP10_ARM_BUS_PLUS
U301.12,unconnected-(U301-NC-Pad12)
U301.13,WP10_ARM_RETURN
U301.2,WP10_BRAKE_12V
U301.3,WP10_BRAKE_12V
U301.4,WP10_BRAKE_BIAS_ADJ
U301.5,WP10_ARM_RETURN
U301.6,WP10_BRAKE_BIAS_PG
U301.7,WP10_BRAKE_BIAS_CT
U301.8,WP10_ARM_BUS_PLUS
U301.9,unconnected-(U301-NC-Pad9)
U302.1,unconnected-(U302-OUTA-Pad1)
U302.2,WP10_ARM_RETURN
U302.3,WP10_ARM_RETURN
U302.4,WP10_BRAKE_OV_DIV
U302.5,WP10_BRAKE_12V
U302.6,WP10_BRAKE_OV_N
U303.1,WP10_BRAKE_12V
U303.2,WP10_BRAKE_GATE_SOURCE
U303.3,WP10_BRAKE_GATE_SINK
U303.4,WP10_ARM_RETURN
U303.5,WP10_BRAKE_OV_N
U303.6,WP10_BRAKE_BIAS_READY
U304.1,WP10_BRAKE_12V
U304.2,WP10_ARM_RETURN
U304.3,WP10_BRAKE_READY_DIV
U304.4,WP10_BRAKE_BIAS_READY
U304.5,WP10_BRAKE_12V
U304.6,WP10_BRAKE_READY_DELAY
U311.1,WP10_BRAKE_THERMAL_FAULT_N
U311.2,WP10_ARM_RETURN
U311.3,WP10_BRAKE_TEMP_1
U311.4,WP10_BRAKE_TEMP_OPEN_1
U311.5,WP10_BRAKE_STOP_3V3
U311.6,WP10_BRAKE_THERMAL_FAULT_N
U312.1,WP10_BRAKE_THERMAL_FAULT_N
U312.2,WP10_ARM_RETURN
U312.3,WP10_BRAKE_TEMP_2
U312.4,WP10_BRAKE_TEMP_OPEN_2
U312.5,WP10_BRAKE_STOP_3V3
U312.6,WP10_BRAKE_THERMAL_FAULT_N
U313.1,WP10_BRAKE_THERMAL_FAULT_N
U313.2,WP10_ARM_RETURN
U313.3,WP10_BRAKE_TEMP_3
U313.4,WP10_BRAKE_TEMP_OPEN_3
U313.5,WP10_BRAKE_STOP_3V3
U313.6,WP10_BRAKE_THERMAL_FAULT_N
U4.CANH_REF,WP10_LEGACY_075
U4.CANL_REF,WP10_LEGACY_076
U4.RET_REF,WP10_ARM_RETURN
U4.VCC_REF,WP10_ARM_BUS_PLUS
U5.P14.6,WP10_LEGACY_077
U5.P14.7,WP10_LEGACY_078
U5.P4.1,WP10_LEGACY_070
U5.P4.2,WP10_LEGACY_071
U5.P4.3,WP10_LEGACY_072
U5.P4.4,WP10_LEGACY_073
U5.P4.5,WP10_LEGACY_063
U5.P4.6,WP10_LEGACY_067
U5.P4.7,WP10_LEGACY_068
U5.P4.8,WP10_LEGACY_069
U5.P5.1,WP10_LEGACY_066
U5.P5.2,WP10_LEGACY_074
U5.P5.3,WP10_LEGACY_065
U5.P5.4,WP10_LEGACY_064
U6.DEARM_JUMPER,WP10_LEGACY_078
U6.RBF_JUMPER,WP10_LEGACY_077
U7.A1(-),WP10_ARM_BUS_PLUS
U7.A2(+),WP10_RB_OUTPUT_PLUS
U7.T1,WP10_LEGACY_079
U7.T2,WP10_STOP_24V
U7.X1(+),WP10_STOP_24V
U7.X2(-),WP10_LEGACY_080
U8.P1.1,WP10_LEGACY_081
U8.P1.2,WP10_LEGACY_082
U9.TFM.10,WP10_LEGACY_081
U9.TFM.9,WP10_LEGACY_082
