id,group,object,status,completed_evidence_scope,remaining_design,closure_responsibility,required_input,next_concrete_operation,closure_evidence,evidence_paths,execution_root_cause,next_source_edit,acceptance_action,execution_state,new_evidence
E04,E,B601 DM 实际关节/端接及星上控制路径,EXTERNAL_INTERFACE_UNBOUND,Owner确认DM；Seeed锁定配置将J1-J3=4340P，J4-J6/夹爪=4310，ID1-7/反馈0x11-17；明确绕开默认RS通用配置。串行链路预算排除七轴500Hz,公开参考不等于出货实机；方向/传动比/零位/机械限位/针位视向/固件与星上CAN后端仍未绑定,DM机电与嵌入式工程,同版本厂商配置、关节映射/连接面图；所交付原生实现,用公开同版可证部分完成接口，缺项取受控源；编译运行实际适配代码并离线向量核对,正式代码实现和端点不依赖地面USB供电或FakeABI；不执行实物使能,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\DM_PUBLIC_REFERENCE_DELTA.json,B601 official DM revision differs from current CAD reference; joint6/terminal frame and gripper travel must not be silently mixed.,本机零位/行程/SDK修订与状态监督绑定,按实际子项证据复核；不升级整项状态,SCOPED_SOURCE_CHANGE_DELIVERED__PARENT_PACKAGE_STILL_OPEN,10刚体9关节三态来源绑定；官方7电机SDK映射已定 | mechanical/B601_DM_KINEMATIC_BINDING.json
E05,E,全部必需线束三维路径/端接/裁线/保护,INTERNAL_DESIGN_OPEN,已有主表、部分线材与端口几何；LAPP1120762 OD7.5 已指出不能沿旧6/R21,尚缺完整触点/工具配套、R≥120动态路由、夹紧载荷、弯曲/活动余量、连接器穿入与裁线长度,线束与装配工程,真实端点修订，触点线材/工具，G02动作域，材料外径公差,逐支路绑定端点并重布7.5mm供电缆；实现夹持卸载；用实际成品插头验证穿入/拆盖，再生成裁线与端接数据,网表/主表/线路/夹点/保护/制造数据同源，动态全路径有误差界,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\ecad\MASTER_FROM_TO.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\functional_closure\docs\PORT_INSTALLATION_AND_CONTROL_ZH.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\functional_closure\ecad\PROP_PWR_PREFAB_CHECKLIST.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\functional_closure\ecad\PROP_DATA_PREFAB_CHECKLIST.csv,,"All-module heat and mounting-contact/3D thermal margin; battery/PMM/protected power interfaces; whole893 native, functional and propulsion closure",核验真实增量；整项状态保持,ACTUAL_CHB_BOTTOM_AND_DUAL_WALL_PATH_NATIVE38__THERMAL_MARGIN_OPEN,"894 source instances; each state642 changed-neighborhood exact pairs clear; real CHB/TIM/monolithic bottom/L-fingers/two wall TIM joints; native38 instances14 parts cold read. 24 cold geometry checks; 48 bottom checks; tools36 base +24 new with8 expected folded blockages. Actual local-view thermal network, hot and added-heat counterexamples retained. C09 native cross-kernel volume comparison OPEN; STEP clearance is not nativeC09 clearance credit. | 推进DATA机械起点改为未绑定功能交接位置，未产生厂家针脚/裁线信用；机械17行增量BOM已单列。"
E06,E,必需状态检测、控制供电及真实系统原理图,INTERNAL_DESIGN_OPEN,两路实际辅助稳压/预负载/驱动及24V湿润反馈已接入，J101.1/.2改为测试输出并禁止外供,供源动态与掉电证明、MCU电压域和实际健康观测、连接器/PCB及其他设备状态反馈未齐,系统电气/嵌入式工程,B02/B03/B06/C03/D02/E04及具体传感器,落实真实符号/器件/端子/允许链，更新唯一 MASTER_FROM_TO 和模式表，再解决 U1.IN+ ERC,无必需逻辑占位；故障状态可观测、供回电/反馈实图闭合；不用PWR_FLAG掩盖缺电路,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\electrical\STOP_PORT_MAP.json,"Existing high-power battery/converter candidate requires parallel current sharing and has incomplete charge/interfaces; select a documented single high-current protected pack and single converter, integrate without claiming unknown margins.",ERC供电驱动诊断、动态和采购级无源选型、PCB,核验真实增量；整项状态保持,ACTUAL_SOURCE_INTEGRATION__WHOLE_ROW_STILL_OPEN,原99＋新增102位号，11页原生源；435项有界核验 | power/LOAD_SIDE_BRAKE_CALCULATIONS.json; results/BRAKE_CONTACT_GEOMETRY.json | power/STARTUP_CIRCUIT_CALCULATIONS.json; power/STOP_FULL_FAULT_BUDGET.json
F01,F,873 实例质量责任归属和 R01 子账,COMPLETE_SCOPED_SUBITEM,873实例43owner已完成SI单位/三态位姿来源接入；390个直接质量+10个B601整模块覆盖，原400覆盖口径保留,归属及数据入口完成；整B6014.5kg不可平均分配为各link，未知物性继续F02,质量控制工程,已绑实例身份,保持整模块质量只计一次；数值未知保留null，按F02完成材料/厂家质量绑定,最终实例身份与3态原生冷读绑定；不把归属完整当数值质量完整,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\mechanical_intake\PARAMETER_PACKET.json,,,,UNCHANGED_PARENT_SCOPE,
F02,F,最终实例质量上下界、三态 COM/惯量与捕获组合,INTERNAL_DESIGN_OPEN,当前三态SI参数包已形成，并补充已有材料/真实几何的惯性提取；新增补充不改写封存父账,B601逐link分布、设备包络/平均重量的真实惯性、全运动树/刚体分组及全星COM/I/推进剂状态仍未闭合,整机质量/动力特性工程,各owner同版目录质量或材料几何区间；最终nativeBOM；推进剂/目标配置,按整模块不重复原则关闭剩余owner，再由实例变换和部件惯量生成三态/推进剂/捕获组合体账并回算B/D/G,最终实际实例100%归属且全部数值有界；完整m/COM/I而非小计,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\mechanical_inertia\MATERIAL_INERTIA_DELIVERY.json,B601 official DM revision differs from current CAD reference; joint6/terminal frame and gripper travel must not be silently mixed.,逐运动link质量/COM/惯性，不继承混合URDF质量,按实际子项证据复核；不升级整项状态,SCOPED_SOURCE_CHANGE_DELIVERED__PARENT_PACKAGE_STILL_OPEN,已补B601名义运动学子树；873物性字段原样保持 | mechanical/PARAMETER_PACKET.json
F03,F,星上导热/辐射及 GSE 对流热设计,INTERNAL_DESIGN_OPEN,电池/功率级/回生候选及名义损耗边界问题已登记,电池、驱动、回生、电源、推进热路径/界面/工况/温升未实现完整计算,热控与结构工程,B03/C04/D02最终器件损耗与温限、轨道热边界、界面材料,建立设备—安装面—结构—辐射面分级热网络及地面独立模型；求最坏温度并改安装,全设备温限/热应力/失效模式满足，地面风扇能力不转给在轨,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\POWER_DESIGN_UPDATE.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\solar\SOLAR_DESIGN.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\propulsion\PROPULSION_SELECTION_REVIEW.md,"Existing high-power battery/converter candidate requires parallel current sharing and has incomplete charge/interfaces; select a documented single high-current protected pack and single converter, integrate without claiming unknown margins.","All-module heat and mounting-contact/3D thermal margin; battery/PMM/protected power interfaces; whole893 native, functional and propulsion closure",核验真实增量；整项状态保持,ACTUAL_CHB_BOTTOM_AND_DUAL_WALL_PATH_NATIVE38__THERMAL_MARGIN_OPEN,"894 source instances; each state642 changed-neighborhood exact pairs clear; real CHB/TIM/monolithic bottom/L-fingers/two wall TIM joints; native38 instances14 parts cold read. 24 cold geometry checks; 48 bottom checks; tools36 base +24 new with8 expected folded blockages. Actual local-view thermal network, hot and added-heat counterexamples retained. C09 native cross-kernel volume comparison OPEN; STEP clearance is not nativeC09 clearance credit."
G01,G,六矩形面层太阳翼四段连续间隙,COMPLETE_SCOPED_SUBITEM,1548节点/776连续区间；下界0.30064349mm；三个负例检出,仅六块保守层包络、指定单关节四段；排除tab/框销/整星/臂/线束/柔性,机构几何工程,已定4.5mm轴距与面层上界,原数值范围有效保留；任何越界的新实体由G02重验,实际区间覆盖证书，非只有离散样点；不是全G通过,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\SOLAR_CONTINUOUS_CLEARANCE.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\solar\TAB_INTERFACE_REVIEW.md,,,,UNCHANGED_PARENT_SCOPE,
G02,G,完整机构动作、机械臂释放/工作域、活动线束与维护,INTERNAL_DESIGN_OPEN,三态与六板分域证明存在,真实框销/锁定保持/整星/臂/tab/线束连续碰撞及装拆路径未覆盖；机械臂允许工作域未绑定,机构/线束/装配工程,A03/A04/C05/E04/E05，真实关节与机构约束及姿态域,将真实铰链/锁定/释放关系串起；对新增和受影响实体做连续或有步长误差界扫掠；失败回改责任件,全部必需路径/连通区间有界；白名单仅有实际局部接触依据,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\SOLAR_CONTINUOUS_CLEARANCE.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\DELIVERY_STATUS.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\control\README.md,B601 official DM revision differs from current CAD reference; joint6/terminal frame and gripper travel must not be silently mixed.,源绑定扫掠/线束/维护路径验证,按实际子项证据复核；不升级整项状态,SCOPED_SOURCE_CHANGE_DELIVERED__PARENT_PACKAGE_STILL_OPEN,三态名义FK与源CAD一致；未执行连续碰撞 | results/B601_KINEMATIC_VERIFICATION.json | 本轮主线service态38对局部STEP筛查；两条释放支路各与M3RB穿透仍开放，不授予完整线束或连续动作信用。 | 本轮主线service态38对局部STEP筛查；两条释放支路各与M3RB穿透仍开放，不授予完整线束或连续动作信用。 | V9推进改件三态各66对0反例；释放末段与parking保持杆各约208.889mm³穿透保留。
G03,G,当前结构载荷路径与分级强度/刚度/稳定性,INTERNAL_DESIGN_OPEN,实际固定结构和部分材料模型可复用；本次未把历史科学PASS转移,当前板/支架/电池/推进/机械臂基座/保持连接的载荷、许用、公差与边界未统一验算,结构分析工程,最终几何/材料/质量、用途相关载荷/许用与真实连接刚度,先绑定载荷判据，分接头/支架/机构建立解析或局部FEA，检验支座/连接敏感性并回改,当前几何和质量下的载荷路径成立；不固定全部接触面伪增刚度,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\MASS_ASSIGNMENT.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\mass\R01_FASTENER_SELECTION.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\solar\SOLAR_DESIGN.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\DELIVERY_STATUS.json,B601 official DM revision differs from current CAD reference; joint6/terminal frame and gripper travel must not be silently mixed.,mechanical/B601_ENGINEERING_TREE.json; mechanical/B601_LOAD_INPUT.json,Exact source/axis/frame/mass identity; deterministic forward kinematics against selected geometry; separate manufacturer reference from as-built facts,READ_ONLY_SOURCE_INTAKE,
H01,H,705 三态可迁移原生包,COMPLETE_SCOPED_SUBITEM,508唯一本体+3总装；两路径x三态6次实际冷重开；外部依赖0；ZIP CRC通过；另完成85件原样ECAD/DM迁移、47网表一致/地面板DRC/29项Python离线路径复验，见ELECTRICAL_REFERENCE_DELIVERY,此子项完成；搬移验证不等于在第二台机器实际测试，也不自动覆盖新增873候选,CAD交付工程,已封存portable包,继承短路径约束；解压完整路径建议<250字符,受控复制/重定向和物理搬移后冷重开；非假称Pack-and-Go,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\PORTABLE_DELIVERY.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\PORTABLE_COLD_PRIMARY_V2.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\PORTABLE_COLD_RELOCATED_V2.json,,,,UNCHANGED_PARENT_SCOPE,
H02,H,太阳面层/铰链和R01联合原生增量,COMPLETE_SCOPED_SUBITEM,太阳翼/R01真实STEP与原生零件、873组件三态身份/变换/本地依赖冷核验及便携交付；以NATIVE_DELTA_DELIVERY实际回执为准,本轮增量交付子项关闭；全机电一致及未完成设计仍在H03和A-G,唯一 CAD/OCC/COM writer,已绑定当前增量source与实际原生冷读,保持本轮原生与来源hash，不重复重建未变对象,results/NATIVE_DELTA_DELIVERY.json,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\NATIVE_DELTA_DELIVERY.json,,,,UNCHANGED_PARENT_SCOPE,
H03,H,全套机电 BOM/接口/制造数据一致与设计复现,INTERNAL_DESIGN_OPEN,873叶原生包继承；本轮99元件系统图/72线主表/107行BOM及参数/研究接入口均有版本绑定,停止PCB/安装件、全部真实线束/图纸/控制和推进接口及整机物性仍未齐；不能以子包完整性宣布全部完成,整机配置/ECAD/CAD工程,A06/E05/E06/F02/H02通过输出,从同一设计身份生成BOM与交付索引，验证所有必需端点/实例/修订，封装源和依赖后验hash,五组交付齐全且相互一致；已有子包PASS不能代替整机交付完成；电气参考迁移子项以 results/ELECTRICAL_REFERENCE_DELIVERY.json 实际回执另计，重复检查不增加电路功能信用,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\results\DELIVERY_DECISION.json,"Existing high-power battery/converter candidate requires parallel current sharing and has incomplete charge/interfaces; select a documented single high-current protected pack and single converter, integrate without claiming unknown margins.","All-module heat and mounting-contact/3D thermal margin; battery/PMM/protected power interfaces; whole893 native, functional and propulsion closure",核验真实增量；整项状态保持,ACTUAL_CHB_BOTTOM_AND_DUAL_WALL_PATH_NATIVE38__THERMAL_MARGIN_OPEN,"894 source instances; each state642 changed-neighborhood exact pairs clear; real CHB/TIM/monolithic bottom/L-fingers/two wall TIM joints; native38 instances14 parts cold read. 24 cold geometry checks; 48 bottom checks; tools36 base +24 new with8 expected folded blockages. Actual local-view thermal network, hot and added-heat counterexamples retained. C09 native cross-kernel volume comparison OPEN; STEP clearance is not nativeC09 clearance credit."
H04,H,原24项物理检验与后续到货/制造检查,PHYSICAL_NOT_EXECUTED,原24项方法/依赖表保留NOT_EXECUTED；无物理I/O/制造/充压,物理未执行独立记录；表中未绑定设计输入须先在A-G关闭，不能改名为到货检查清零,质量检验与硬件责任人,冻结且可检验的设计；对象和方法对应的后续授权,保持未执行状态；设计完成后填写对象/方法/判据并实际检验，不预填PASS/N/A,制造、通电和飞行鉴定仅以真实执行记录计信用,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\functional_closure\ecad\PROP_PWR_PREFAB_CHECKLIST.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\functional_closure\ecad\PROP_DATA_PREFAB_CHECKLIST.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\DELIVERY_STATUS.json,,,,UNCHANGED_PARENT_SCOPE,
