case_id,target_type,tumble_rate_deg_s,approach_velocity_m_s,arm_speed_scale,pose_error_deg,inertia_scale,reaction_aware,visibility_ratio,capture_window_s,reach_time_s,base_peak_deg,v_max_m_s,post_capture_rate_dps,clearance_min_m,result,failure_reason
C0171,target_satellite_v0,1.0,0.005,0.5,2.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0172,target_satellite_v0,1.0,0.005,0.5,2.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,SAFE,SAFE
C0173,target_satellite_v0,1.0,0.005,0.5,2.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0174,target_satellite_v0,1.0,0.005,0.5,2.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,SAFE,SAFE
C0175,target_satellite_v0,1.0,0.005,0.5,3.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0176,target_satellite_v0,1.0,0.005,0.5,3.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0177,target_satellite_v0,1.0,0.005,0.5,3.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0178,target_satellite_v0,1.0,0.005,0.5,3.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0179,target_satellite_v0,1.0,0.005,0.5,3.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0180,target_satellite_v0,1.0,0.005,0.5,3.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0181,target_satellite_v0,1.0,0.005,1.0,1.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0182,target_satellite_v0,1.0,0.005,1.0,1.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,SAFE,SAFE
C0183,target_satellite_v0,1.0,0.005,1.0,1.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0184,target_satellite_v0,1.0,0.005,1.0,1.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,SAFE,SAFE
C0185,target_satellite_v0,1.0,0.005,1.0,1.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0186,target_satellite_v0,1.0,0.005,1.0,1.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,SAFE,SAFE
C0187,target_satellite_v0,1.0,0.005,1.0,2.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0188,target_satellite_v0,1.0,0.005,1.0,2.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,SAFE,SAFE
C0189,target_satellite_v0,1.0,0.005,1.0,2.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0190,target_satellite_v0,1.0,0.005,1.0,2.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,SAFE,SAFE
C0191,target_satellite_v0,1.0,0.005,1.0,2.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0192,target_satellite_v0,1.0,0.005,1.0,2.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,SAFE,SAFE
C0193,target_satellite_v0,1.0,0.005,1.0,3.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0194,target_satellite_v0,1.0,0.005,1.0,3.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0195,target_satellite_v0,1.0,0.005,1.0,3.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0196,target_satellite_v0,1.0,0.005,1.0,3.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0197,target_satellite_v0,1.0,0.005,1.0,3.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0198,target_satellite_v0,1.0,0.005,1.0,3.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0199,target_satellite_v0,1.0,0.005,1.5,1.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0200,target_satellite_v0,1.0,0.005,1.5,1.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,SAFE,SAFE
C0201,target_satellite_v0,1.0,0.005,1.5,1.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0202,target_satellite_v0,1.0,0.005,1.5,1.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,SAFE,SAFE
C0203,target_satellite_v0,1.0,0.005,1.5,1.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0204,target_satellite_v0,1.0,0.005,1.5,1.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,SAFE,SAFE
C0205,target_satellite_v0,1.0,0.005,1.5,2.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0206,target_satellite_v0,1.0,0.005,1.5,2.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,SAFE,SAFE
C0207,target_satellite_v0,1.0,0.005,1.5,2.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0208,target_satellite_v0,1.0,0.005,1.5,2.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,SAFE,SAFE
C0209,target_satellite_v0,1.0,0.005,1.5,2.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0210,target_satellite_v0,1.0,0.005,1.5,2.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,SAFE,SAFE
C0211,target_satellite_v0,1.0,0.005,1.5,3.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0212,target_satellite_v0,1.0,0.005,1.5,3.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0213,target_satellite_v0,1.0,0.005,1.5,3.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0214,target_satellite_v0,1.0,0.005,1.5,3.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0215,target_satellite_v0,1.0,0.005,1.5,3.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0216,target_satellite_v0,1.0,0.005,1.5,3.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0217,target_satellite_v0,1.0,0.01,0.5,1.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0218,target_satellite_v0,1.0,0.01,0.5,1.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,SAFE,SAFE
C0219,target_satellite_v0,1.0,0.01,0.5,1.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0220,target_satellite_v0,1.0,0.01,0.5,1.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,SAFE,SAFE
C0221,target_satellite_v0,1.0,0.01,0.5,1.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0222,target_satellite_v0,1.0,0.01,0.5,1.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,SAFE,SAFE
C0223,target_satellite_v0,1.0,0.01,0.5,2.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0224,target_satellite_v0,1.0,0.01,0.5,2.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,SAFE,SAFE
C0225,target_satellite_v0,1.0,0.01,0.5,2.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0226,target_satellite_v0,1.0,0.01,0.5,2.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,SAFE,SAFE
C0227,target_satellite_v0,1.0,0.01,0.5,2.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0228,target_satellite_v0,1.0,0.01,0.5,2.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,SAFE,SAFE
C0229,target_satellite_v0,1.0,0.01,0.5,3.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0230,target_satellite_v0,1.0,0.01,0.5,3.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0231,target_satellite_v0,1.0,0.01,0.5,3.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0232,target_satellite_v0,1.0,0.01,0.5,3.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0233,target_satellite_v0,1.0,0.01,0.5,3.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0234,target_satellite_v0,1.0,0.01,0.5,3.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0235,target_satellite_v0,1.0,0.01,1.0,1.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0236,target_satellite_v0,1.0,0.01,1.0,1.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,SAFE,SAFE
C0237,target_satellite_v0,1.0,0.01,1.0,1.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0238,target_satellite_v0,1.0,0.01,1.0,1.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,SAFE,SAFE
C0239,target_satellite_v0,1.0,0.01,1.0,1.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0240,target_satellite_v0,1.0,0.01,1.0,1.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,SAFE,SAFE
C0241,target_satellite_v0,1.0,0.01,1.0,2.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0242,target_satellite_v0,1.0,0.01,1.0,2.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,SAFE,SAFE
C0243,target_satellite_v0,1.0,0.01,1.0,2.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0244,target_satellite_v0,1.0,0.01,1.0,2.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,SAFE,SAFE
C0245,target_satellite_v0,1.0,0.01,1.0,2.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0246,target_satellite_v0,1.0,0.01,1.0,2.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,SAFE,SAFE
C0247,target_satellite_v0,1.0,0.01,1.0,3.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0248,target_satellite_v0,1.0,0.01,1.0,3.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0249,target_satellite_v0,1.0,0.01,1.0,3.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0250,target_satellite_v0,1.0,0.01,1.0,3.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0251,target_satellite_v0,1.0,0.01,1.0,3.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0252,target_satellite_v0,1.0,0.01,1.0,3.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0253,target_satellite_v0,1.0,0.01,1.5,1.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0254,target_satellite_v0,1.0,0.01,1.5,1.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,SAFE,SAFE
C0255,target_satellite_v0,1.0,0.01,1.5,1.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0256,target_satellite_v0,1.0,0.01,1.5,1.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,SAFE,SAFE
C0257,target_satellite_v0,1.0,0.01,1.5,1.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0258,target_satellite_v0,1.0,0.01,1.5,1.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,SAFE,SAFE
C0259,target_satellite_v0,1.0,0.01,1.5,2.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0260,target_satellite_v0,1.0,0.01,1.5,2.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,SAFE,SAFE
C0261,target_satellite_v0,1.0,0.01,1.5,2.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0262,target_satellite_v0,1.0,0.01,1.5,2.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,SAFE,SAFE
C0263,target_satellite_v0,1.0,0.01,1.5,2.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0264,target_satellite_v0,1.0,0.01,1.5,2.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,SAFE,SAFE
C0265,target_satellite_v0,1.0,0.01,1.5,3.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0266,target_satellite_v0,1.0,0.01,1.5,3.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0267,target_satellite_v0,1.0,0.01,1.5,3.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0268,target_satellite_v0,1.0,0.01,1.5,3.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0269,target_satellite_v0,1.0,0.01,1.5,3.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0270,target_satellite_v0,1.0,0.01,1.5,3.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0271,target_satellite_v0,1.0,0.02,0.5,1.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0272,target_satellite_v0,1.0,0.02,0.5,1.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,SAFE,SAFE
C0273,target_satellite_v0,1.0,0.02,0.5,1.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0274,target_satellite_v0,1.0,0.02,0.5,1.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,SAFE,SAFE
C0275,target_satellite_v0,1.0,0.02,0.5,1.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0276,target_satellite_v0,1.0,0.02,0.5,1.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,SAFE,SAFE
C0277,target_satellite_v0,1.0,0.02,0.5,2.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0278,target_satellite_v0,1.0,0.02,0.5,2.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,SAFE,SAFE
C0279,target_satellite_v0,1.0,0.02,0.5,2.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0280,target_satellite_v0,1.0,0.02,0.5,2.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,SAFE,SAFE
C0281,target_satellite_v0,1.0,0.02,0.5,2.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0282,target_satellite_v0,1.0,0.02,0.5,2.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,SAFE,SAFE
C0283,target_satellite_v0,1.0,0.02,0.5,3.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0284,target_satellite_v0,1.0,0.02,0.5,3.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0285,target_satellite_v0,1.0,0.02,0.5,3.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0286,target_satellite_v0,1.0,0.02,0.5,3.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0287,target_satellite_v0,1.0,0.02,0.5,3.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0288,target_satellite_v0,1.0,0.02,0.5,3.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0289,target_satellite_v0,1.0,0.02,1.0,1.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0290,target_satellite_v0,1.0,0.02,1.0,1.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,SAFE,SAFE
C0291,target_satellite_v0,1.0,0.02,1.0,1.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0292,target_satellite_v0,1.0,0.02,1.0,1.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,SAFE,SAFE
C0293,target_satellite_v0,1.0,0.02,1.0,1.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0294,target_satellite_v0,1.0,0.02,1.0,1.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,SAFE,SAFE
C0295,target_satellite_v0,1.0,0.02,1.0,2.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0296,target_satellite_v0,1.0,0.02,1.0,2.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,SAFE,SAFE
C0297,target_satellite_v0,1.0,0.02,1.0,2.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0298,target_satellite_v0,1.0,0.02,1.0,2.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,SAFE,SAFE
C0299,target_satellite_v0,1.0,0.02,1.0,2.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0300,target_satellite_v0,1.0,0.02,1.0,2.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,SAFE,SAFE
C0301,target_satellite_v0,1.0,0.02,1.0,3.0,0.8,0,1.0,84.79,8.0,13.133,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0302,target_satellite_v0,1.0,0.02,1.0,3.0,0.8,1,1.0,84.79,8.0,1.97,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0303,target_satellite_v0,1.0,0.02,1.0,3.0,1.0,0,1.0,84.79,8.0,13.133,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0304,target_satellite_v0,1.0,0.02,1.0,3.0,1.0,1,1.0,84.79,8.0,1.97,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0305,target_satellite_v0,1.0,0.02,1.0,3.0,1.2,0,1.0,84.79,8.0,13.133,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0306,target_satellite_v0,1.0,0.02,1.0,3.0,1.2,1,1.0,84.79,8.0,1.97,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0307,target_satellite_v0,1.0,0.02,1.5,1.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0308,target_satellite_v0,1.0,0.02,1.5,1.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,SAFE,SAFE
C0309,target_satellite_v0,1.0,0.02,1.5,1.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0310,target_satellite_v0,1.0,0.02,1.5,1.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,SAFE,SAFE
C0311,target_satellite_v0,1.0,0.02,1.5,1.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0312,target_satellite_v0,1.0,0.02,1.5,1.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,SAFE,SAFE
C0313,target_satellite_v0,1.0,0.02,1.5,2.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0314,target_satellite_v0,1.0,0.02,1.5,2.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,SAFE,SAFE
C0315,target_satellite_v0,1.0,0.02,1.5,2.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0316,target_satellite_v0,1.0,0.02,1.5,2.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,SAFE,SAFE
C0317,target_satellite_v0,1.0,0.02,1.5,2.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0318,target_satellite_v0,1.0,0.02,1.5,2.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,SAFE,SAFE
C0319,target_satellite_v0,1.0,0.02,1.5,3.0,0.8,0,1.0,84.79,5.33,18.502,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0320,target_satellite_v0,1.0,0.02,1.5,3.0,0.8,1,1.0,84.79,5.33,2.775,0.02,0.433,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0321,target_satellite_v0,1.0,0.02,1.5,3.0,1.0,0,1.0,84.79,5.33,18.502,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0322,target_satellite_v0,1.0,0.02,1.5,3.0,1.0,1,1.0,84.79,5.33,2.775,0.02,0.542,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0323,target_satellite_v0,1.0,0.02,1.5,3.0,1.2,0,1.0,84.79,5.33,18.502,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0324,target_satellite_v0,1.0,0.02,1.5,3.0,1.2,1,1.0,84.79,5.33,2.775,0.02,0.65,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0325,target_satellite_v0,2.0,0.005,0.5,1.0,0.8,0,1.0,42.45,16.0,6.807,0.015,0.867,0.47,FAIL,BASE_REACTION_FAIL
C0326,target_satellite_v0,2.0,0.005,0.5,1.0,0.8,1,1.0,42.45,16.0,1.021,0.015,0.867,0.47,SAFE,SAFE
C0327,target_satellite_v0,2.0,0.005,0.5,1.0,1.0,0,1.0,42.45,16.0,6.807,0.015,1.083,0.47,FAIL,BASE_REACTION_FAIL
C0328,target_satellite_v0,2.0,0.005,0.5,1.0,1.0,1,1.0,42.45,16.0,1.021,0.015,1.083,0.47,SAFE,SAFE
C0329,target_satellite_v0,2.0,0.005,0.5,1.0,1.2,0,1.0,42.45,16.0,6.807,0.015,1.3,0.47,FAIL,BASE_REACTION_FAIL
C0330,target_satellite_v0,2.0,0.005,0.5,1.0,1.2,1,1.0,42.45,16.0,1.021,0.015,1.3,0.47,SAFE,SAFE
C0331,target_satellite_v0,2.0,0.005,0.5,2.0,0.8,0,1.0,42.45,16.0,6.807,0.015,0.867,0.47,FAIL,BASE_REACTION_FAIL
C0332,target_satellite_v0,2.0,0.005,0.5,2.0,0.8,1,1.0,42.45,16.0,1.021,0.015,0.867,0.47,SAFE,SAFE
C0333,target_satellite_v0,2.0,0.005,0.5,2.0,1.0,0,1.0,42.45,16.0,6.807,0.015,1.083,0.47,FAIL,BASE_REACTION_FAIL
C0334,target_satellite_v0,2.0,0.005,0.5,2.0,1.0,1,1.0,42.45,16.0,1.021,0.015,1.083,0.47,SAFE,SAFE
C0335,target_satellite_v0,2.0,0.005,0.5,2.0,1.2,0,1.0,42.45,16.0,6.807,0.015,1.3,0.47,FAIL,BASE_REACTION_FAIL
C0336,target_satellite_v0,2.0,0.005,0.5,2.0,1.2,1,1.0,42.45,16.0,1.021,0.015,1.3,0.47,SAFE,SAFE
C0337,target_satellite_v0,2.0,0.005,0.5,3.0,0.8,0,1.0,42.45,16.0,6.807,0.015,0.867,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0338,target_satellite_v0,2.0,0.005,0.5,3.0,0.8,1,1.0,42.45,16.0,1.021,0.015,0.867,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0339,target_satellite_v0,2.0,0.005,0.5,3.0,1.0,0,1.0,42.45,16.0,6.807,0.015,1.083,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0340,target_satellite_v0,2.0,0.005,0.5,3.0,1.0,1,1.0,42.45,16.0,1.021,0.015,1.083,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0341,target_satellite_v0,2.0,0.005,0.5,3.0,1.2,0,1.0,42.45,16.0,6.807,0.015,1.3,0.47,FAIL,POSE_UNCERTAINTY_FAIL
