reference,pin,function,net,source
R346,1,A,WP10_BRAKE_TEMP_OPEN_2,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R346,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C312,1,A,WP10_BRAKE_STOP_3V3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C312,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB303,1,TERMINAL_1,WP10_ARM_BUS_PLUS,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
RB303,2,TERMINAL_2,WP10_BRAKE_BRANCH_3,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q303,1,G,WP10_BRAKE_GATE_3,"csd19536ktt.pdf RevC pp1,3"
Q303,2,D,WP10_BRAKE_BRANCH_3,"csd19536ktt.pdf RevC pp1,3"
Q303,3,S,WP10_ARM_RETURN,"csd19536ktt.pdf RevC pp1,3"
D313,1,A1,WP10_BRAKE_BRANCH_3,"stps30h100c.pdf Rev9 pp1,2,8"
D313,2,K,WP10_ARM_BUS_PLUS,"stps30h100c.pdf Rev9 pp1,2,8"
D313,3,A2,WP10_BRAKE_BRANCH_3,"stps30h100c.pdf Rev9 pp1,2,8"
R317,1,A,WP10_BRAKE_GATE_SOURCE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R317,2,B,WP10_BRAKE_GATE_3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R318,1,A,WP10_BRAKE_GATE_SINK,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R318,2,B,WP10_BRAKE_GATE_3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R319,1,A,WP10_BRAKE_GATE_3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R319,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U313,1,OUTA,WP10_BRAKE_THERMAL_FAULT_N,"tlv6700.pdf RevB pp3,5"
U313,2,GND,WP10_ARM_RETURN,"tlv6700.pdf RevB pp3,5"
U313,3,INA+,WP10_BRAKE_TEMP_3,"tlv6700.pdf RevB pp3,5"
U313,4,INB-,WP10_BRAKE_TEMP_OPEN_3,"tlv6700.pdf RevB pp3,5"
U313,5,VDD,WP10_BRAKE_STOP_3V3,"tlv6700.pdf RevB pp3,5"
U313,6,OUTB,WP10_BRAKE_THERMAL_FAULT_N,"tlv6700.pdf RevB pp3,5"
RT313,1,SENSOR,WP10_BRAKE_TEMP_3,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
RT313,2,RETURN,WP10_ARM_RETURN,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R347,1,A,WP10_BRAKE_STOP_3V3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R347,2,B,WP10_BRAKE_TEMP_3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R348,1,A,WP10_BRAKE_TEMP_3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R348,2,B,WP10_BRAKE_TEMP_OPEN_3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R349,1,A,WP10_BRAKE_TEMP_OPEN_3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R349,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C313,1,A,WP10_BRAKE_STOP_3V3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C313,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C307,1,A,WP10_BRAKE_READY_DELAY,KEMET CER_ENG_KIT_29.pdf; 1nF 5% 50V C0G; mounting and leakage unqualified
C307,2,B,WP10_ARM_RETURN,KEMET CER_ENG_KIT_29.pdf; 1nF 5% 50V C0G; mounting and leakage unqualified
C308,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C308,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R308,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R308,2,B,WP10_BRAKE_READY_DIV,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R309,1,A,WP10_BRAKE_READY_DIV,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R309,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R310,1,A,WP10_BRAKE_BIAS_READY,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R310,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U304,1,EN,WP10_BRAKE_12V,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX16052-MAX16053.pdf Rev7 pp2,3,7"
U304,2,GND,WP10_ARM_RETURN,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX16052-MAX16053.pdf Rev7 pp2,3,7"
U304,3,IN,WP10_BRAKE_READY_DIV,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX16052-MAX16053.pdf Rev7 pp2,3,7"
U304,4,OUT,WP10_BRAKE_BIAS_READY,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX16052-MAX16053.pdf Rev7 pp2,3,7"
U304,5,VCC,WP10_BRAKE_12V,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX16052-MAX16053.pdf Rev7 pp2,3,7"
U304,6,CDELAY,WP10_BRAKE_READY_DELAY,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX16052-MAX16053.pdf Rev7 pp2,3,7"
